topic,bag_stamp,header_stamp,frame_id,child_frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_x,linear_y,angular_z
/agv1/odom,1789453861.6551752,1789453861.654984,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv1/odom,1789453861.6632087,1789453861.663034,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv3/odom,1789453861.672553,1789453861.6687272,agv3/odom,agv3/base_link,-5.413068961594176e-06,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv2/odom,1789453861.6725624,1789453861.6699781,agv2/odom,agv2/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv1/odom,1789453861.6751273,1789453861.675014,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv2/odom,1789453861.6803803,1789453861.6779826,agv2/odom,agv2/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv3/odom,1789453861.682028,1789453861.6807814,agv3/odom,agv3/base_link,-5.413068961594176e-06,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv1/odom,1789453861.683124,1789453861.6829898,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv3/odom,1789453861.6887662,1789453861.6887767,agv3/odom,agv3/base_link,-5.413068961594176e-06,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv1/odom,1789453861.695068,1789453861.6949677,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv2/odom,1789453861.695649,1789453861.6900294,agv2/odom,agv2/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv2/odom,1789453861.6987092,1789453861.6980002,agv2/odom,agv2/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv3/odom,1789453861.702732,1789453861.7007792,agv3/odom,agv3/base_link,-5.413068961594176e-06,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv1/odom,1789453861.7030401,1789453861.7029703,agv1/odom,agv1/base_link,0.0,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
/agv3/odom,1789453861.7086647,1789453861.7087767,agv3/odom,agv3/base_link,-5.413068961594176e-06,0.0,0.05969,0.0,0.0,0.0,1.0,0.0,0.0,0.0
