stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi
1789113421.8756742,nan,nan,nan,nan,True,False,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789113421.8856227,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.895623,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.9057243,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.9156215,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.9256427,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.935678,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.9456275,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.9555905,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.9656227,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.9755886,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.9856074,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113421.995595,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113422.0055928,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113422.015593,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113422.0255914,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113422.0355897,0.0,0.0,0.0,0.0,True,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789113422.0455937,3.033228269171937e-08,3.033228269171937e-08,-0.009999999999999998,0.11,True,True,-0.1499999999999911,0.1499999999999911,-0.15000000000000718,0.15000000000000718,-0.15000000000000718,0.15000000000000718,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0
1789113422.0556316,2.4280569923952123e-07,2.4280569923952123e-07,-0.009999999999999998,0.11,True,True,-0.149999999999995,0.149999999999995,-0.15000000000000305,0.15000000000000305,-0.15000000000000305,0.15000000000000305,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0
1789113422.0657177,8.201661698143561e-07,8.201661698143561e-07,-0.009999999999999998,0.11,True,True,-0.14999999999999095,0.14999999999999095,-0.15000000000000702,0.15000000000000702,-0.15000000000000702,0.15000000000000702,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0
1789113422.0757236,1.921649988527249e-06,1.921649988527249e-06,-0.009999999999999998,0.11,True,True,-0.14999999999999739,0.14999999999999739,-0.15000000000000543,0.15000000000000543,-0.15000000000000543,0.15000000000000543,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.003998134,0.1,0.0,0.0,0.0,0.0
1789113422.0857944,3.7255509287064948e-06,3.7255509287064948e-06,-0.009999999999999998,0.11,True,True,-0.1499999999999928,0.1499999999999928,-0.15000000000000888,0.15000000000000888,-0.15000000000000888,0.15000000000000888,-0.015,0.115,1.0,0.0,0.0,0.00798389265309736,0.10000025527079648,0.0,-5.337399999999491e-06,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.007983701200000002,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.007983825644513285,0.10000016592601772,0.0,-3.469309999999671e-06,0.0,0.0
1789113422.0957887,6.422302585587412e-06,6.422302585587412e-06,-0.009999999999999998,0.11,True,True,-0.15000000000000135,0.15000000000000135,-0.15000000000000135,0.15000000000000135,-0.15000000000000135,0.15000000000000135,-0.015,0.115,1.0,0.0,0.0,0.00798389265309736,0.10000025527079648,0.0,-5.337399999999491e-06,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.007983701200000002,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.007983825644513285,0.10000016592601772,0.0,-3.469309999999671e-06,0.0,0.0
1789113422.105719,1.0137013141439408e-05,1.0137013141439408e-05,-0.009999999999999998,0.11,True,True,-0.1500000000000036,0.1500000000000036,-0.1500000000000036,0.1500000000000036,-0.1500000000000036,0.1500000000000036,-0.015,0.115,1.0,0.0,0.0,0.00798389265309736,0.10000025527079648,0.0,-5.337399999999491e-06,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.007983701200000002,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.007983825644513285,0.10000016592601772,0.0,-3.469309999999671e-06,0.0,0.0
1789113422.1156182,1.505946433883857e-05,1.505946433883857e-05,-0.009999999999999998,0.11,True,True,-0.14999999999999583,0.14999999999999583,-0.15000000000000385,0.15000000000000385,-0.15000000000000385,0.15000000000000385,-0.015,0.115,1.0,0.0,0.0,0.00798389265309736,0.10000025527079648,0.0,-5.337399999999491e-06,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.007983701200000002,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.007983825644513285,0.10000016592601772,0.0,-3.469309999999671e-06,0.0,0.0
1789113422.1256382,2.1329596607504653e-05,2.1329596607504653e-05,-0.009999999999999998,0.11,True,True,-0.14999999999999145,0.14999999999999145,-0.1500000000000075,0.1500000000000075,-0.1500000000000075,0.1500000000000075,-0.015,0.115,1.0,0.0,0.0,0.011979938948395639,0.1000010075276982,0.0,-1.8468486938022496e-05,5.820174159509861e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.011979084559156219,0.10000011154288986,0.0,-3.1589761064106103e-07,-4.2119681419039434e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.011979640683207598,0.10000070150491903,0.0,-1.2136523420343703e-05,2.0230210622876337e-07,0.0
1789113422.1355925,2.914056989560268e-05,2.914056989560268e-05,-0.009999999999999998,0.11,True,True,-0.14999999999999528,0.14999999999999528,-0.1500000000000033,0.1500000000000033,-0.1500000000000033,0.1500000000000033,-0.015,0.115,1.0,0.0,0.0,0.011979938948395639,0.1000010075276982,0.0,-1.8468486938022496e-05,5.820174159509861e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.011979084559156219,0.10000011154288986,0.0,-3.1589761064106103e-07,-4.2119681419039434e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.011979640683207598,0.10000070150491903,0.0,-1.2136523420343703e-05,2.0230210622876337e-07,0.0
1789113422.1456501,3.861804903128614e-05,3.861804903128614e-05,-0.009999999999999998,0.11,True,True,-0.1500000000000012,0.1500000000000012,-0.1500000000000012,0.1500000000000012,-0.1500000000000012,0.1500000000000012,-0.015,0.115,1.0,0.0,0.0,0.011979938948395639,0.1000010075276982,0.0,-1.8468486938022496e-05,5.820174159509861e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.011979084559156219,0.10000011154288986,0.0,-3.1589761064106103e-07,-4.2119681419039434e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.011979640683207598,0.10000070150491903,0.0,-1.2136523420343703e-05,2.0230210622876337e-07,0.0
1789113422.1555882,4.987721497465362e-05,4.987721497465362e-05,-0.009999999999999998,0.11,True,True,-0.14999999999999694,0.14999999999999694,-0.15000000000000493,0.15000000000000493,-0.15000000000000493,0.15000000000000493,-0.015,0.115,1.0,0.0,0.0,0.011979938948395639,0.1000010075276982,0.0,-1.8468486938022496e-05,5.820174159509861e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.011979084559156219,0.10000011154288986,0.0,-3.1589761064106103e-07,-4.2119681419039434e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.011979640683207598,0.10000070150491903,0.0,-1.2136523420343703e-05,2.0230210622876337e-07,0.0
1789113422.1656394,6.311647449325214e-05,6.311647449325214e-05,-0.009999999999999998,0.11,True,True,-0.14999999999999716,0.14999999999999716,-0.15000000000000518,0.15000000000000518,-0.15000000000000518,0.15000000000000518,-0.015,0.115,1.0,0.0,0.0,0.0159844669252741,0.10000167913661319,0.0,-2.423475021450967e-05,2.148330729848102e-06,0.0,-0.015,0.115,1.0,0.0,0.0,0.015982754249265322,0.10000052009334252,0.0,-1.4105132907990536e-06,-1.4859468375066909e-06,0.0,-0.015,0.115,1.0,0.0,0.0,0.015983871918638176,0.1000013027729211,0.0,-1.6339399014115877e-05,8.011220032154433e-07,0.0
1789113422.1756213,7.846207778872813e-05,7.846207778872813e-05,-0.009999999999999998,0.11,True,True,-0.1499999999999885,0.1499999999999885,-0.1500000000000045,0.1500000000000045,-0.1500000000000045,0.1500000000000045,-0.015,0.115,1.0,0.0,0.0,0.0159844669252741,0.10000167913661319,0.0,-2.423475021450967e-05,2.148330729848102e-06,0.0,-0.015,0.115,1.0,0.0,0.0,0.015982754249265322,0.10000052009334252,0.0,-1.4105132907990536e-06,-1.4859468375066909e-06,0.0,-0.015,0.115,1.0,0.0,0.0,0.015983871918638176,0.1000013027729211,0.0,-1.6339399014115877e-05,8.011220032154433e-07,0.0
