stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi
1789204570.8395581,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789204570.8495684,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.85951,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.8695104,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.8795116,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.8895247,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.8995252,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.909577,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.9195282,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.9295769,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.939508,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.949508,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.9595072,0.0,0.0,0.0,0.0,False,False,nan,nan,nan,nan,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1789204570.969542,3.051031443878423e-08,3.051031443878423e-08,-0.009999999999999998,0.11,False,True,-0.1599999999999905,0.1599999999999905,-0.16000000000000766,0.16000000000000766,-0.16000000000000766,0.16000000000000766,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0
1789204570.9795642,2.437805488550647e-07,2.437805488550647e-07,-0.009999999999999998,0.11,False,True,-0.1600000000000025,0.1600000000000025,-0.1600000000000025,0.1600000000000025,-0.1600000000000025,0.1600000000000025,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0
1789204570.9895732,8.146166453724164e-07,8.146166453724164e-07,-0.009999999999999998,0.11,False,True,-0.16000000000000186,0.16000000000000186,-0.16000000000000186,0.16000000000000186,-0.16000000000000186,0.16000000000000186,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0
1789204570.9995904,1.9170798625571175e-06,1.9170798625571175e-06,-0.009999999999999998,0.11,False,True,-0.16000000000000272,0.16000000000000272,-0.16000000000000272,0.16000000000000272,-0.16000000000000272,0.16000000000000272,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0040059532000000005,0.1,0.0,0.0,0.0,0.0
1789204571.0095975,3.747253639183325e-06,3.747253639183325e-06,-0.009999999999999998,0.11,False,True,-0.1599999999999977,0.1599999999999977,-0.16000000000000628,0.16000000000000628,-0.16000000000000628,0.16000000000000628,-0.015,0.115,1.0,0.0,0.0,0.008043188071412403,0.09999972489521654,0.0,5.678200000000347e-06,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0080433944,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.008043260286418063,0.09999982118189076,0.0,3.6908300000002277e-06,0.0,0.0
1789204571.0195515,6.4428083216875286e-06,6.4428083216875286e-06,-0.009999999999999998,0.11,False,True,-0.16000000000000358,0.16000000000000358,-0.16000000000000358,0.16000000000000358,-0.16000000000000358,0.16000000000000358,-0.015,0.115,1.0,0.0,0.0,0.008043188071412403,0.09999972489521654,0.0,5.678200000000347e-06,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0080433944,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.008043260286418063,0.09999982118189076,0.0,3.6908300000002277e-06,0.0,0.0
1789204571.0295093,1.0127358655830014e-05,1.0127358655830014e-05,-0.009999999999999998,0.11,False,True,-0.15999999999998846,0.15999999999998846,-0.1600000000000056,0.1600000000000056,-0.1600000000000056,0.1600000000000056,-0.015,0.115,1.0,0.0,0.0,0.008043188071412403,0.09999972489521654,0.0,5.678200000000347e-06,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0080433944,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.008043260286418063,0.09999982118189076,0.0,3.6908300000002277e-06,0.0,0.0
1789204571.0395808,1.5066066215873246e-05,1.5066066215873246e-05,-0.009999999999999998,0.11,False,True,-0.15999999999999936,0.15999999999999936,-0.15999999999999936,0.15999999999999936,-0.15999999999999936,0.15999999999999936,-0.015,0.115,1.0,0.0,0.0,0.008043188071412403,0.09999972489521654,0.0,5.678200000000347e-06,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.0080433944,0.1,0.0,0.0,0.0,0.0,-0.015,0.115,1.0,0.0,0.0,0.008043260286418063,0.09999982118189076,0.0,3.6908300000002277e-06,0.0,0.0
1789204571.0495822,2.1340072429014465e-05,2.1340072429014465e-05,-0.009999999999999998,0.11,False,True,-0.16000000000000228,0.16000000000000228,-0.16000000000000228,0.16000000000000228,-0.16000000000000228,0.16000000000000228,-0.015,0.115,1.0,0.0,0.0,0.01203856768300109,0.09999799197426332,0.0,3.912557082027742e-05,-6.272389063088912e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.01204018015389276,0.0999998797475653,0.0,3.404421695350768e-07,4.5392289271806163e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.01203913121656226,0.09999864453291922,0.0,2.5573884594329638e-05,-2.180205408895686e-07,0.0
1789204571.0595865,2.915091021325571e-05,2.915091021325571e-05,-0.009999999999999998,0.11,False,True,-0.16000000000000023,0.16000000000000023,-0.16000000000000023,0.16000000000000023,-0.16000000000000023,0.16000000000000023,-0.015,0.115,1.0,0.0,0.0,0.01203856768300109,0.09999799197426332,0.0,3.912557082027742e-05,-6.272389063088912e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.01204018015389276,0.0999998797475653,0.0,3.404421695350768e-07,4.5392289271806163e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.01203913121656226,0.09999864453291922,0.0,2.5573884594329638e-05,-2.180205408895686e-07,0.0
1789204571.0695627,3.855606617491769e-05,3.855606617491769e-05,-0.009999999999999998,0.11,False,True,-0.1599999999999914,0.1599999999999914,-0.16000000000000852,0.16000000000000852,-0.16000000000000852,0.16000000000000852,-0.015,0.115,1.0,0.0,0.0,0.01203856768300109,0.09999799197426332,0.0,3.912557082027742e-05,-6.272389063088912e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.01204018015389276,0.0999998797475653,0.0,3.404421695350768e-07,4.5392289271806163e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.01203913121656226,0.09999864453291922,0.0,2.5573884594329638e-05,-2.180205408895686e-07,0.0
1789204571.0795298,4.981652237726854e-05,4.981652237726854e-05,-0.009999999999999998,0.11,False,True,-0.1599999999999945,0.1599999999999945,-0.16000000000000303,0.16000000000000303,-0.16000000000000303,0.16000000000000303,-0.015,0.115,1.0,0.0,0.0,0.01203856768300109,0.09999799197426332,0.0,3.912557082027742e-05,-6.272389063088912e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.01204018015389276,0.0999998797475653,0.0,3.404421695350768e-07,4.5392289271806163e-07,0.0,-0.015,0.115,1.0,0.0,0.0,0.01203913121656226,0.09999864453291922,0.0,2.5573884594329638e-05,-2.180205408895686e-07,0.0
1789204571.0895722,6.307818266114848e-05,6.307818266114848e-05,-0.009999999999999998,0.11,False,True,-0.159999999999992,0.159999999999992,-0.1600000000000091,0.1600000000000091,-0.1600000000000091,0.1600000000000091,-0.015,0.115,1.0,0.0,0.0,0.016050182096734724,0.09999726744971967,0.0,3.6132685260481516e-05,-4.417845963394784e-06,0.0,-0.015,0.115,1.0,0.0,0.0,0.016053079206081795,0.09999903369063574,0.0,2.661408222172368e-06,3.1229879480648703e-06,0.0,-0.015,0.115,1.0,0.0,0.0,0.01605118850327578,0.099997826562712,0.0,2.4595575283901602e-05,-1.5942213238688553e-06,0.0
1789204571.099553,7.834059000191198e-05,7.834059000191198e-05,-0.009999999999999998,0.11,False,True,-0.16000000000000072,0.16000000000000072,-0.16000000000000072,0.16000000000000072,-0.16000000000000072,0.16000000000000072,-0.015,0.115,1.0,0.0,0.0,0.016050182096734724,0.09999726744971967,0.0,3.6132685260481516e-05,-4.417845963394784e-06,0.0,-0.015,0.115,1.0,0.0,0.0,0.016053079206081795,0.09999903369063574,0.0,2.661408222172368e-06,3.1229879480648703e-06,0.0,-0.015,0.115,1.0,0.0,0.0,0.01605118850327578,0.099997826562712,0.0,2.4595575283901602e-05,-1.5942213238688553e-06,0.0
