stamp,localization_valid,load_s_actual,load_s_dot_actual,load_pose_x,load_pose_y,load_pose_yaw,equivalent_load_pose_x,equivalent_load_pose_y,equivalent_load_pose_yaw,measured_load_source_frame,measured_load_alignment_status,measured_load_pose_x,measured_load_pose_y,measured_load_pose_yaw,measured_load_pose_valid,load_x_reference,load_y_reference,load_yaw_reference,load_s_reference,load_velocity_reference,evaluation_active,agv1_robot_pose_x,agv1_robot_pose_y,agv1_robot_pose_yaw,agv1_support_pose_x,agv1_support_pose_y,agv1_support_pose_yaw,agv1_s_actual,agv1_s_initial_offset,agv1_s_tracking_actual,agv1_s_origin_aligned_actual,agv1_s_dot_actual,agv1_s_execute_reference,agv1_s_dot_execute_reference,agv1_support_reference_x,agv1_support_reference_y,agv1_support_reference_yaw,agv2_robot_pose_x,agv2_robot_pose_y,agv2_robot_pose_yaw,agv2_support_pose_x,agv2_support_pose_y,agv2_support_pose_yaw,agv2_s_actual,agv2_s_initial_offset,agv2_s_tracking_actual,agv2_s_origin_aligned_actual,agv2_s_dot_actual,agv2_s_execute_reference,agv2_s_dot_execute_reference,agv2_support_reference_x,agv2_support_reference_y,agv2_support_reference_yaw,agv3_robot_pose_x,agv3_robot_pose_y,agv3_robot_pose_yaw,agv3_support_pose_x,agv3_support_pose_y,agv3_support_pose_yaw,agv3_s_actual,agv3_s_initial_offset,agv3_s_tracking_actual,agv3_s_origin_aligned_actual,agv3_s_dot_actual,agv3_s_execute_reference,agv3_s_dot_execute_reference,agv3_support_reference_x,agv3_support_reference_y,agv3_support_reference_yaw
1789378816.3258646,True,0.0006888390797627948,0.008965140968096107,0.0006888390797627948,1.3811511194315054e-10,8.844282948046603e-05,nan,nan,nan,,missing_or_inconsistent_frame,nan,nan,nan,False,nan,nan,nan,nan,nan,True,0.1917120457631763,-5.525050589218352e-12,-1.4781188273360613e-08,0.1738820457631763,2.580235363248014e-10,-1.4781188273360613e-08,0.0006769650062886179,nan,0.0005533989571459889,nan,0.008876139349157378,0.010015276053233383,0.010647853859710128,nan,nan,nan,-0.18501429609753392,0.15000000000029748,7.845071259282577e-10,-0.08593429609753392,0.15000000007802644,7.845071259282577e-10,0.0006682442809099855,nan,0.0004937651798440167,nan,0.008352882033621006,0.010015276053233383,0.01023008218180069,nan,nan,nan,-0.18496123242635412,-0.1499999999996844,7.87038434424403e-10,-0.08588123242635412,-0.14999999992170465,7.87038434424403e-10,0.0007213079520897859,nan,0.0005412188518944627,nan,0.008952376995472699,0.010015276053233383,0.010868736446719006,nan,nan,nan
1789378816.3357933,True,0.0008477243014247682,0.010199404757840282,0.0008477243014247682,1.614405368687487e-10,0.00010753668290444489,nan,nan,nan,,missing_or_inconsistent_frame,nan,nan,nan,False,nan,nan,nan,nan,nan,True,0.19191616644417347,-8.861190289181753e-12,-1.7850786182549427e-08,0.1740861664441735,3.094183273456745e-10,-1.7850786182549427e-08,0.0008810856872857845,0.0,0.0006769650062886179,0.0008810856872857845,0.010506011064853245,0.011002140661189434,0.012235507849674412,nan,nan,nan,-0.18488376075372198,0.15000000000040617,8.774816429024668e-10,-0.08580376075372198,0.15000000008734704,8.774816429024668e-10,0.0007987796247219275,0.0,0.0006682442809099855,0.0007987796247219275,0.009945633981489583,0.011002140661189434,0.011716643302082465,nan,nan,nan,-0.18481923278617732,-0.1499999999995661,8.793130668038884e-10,-0.08573923278617732,-0.14999999991244375,8.793130668038884e-10,0.0008633075922665967,0.0,0.0007213079520897859,0.0008633075922665967,0.010730229789968465,0.011002140661189434,0.012309607843738942,nan,nan,nan
1789378816.3458743,True,0.0010556959712787104,0.012537532824089833,0.0010556959712787104,1.8272808266940045e-10,0.00012022212510767434,0.0010556959712787115,1.8272808266953947e-10,0.00012022212510767433,,missing_or_inconsistent_frame,nan,nan,nan,False,0.012011772580152172,0.0,0.0,0.012011772580152172,0.09999916989869935,True,0.19207710676536252,-1.1909615931232689e-11,-2.0031897474126488e-08,0.17424710676536254,3.4525911603244253e-10,-2.003189747412649e-08,0.0010420260084748312,0.0,0.0008810856872857845,0.0010420260084748312,0.012425133636281534,0.012011772580152172,0.013972905687981887,0.18521685333703988,0.0,0.0,-0.18465607449945945,0.15000000000062222,1.0163474506441617e-09,-0.08557607449945945,0.15000000010132192,1.0163474506441617e-09,0.0010264658789844632,0.0,0.0007987796247219275,0.0010264658789844632,0.011752081068852048,0.012011772580152172,0.013419258135833365,-0.07459076779829174,0.15,0.0,-0.18458394435206707,-0.1499999999993423,1.0188281329703841e-09,-0.08550394435206707,-0.1499999998983968,1.0188281329703841e-09,0.0010985960263768372,0.0,0.0008633075922665967,0.0010985960263768372,0.012483627566534271,0.012011772580152172,0.014195143957207964,-0.07459076779829174,-0.15,0.0
1789378816.3558078,True,0.001258298238338701,0.013889309147408414,0.001258298238338701,2.0732027206612065e-10,0.00013998444014545994,0.0012582982383386985,2.0732027206579686e-10,0.00013998444014545994,,missing_or_inconsistent_frame,nan,nan,nan,False,0.013000302307171916,0.0,0.0,0.013000302307171916,0.09999895067683595,True,0.19233849350063778,-1.759684864816689e-11,-2.3443483598839514e-08,0.1745084935006378,4.0040046391914154e-10,-2.344348359883951e-08,0.0013034127437500903,0.0,0.0010420260084748312,0.0013034127437500903,0.014288659868238126,0.013000302307171916,0.01584693114105498,0.18620538306405962,0.0,0.0,-0.18448880002715168,0.1500000000008002,1.1089249518647648e-09,-0.08540880002715168,0.15000000011067247,1.1089249518647648e-09,0.0011937403512922266,0.0,0.0010264658789844632,0.0011937403512922266,0.013582832842556857,0.013000302307171916,0.015180536452530074,-0.07360223807127199,0.15,0.0,-0.18440479875847013,-0.14999999999915156,1.1106120467729852e-09,-0.08532479875847013,-0.1499999998891121,1.1106120467729852e-09,0.0012777416199737759,0.0,0.0010985960263768372,0.0012777416199737759,0.014503694934751954,0.013000302307171916,0.015902869619682007,-0.07360223807127199,-0.15,0.0
1789378816.3659086,True,0.0015181033234894226,0.01658060091208474,0.0015181033234894226,2.2956157345984426e-10,0.00015403631217804887,0.001518103323489422,2.2956157345975518e-10,0.00015403631217804887,,missing_or_inconsistent_frame,nan,nan,nan,False,0.014017265735827112,0.0,0.0,0.014017265735827112,0.09999895067683595,True,0.19253879439325303,-2.2536421103117976e-11,-2.5878038378834844e-08,0.17470879439325304,4.3886900319150723e-10,-2.5878038378834844e-08,0.0015037136363653496,0.0,0.0013034127437500903,0.0015037136363653496,0.016448234085278502,0.014017265735827112,0.017833718841831436,0.18722234649271483,0.0,0.0,-0.18420345100457072,0.15000000000113692,1.2479324240644019e-09,-0.08512345100457072,0.15000000012478207,1.2479324240644019e-09,0.0014790893738731857,0.0,0.0011937403512922266,0.0014790893738731857,0.015622522545261364,0.014017265735827112,0.01713769393238213,-0.0725852746426168,0.15,0.0,-0.18411103341821417,-0.14999999999880434,1.2498788670711747e-09,-0.08503103341821416,-0.14999999987496634,1.2498788670711747e-09,0.0015715069602297402,0.0,0.0012777416199737759,0.0015715069602297402,0.01648417271197687,0.014017265735827112,0.018046594222283587,-0.0725852746426168,-0.15,0.0
1789378816.3758335,True,0.0017688341899125641,0.01803913499841106,0.0017688341899125641,2.55711942368053e-10,0.00017769655318380196,0.00176883418991256,2.557119423673338e-10,0.00017769655318380196,,missing_or_inconsistent_frame,nan,nan,nan,False,0.014997350551462198,0.0,0.0,0.014997350551462198,0.09999895067683595,True,0.19286234652141,-3.153521557385258e-11,-2.9718139504808505e-08,0.17503234652141,4.98339211796883e-10,-2.9718139504808505e-08,0.0018272657645222875,0.0,0.0015037136363653496,0.0018272657645222875,0.01853655344614607,0.014997350551462198,0.01988598410735231,0.1882024313083499,0.0,0.0,-0.18399623972425033,0.15000000000140537,1.340986877096384e-09,-0.08491623972425033,0.15000000013427034,1.340986877096384e-09,0.0016863006541935734,0.0,0.0014790893738731857,0.0016863006541935734,0.017678521132164286,0.014997350551462198,0.019069761290532405,-0.0716051898269817,0.15,0.0,-0.1838896042274221,-0.1499999999985173,1.3427894351991654e-09,-0.08480960422742209,-0.14999999986547372,1.3427894351991654e-09,0.001792936151021812,0.0,0.0015715069602297402,0.001792936151021812,0.018746167082680103,0.014997350551462198,0.019919060806738074,-0.0716051898269817,-0.15,0.0
1789378816.3859677,True,0.002086708758269551,0.021125065271336455,0.002086708758269551,2.7927544536954125e-10,0.00019997149286050088,0.0020867087582695488,2.7927544536907875e-10,0.00019997149286050085,,missing_or_inconsistent_frame,nan,nan,nan,False,0.016021041809519982,0.0,0.0,0.016021041809519982,0.09999895067683595,True,0.19310569134128755,-3.9102974789125545e-11,-3.247968516362221e-08,0.17527569134128757,5.400098116782582e-10,-3.247968516362221e-08,0.002070610584399864,0.0,0.0018272657645222875,0.002070610584399864,0.020942456409239557,0.016021041809519982,0.022145467873355012,0.1892261225664077,0.0,0.0,-0.1836477709682066,0.15000000000189764,1.481543332459978e-09,-0.08456777096820658,0.15000000014868894,1.481543332459978e-09,0.002034769410237328,0.0,0.0016863006541935734,0.002034769410237328,0.019950358119818705,0.016021041809519982,0.02130117100926158,-0.07058149856892393,0.15,0.0,-0.18352779409827244,-0.14999999999800517,1.4849894647284145e-09,-0.08444779409827244,-0.14999999985087242,1.4849894647284145e-09,0.0021547462801714654,0.0,0.001792936151021812,0.0021547462801714654,0.020948894413434525,0.016021041809519982,0.022352744082604455,-0.07058149856892393,-0.15,0.0
1789378816.3958402,True,0.0023883908310247575,0.022568531663750554,0.0023883908310247575,3.072118485612794e-10,0.0002262755607322052,0.002388390831024752,3.0721184855997103e-10,0.0002262755607322052,,missing_or_inconsistent_frame,nan,nan,nan,False,0.017000344970859574,0.0,0.0,0.017000344970859574,0.10000016964536367,True,0.19349436604999756,-5.2577587660112124e-11,-3.68407033768392e-08,0.17566436604999758,6.042921535489306e-10,-3.68407033768392e-08,0.002459285293109871,0.0,0.002070610584399864,0.002459285293109871,0.02323891803007564,0.017000344970859574,0.024409432584773832,0.1902054257277473,0.0,0.0,-0.18339749308306702,0.15000000000228048,1.5759660243475082e-09,-0.08431749308306702,0.15000000015842718,1.5759660243475082e-09,0.002285047295376894,0.0,0.002034769410237328,0.002285047295376894,0.02221768715603869,0.017000344970859574,0.023430561888463722,-0.06960219540758433,0.15,0.0,-0.1832617004738564,-0.14999999999759742,1.5796692842684479e-09,-0.0841817004738564,-0.14999999984108378,1.5796692842684479e-09,0.002420839904587504,0.0,0.0021547462801714654,0.002420839904587504,0.023424652757591195,0.017000344970859574,0.024412679216629048,-0.06960219540758433,-0.15,0.0
1789378816.405978,True,0.002764926295282494,0.02610490155435126,0.002764926295282494,3.323273970915322e-10,0.00023858693887119143,0.002764926295282495,3.323273970918081e-10,0.0002385869388711721,,missing_or_inconsistent_frame,nan,nan,nan,False,0.018010050383775088,0.0,0.0,0.018010050383775088,0.10000016964536367,True,0.19378538929882502,-6.376333534188208e-11,-4.003114595363399e-08,0.17595538929882504,6.499919970114116e-10,-4.003114595363398e-08,0.0027503085419373265,0.0,0.002459285293109871,0.0027503085419373265,0.025855335195625915,0.018010050383775088,0.026823319095284598,0.1912151311406628,0.0,0.0,-0.18298187799404805,0.15000000000296576,1.7192349766048665e-09,-0.08390187799404805,0.15000000017330756,1.7192349766048665e-09,0.002700662384395857,0.0,0.002285047295376894,0.002700662384395857,0.024701294689395196,0.018010050383775088,0.025820444074362365,-0.06859248999466883,0.15,0.0,-0.18283873241892962,-0.1499999999968987,1.7216525982632902e-09,-0.08375873241892962,-0.14999999982631737,1.7216525982632902e-09,0.002843807959514285,0.0,0.002420839904587504,0.002843807959514285,0.02584390530975555,0.018010050383775088,0.027006681386886933,-0.06859248999466883,-0.15,0.0
1789378816.4158785,True,0.0031207988576989103,0.027663091522495565,0.0031207988576989103,3.6243555380101544e-10,0.00026443540350332763,0.003120798857698908,3.6243555380040385e-10,0.00026443540350334693,,missing_or_inconsistent_frame,nan,nan,nan,False,0.01900426117040473,0.0,0.0,0.01900426117040473,0.10000016964536367,True,0.19424492904691656,-8.331538587043082e-11,-4.5060106312888586e-08,0.17641492904691658,7.201063096883724e-10,-4.5060106312888586e-08,0.0032098482900288884,0.0,0.0027503085419373265,0.0032098482900288884,0.028352809020967623,0.01900426117040473,0.029390922649277975,0.19220934192729244,0.0,0.0,-0.1826856169430711,0.15000000000348962,1.8158208270335763e-09,-0.08360561694307109,0.15000000018340115,1.8158208270335763e-09,0.002996923435372825,0.0,0.002700662384395857,0.002996923435372825,0.027167215934833,0.01900426117040473,0.028255012809504036,-0.06759827920803918,0.15,0.0,-0.18252691553074887,-0.1499999999963468,1.8181873784328673e-09,-0.08344691553074887,-0.1499999998162008,1.8181873784328673e-09,0.0031556248476950306,0.0,0.002843807959514285,0.0031556248476950306,0.028523273435383148,0.01900426117040473,0.029376026727422865,-0.06759827920803918,-0.15,0.0
