evidence_scope,method,phase,metric,statistic,value
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,progress,signed_maximum,-0.00016813108379509778
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,progress,signed_mean,-0.0003100939727621791
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,progress,RMS,0.000326470340516834
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,progress,IAE,0.0009302234379445174
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,progress,existing_quality_threshold,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,progress,quality_exceeded,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,progress,duration_above_threshold_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,progress,first_exceedance_relative_wall_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,progress,first_exceedance_value,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,peak,0.0013996880941542554
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,signed_minimum,-0.0013996880941542554
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,signed_maximum,-0.0013562213575920644
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,signed_mean,-0.0013803012682294421
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,RMS,0.0013803594380816127
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,IAE,0.004140643494919848
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,existing_quality_threshold,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,quality_exceeded,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,duration_above_threshold_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,first_exceedance_relative_wall_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_lateral,first_exceedance_value,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,peak,0.0007665597954282788
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,signed_minimum,-0.0007665597954282788
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,signed_maximum,-0.0003475557877909985
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,signed_mean,-0.0005640864251274883
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,RMS,0.000583597409182828
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,IAE,0.0016921528948334453
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,existing_quality_threshold,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,quality_exceeded,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,duration_above_threshold_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,first_exceedance_relative_wall_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_heading,first_exceedance_value,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,peak,0.0004335704029134654
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,signed_minimum,0.0001636480861201329
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,signed_maximum,0.0004335704029134654
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,signed_mean,0.0003049852819578648
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,RMS,0.0003229594033610183
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,IAE,0.0009148983289749555
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,existing_quality_threshold,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,quality_exceeded,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,duration_above_threshold_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,first_exceedance_relative_wall_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_longitudinal,first_exceedance_value,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,peak,0.0003924177523531025
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,signed_minimum,-0.0003924177523531025
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,signed_maximum,-0.00012636740756555298
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,signed_mean,-0.0002627712975336246
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,RMS,0.0002823500504983005
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,IAE,0.000788264336799399
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,existing_quality_threshold,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,quality_exceeded,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,duration_above_threshold_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,first_exceedance_relative_wall_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv1_progress,first_exceedance_value,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,peak,0.0016477980814609962
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,signed_minimum,-0.0016477980814609962
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,signed_maximum,-0.0015419858190553826
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,signed_mean,-0.0015994260416051372
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,RMS,0.0015997159674571097
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,IAE,0.004797976490503996
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,existing_quality_threshold,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,quality_exceeded,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,duration_above_threshold_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,first_exceedance_relative_wall_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_lateral,first_exceedance_value,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,peak,0.000723724478128629
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,signed_minimum,-0.000723724478128629
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,signed_maximum,-0.0002797453340210865
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,signed_mean,-0.0005150889629894871
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,RMS,0.000536573214112944
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,IAE,0.0015451697488065358
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,existing_quality_threshold,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,quality_exceeded,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,duration_above_threshold_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,first_exceedance_relative_wall_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_heading,first_exceedance_value,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_longitudinal,peak,0.0003317500823266052
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,agv2_longitudinal,signed_minimum,2.153085925239854e-05
