stamp,common_velocity_reference,mapped_common_velocity_lower,mapped_common_velocity_upper,evaluation_active,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi
1788412643.2154334,nan,nan,nan,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788412643.2254612,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.2354732,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.2454996,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.2554314,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.2654877,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.2754295,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.285487,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.2954295,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.305595,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.3154304,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.3255734,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.3354287,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.3454804,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.3554282,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.3654766,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.3754869,0.0,0.0,0.0,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
1788412643.3855612,5.004790770741526e-07,-0.04508661929017597,0.4964882030479839,False,-0.05508661929017597,0.5064882030479839,0.032221517367514094,0.9186271501965994,0.8726957926867693,0.0020107566,0.05,0.0,0.0,0.0,0.0,-0.05560304127550628,0.5079083635076423,0.07396604170891846,0.8220746368254445,0.7809709049841722,0.0020107566,0.05,0.0,0.0,0.0,0.0,-0.05561406426909669,0.5079386767400159,0.07490390715746177,0.8200137297257079,0.7790130432394224,0.0020107566,0.05,0.0,0.0,0.0,0.0
1788412643.3954284,3.906300371218351e-06,-0.04508661929017597,0.4964882030479839,False,-0.05508661929017597,0.5064882030479839,0.032221517367514094,0.9186271501965994,0.8726957926867693,0.0020107566,0.05,0.0,0.0,0.0,0.0,-0.05560304127550628,0.5079083635076423,0.07396604170891846,0.8220746368254445,0.7809709049841722,0.0020107566,0.05,0.0,0.0,0.0,0.0,-0.05561406426909669,0.5079386767400159,0.07490390715746177,0.8200137297257079,0.7790130432394224,0.0020107566,0.05,0.0,0.0,0.0,0.0
1788412643.4054477,1.3069040274426844e-05,-0.04508661929017597,0.4964882030479839,False,-0.05508661929017597,0.5064882030479839,0.032221517367514094,0.9186271501965994,0.8726957926867693,0.0020107566,0.05,0.0,0.0,0.0,0.0,-0.05560304127550628,0.5079083635076423,0.07396604170891846,0.8220746368254445,0.7809709049841722,0.0020107566,0.05,0.0,0.0,0.0,0.0,-0.05561406426909669,0.5079386767400159,0.07490390715746177,0.8200137297257079,0.7790130432394224,0.0020107566,0.05,0.0,0.0,0.0,0.0
1788412643.4155369,3.0194624875185798e-05,-0.04508661929017597,0.4964882030479839,False,-0.05508661929017597,0.5064882030479839,0.032221517367514094,0.9186271501965994,0.8726957926867693,0.0020107566,0.05,0.0,0.0,0.0,0.0,-0.05560304127550628,0.5079083635076423,0.07396604170891846,0.8220746368254445,0.7809709049841722,0.0020107566,0.05,0.0,0.0,0.0,0.0,-0.05561406426909669,0.5079386767400159,0.07490390715746177,0.8200137297257079,0.7790130432394224,0.0020107566,0.05,0.0,0.0,0.0,0.0
1788412643.4255698,5.8100160404594734e-05,-0.04021943441935305,0.4831575967682394,False,-0.05021943441935305,0.4931575967682394,0.02617297333790125,0.9334301508967531,0.8867586433519153,0.004014319763059231,0.04999957381741231,0.0,8.86159999999997e-06,0.0,0.0,-0.05146417267293092,0.49657493529534186,0.08661723482667888,0.7946582827667753,0.7549253686284365,0.0040146394000000005,0.05,0.0,0.0,0.0,0.0,-0.05136388013294695,0.496299009322056,0.07696710694595095,0.8154961283452696,0.7747213219280061,0.0040144316359885,0.049999722981318,0.0,5.7600399999999815e-06,0.0,0.0
1788412643.43555,9.865537819063524e-05,-0.04021943441935305,0.4831575967682394,False,-0.05021943441935305,0.4931575967682394,0.02617297333790125,0.9334301508967531,0.8867586433519153,0.004014319763059231,0.04999957381741231,0.0,8.86159999999997e-06,0.0,0.0,-0.05146417267293092,0.49657493529534186,0.08661723482667888,0.7946582827667753,0.7549253686284365,0.0040146394000000005,0.05,0.0,0.0,0.0,0.0,-0.05136388013294695,0.496299009322056,0.07696710694595095,0.8154961283452696,0.7747213219280061,0.0040144316359885,0.049999722981318,0.0,5.7600399999999815e-06,0.0,0.0
1788412643.445644,0.00015502752054105597,-0.04021943441935305,0.4831575967682394,False,-0.05021943441935305,0.4931575967682394,0.02617297333790125,0.9334301508967531,0.8867586433519153,0.004014319763059231,0.04999957381741231,0.0,8.86159999999997e-06,0.0,0.0,-0.05146417267293092,0.49657493529534186,0.08661723482667888,0.7946582827667753,0.7549253686284365,0.0040146394000000005,0.05,0.0,0.0,0.0,0.0,-0.05136388013294695,0.496299009322056,0.07696710694595095,0.8154961283452696,0.7747213219280061,0.0040144316359885,0.049999722981318,0.0,5.7600399999999815e-06,0.0,0.0
1788412643.4555528,0.0002262819114458467,-0.04021943441935305,0.4831575967682394,False,-0.05021943441935305,0.4931575967682394,0.02617297333790125,0.9334301508967531,0.8867586433519153,0.004014319763059231,0.04999957381741231,0.0,8.86159999999997e-06,0.0,0.0,-0.05146417267293092,0.49657493529534186,0.08661723482667888,0.7946582827667753,0.7549253686284365,0.0040146394000000005,0.05,0.0,0.0,0.0,0.0,-0.05136388013294695,0.496299009322056,0.07696710694595095,0.8154961283452696,0.7747213219280061,0.0040144316359885,0.049999722981318,0.0,5.7600399999999815e-06,0.0,0.0
1788412643.465594,0.0003186196271275598,-0.035396437248307176,0.47000214991987493,False,-0.04539643724830718,0.48000214991987494,0.026175381308792916,0.9334242151911938,0.8867530044316341,0.0060442587292015935,0.049998996471146175,0.0,1.378797777504582e-05,-9.716962999395395e-07,0.0,-0.0473628382776899,0.4853903106645111,0.08661601465081703,0.794660887384379,0.75492784301516,0.006045080324400426,0.049999906005322246,0.0,5.274009522698159e-07,7.032012696930878e-07,0.0,-0.047152325988011085,0.4848124036064276,0.07697319741547624,0.8154828254215165,0.7747086841504407,0.006044544979116851,0.049999308313386705,0.0,9.182575224440415e-06,-3.377497007465286e-07,0.0
1788412643.4754617,0.0004284366725734584,-0.035396437248307176,0.47000214991987493,False,-0.04539643724830718,0.48000214991987494,0.026175381308792916,0.9334242151911938,0.8867530044316341,0.0060442587292015935,0.049998996471146175,0.0,1.378797777504582e-05,-9.716962999395395e-07,0.0,-0.0473628382776899,0.4853903106645111,0.08661601465081703,0.794660887384379,0.75492784301516,0.006045080324400426,0.049999906005322246,0.0,5.274009522698159e-07,7.032012696930878e-07,0.0,-0.047152325988011085,0.4848124036064276,0.07697319741547624,0.8154828254215165,0.7747086841504407,0.006044544979116851,0.049999308313386705,0.0,9.182575224440415e-06,-3.377497007465286e-07,0.0
1788412643.4854693,0.0005608561166224028,-0.035396437248307176,0.47000214991987493,False,-0.04539643724830718,0.48000214991987494,0.026175381308792916,0.9334242151911938,0.8867530044316341,0.0060442587292015935,0.049998996471146175,0.0,1.378797777504582e-05,-9.716962999395395e-07,0.0,-0.0473628382776899,0.4853903106645111,0.08661601465081703,0.794660887384379,0.75492784301516,0.006045080324400426,0.049999906005322246,0.0,5.274009522698159e-07,7.032012696930878e-07,0.0,-0.047152325988011085,0.4848124036064276,0.07697319741547624,0.8154828254215165,0.7747086841504407,0.006044544979116851,0.049999308313386705,0.0,9.182575224440415e-06,-3.377497007465286e-07,0.0
1788412643.4954407,0.0007159824533368149,-0.035396437248307176,0.47000214991987493,False,-0.04539643724830718,0.48000214991987494,0.026175381308792916,0.9334242151911938,0.8867530044316341,0.0060442587292015935,0.049998996471146175,0.0,1.378797777504582e-05,-9.716962999395395e-07,0.0,-0.0473628382776899,0.4853903106645111,0.08661601465081703,0.794660887384379,0.75492784301516,0.006045080324400426,0.049999906005322246,0.0,5.274009522698159e-07,7.032012696930878e-07,0.0,-0.047152325988011085,0.4848124036064276,0.07697319741547624,0.8154828254215165,0.7747086841504407,0.006044544979116851,0.049999308313386705,0.0,9.182575224440415e-06,-3.377497007465286e-07,0.0
1788412643.505438,0.0008954840713276135,-0.0307511629061136,0.45738409909430305,False,-0.0407511629061136,0.46738409909430306,0.026176003232965088,0.9334226821388368,0.8867515480318949,0.008042988193993903,0.049997137118207635,0.0,4.3070534070553847e-05,-2.16253682232409e-06,0.0,-0.04341258484101583,0.47466243902782324,0.08661228592295427,0.7946688468660839,0.7549354045227796,0.008045348106327885,0.0499996960693384,0.0,1.3569404824081976e-06,1.5072261116133578e-06,0.0,-0.0430961639370504,0.47379557323722843,0.0769910502671029,0.8154438319820881,0.7746716403829838,0.008043809438279008,0.04999801395690394,0.0,2.8558451074582654e-05,-7.97814441761205e-07,0.0
1788412643.5154407,0.0011000576455247571,-0.0307511629061136,0.45738409909430305,False,-0.0407511629061136,0.46738409909430306,0.026176003232965088,0.9334226821388368,0.8867515480318949,0.008042988193993903,0.049997137118207635,0.0,4.3070534070553847e-05,-2.16253682232409e-06,0.0,-0.04341258484101583,0.47466243902782324,0.08661228592295427,0.7946688468660839,0.7549354045227796,0.008045348106327885,0.0499996960693384,0.0,1.3569404824081976e-06,1.5072261116133578e-06,0.0,-0.0430961639370504,0.47379557323722843,0.0769910502671029,0.8154438319820881,0.7746716403829838,0.008043809438279008,0.04999801395690394,0.0,2.8558451074582654e-05,-7.97814441761205e-07,0.0
1788412643.5254395,0.0013307505310760897,-0.0307511629061136,0.45738409909430305,False,-0.0407511629061136,0.46738409909430306,0.026176003232965088,0.9334226821388368,0.8867515480318949,0.008042988193993903,0.049997137118207635,0.0,4.3070534070553847e-05,-2.16253682232409e-06,0.0,-0.04341258484101583,0.47466243902782324,0.08661228592295427,0.7946688468660839,0.7549354045227796,0.008045348106327885,0.0499996960693384,0.0,1.3569404824081976e-06,1.5072261116133578e-06,0.0,-0.0430961639370504,0.47379557323722843,0.0769910502671029,0.8154438319820881,0.7746716403829838,0.008043809438279008,0.04999801395690394,0.0,2.8558451074582654e-05,-7.97814441761205e-07,0.0
