stamp,localization_valid,load_s_actual,load_s_dot_actual,load_pose_x,load_pose_y,load_pose_yaw,load_x_reference,load_y_reference,load_yaw_reference,load_s_reference,load_velocity_reference,evaluation_active,agv1_robot_pose_x,agv1_robot_pose_y,agv1_robot_pose_yaw,agv1_support_pose_x,agv1_support_pose_y,agv1_support_pose_yaw,agv1_s_actual,agv1_s_dot_actual,agv1_support_reference_x,agv1_support_reference_y,agv1_support_reference_yaw,agv2_robot_pose_x,agv2_robot_pose_y,agv2_robot_pose_yaw,agv2_support_pose_x,agv2_support_pose_y,agv2_support_pose_yaw,agv2_s_actual,agv2_s_dot_actual,agv2_support_reference_x,agv2_support_reference_y,agv2_support_reference_yaw,agv3_robot_pose_x,agv3_robot_pose_y,agv3_robot_pose_yaw,agv3_support_pose_x,agv3_support_pose_y,agv3_support_pose_yaw,agv3_s_actual,agv3_s_dot_actual,agv3_support_reference_x,agv3_support_reference_y,agv3_support_reference_yaw
1788412643.2154334,True,0.0,-0.00027236494425746707,-0.00021851130845879316,0.0003021286807318539,0.30392513589808307,nan,nan,nan,nan,nan,False,0.23638605288795067,0.07845535923323488,0.2605160669343052,0.21915768739206531,0.07386272139206054,0.2605160669343052,0.000277260872212704,-8.49362610463374e-05,nan,nan,nan,-0.14919442144942563,0.16146257310113044,0.27193671575892275,-0.1663692136353975,0.1566734799334546,0.27193671575892275,0.003689936202632581,-0.008681265990119123,nan,nan,nan,-0.03612777089543995,-0.22538048080010298,0.24064077331286327,-0.053444007682044194,-0.22962981528331958,0.24064077331286327,0.0,0.0,nan,nan,nan
1788412643.2254612,True,0.0,-0.00027236494425746707,-0.00021851130845879316,0.0003021286807318539,0.30392513589808307,0.0,0.0,0.3043957973646151,0.0,0.0,False,0.23638605288795067,0.07845535923323488,0.2605160669343052,0.21915768739206531,0.07386272139206054,0.2605160669343052,0.000277260872212704,-8.49362610463374e-05,0.0,0.0,0.0,-0.14919442144942563,0.16146257310113044,0.27193671575892275,-0.1663692136353975,0.1566734799334546,0.27193671575892275,0.003689936202632581,-0.008681265990119123,0.0,0.0,0.0,-0.03612777089543995,-0.22538048080010298,0.24064077331286327,-0.053444007682044194,-0.22962981528331958,0.24064077331286327,0.0,0.0,0.0,0.0,0.0
1788412643.2354732,True,0.0,-0.00021789195540597366,-0.00022480726176378243,0.00030868576508332374,0.3039602517780728,0.0,0.0,0.3043957973646151,0.0,0.0,False,0.23636825220430513,0.07847095021999384,0.26027924019986237,0.21913879953215035,0.07388239264511495,0.26027924019986237,0.0002652580964879348,-0.00026987139867142864,0.0,0.0,0.0,-0.14919442144942563,0.16146257310113044,0.27193671575892275,-0.1663692136353975,0.1566734799334546,0.27193671575892275,0.0036899362026325505,-0.006945012792095804,0.0,0.0,0.0,-0.03612777089543995,-0.22538048080010298,0.24064077331286327,-0.053444007682044194,-0.22962981528331958,0.24064077331286327,0.0,0.0,0.0,0.0,0.0
1788412643.2454996,True,0.0,-0.00017431356432477893,-0.00022480726176378243,0.00030868576508332374,0.3039602517780728,0.0,0.0,0.3043957973646151,0.0,0.0,False,0.23636825220430513,0.07847095021999384,0.26027924019986237,0.21913879953215035,0.07388239264511495,0.26027924019986237,0.0002652580964879638,-0.00021589711893642608,0.0,0.0,0.0,-0.14919442144942563,0.16146257310113044,0.27193671575892275,-0.1663692136353975,0.1566734799334546,0.27193671575892275,0.0036899362026325496,-0.005556010233676666,0.0,0.0,0.0,-0.03612777089543995,-0.22538048080010298,0.24064077331286327,-0.053444007682044194,-0.22962981528331958,0.24064077331286327,0.0,0.0,0.0,0.0,0.0
1788412643.2554314,True,9.870916686180194e-06,2.5007729010543e-05,-3.752108124422301e-05,0.00015236745637140872,0.30404105861593755,0.0,0.0,0.3043957973646151,0.0,0.0,False,0.23636825220430513,0.07847095021999384,0.26027924019986237,0.21913879953215035,0.07388239264511495,0.26027924019986237,0.00026525809648796393,-0.00017271769514913906,0.0,0.0,0.0,-0.1486273047006894,0.16078415730267448,0.263974649964786,-0.16583968316794,0.15613196131581758,0.26397464996478603,0.004026744145204779,0.001176324259440589,0.0,0.0,0.0,-0.03609762129591543,-0.22529904953370639,0.241152901475574,-0.053411679607943005,-0.2295572515918183,0.241152901475574,0.0,0.0,0.0,0.0,0.0
1788412643.2654877,True,1.4849411578376565e-05,0.0001443145594455984,-3.2611951292259765e-05,0.00015335187399879527,0.3040387678979698,0.0,0.0,0.3043957973646151,0.0,0.0,False,0.23638336279492322,0.07847246436086053,0.2601957148529739,0.21915352692200624,0.07388534589799711,0.2601957148529739,0.0002800260180979025,0.0002302161893086171,0.0,0.0,0.0,-0.1486273047006894,0.16078415730267448,0.263974649964786,-0.16583968316794,0.15613196131581758,0.26397464996478603,0.004026744145204687,0.0009410594075501788,0.0,0.0,0.0,-0.03609762129591543,-0.22529904953370639,0.241152901475574,-0.053411679607943005,-0.2295572515918183,0.241152901475574,0.0,0.0,0.0,0.0,0.0
1788412643.2754295,True,1.484941157837633e-05,0.00011545164755647481,-3.2611951292259765e-05,0.00015335187399879527,0.3040387678979698,0.0,0.0,0.3043957973646151,0.0,0.0,False,0.23638336279492322,0.07847246436086053,0.2601957148529739,0.21915352692200624,0.07388534589799711,0.2601957148529739,0.0002800260180979222,0.0001841729514472215,0.0,0.0,0.0,-0.1486273047006894,0.16078415730267448,0.263974649964786,-0.16583968316794,0.15613196131581758,0.26397464996478603,0.004026744145204687,0.000752847526040143,0.0,0.0,0.0,-0.03609762129591543,-0.22529904953370639,0.241152901475574,-0.053411679607943005,-0.2295572515918183,0.241152901475574,0.0,0.0,0.0,0.0,0.0
1788412643.285487,True,3.689945300292012e-05,0.0006456476507730654,1.1330149966031858e-05,8.704940968180346e-05,0.30409722037948517,0.0,0.0,0.3043957973646151,0.0,0.0,False,0.23638336279492322,0.07847246436086053,0.2601957148529739,0.21915352692200624,0.07388534589799711,0.2601957148529739,0.0002800260180979222,0.0001473383611577772,0.0,0.0,0.0,-0.14849323331026776,0.1606054541852191,0.2620148768059584,-0.16571469596663324,0.1559869994679561,0.26201487680595836,0.004100970888318586,0.0024476858365435495,0.0,0.0,0.0,-0.03608775587030966,-0.22536531916662605,0.24044116710811636,-0.0534048405054749,-0.2296111971369078,0.24044116710811636,0.0,0.0,0.0,0.0,0.0
1788412643.2954295,True,4.03326254991796e-05,0.0005738488891566977,6.9550420220716265e-06,0.00011243053330254697,0.3042074822168479,0.0,0.0,0.3043957973646151,0.0,0.0,False,0.23637151782116184,0.07854379586160254,0.2599164497835962,0.21914040159817436,0.07396148926885933,0.2599164497835962,0.00029015713375462454,0.000287259905713949,0.0,0.0,0.0,-0.14849323331026776,0.1606054541852191,0.2620148768059584,-0.16571469596663324,0.1559869994679561,0.26201487680595836,0.004100970888318572,0.0019581486692346077,0.0,0.0,0.0,-0.03608775587030966,-0.22536531916662605,0.24044116710811636,-0.0534048405054749,-0.2296111971369078,0.24044116710811636,0.0,0.0,0.0,0.0,0.0
1788412643.305595,True,4.033262549917966e-05,0.00045907911132535967,6.9550420220716265e-06,0.00011243053330254697,0.3042074822168479,0.0,0.0,0.3043957973646151,0.0,0.0,False,0.23637151782116184,0.07854379586160254,0.2599164497835962,0.21914040159817436,0.07396148926885933,0.2599164497835962,0.0002901571337546591,0.00022980792457201794,0.0,0.0,0.0,-0.14849323331026776,0.1606054541852191,0.2620148768059584,-0.16571469596663324,0.1559869994679561,0.26201487680595836,0.004100970888318572,0.0015665189353876862,0.0,0.0,0.0,-0.03608775587030966,-0.22536531916662605,0.24044116710811636,-0.0534048405054749,-0.2296111971369078,0.24044116710811636,0.0,0.0,0.0,0.0,0.0
