topic,bag_stamp,header_stamp,experiment_id,method_id,path_progress_actual_1,path_progress_actual_2,path_progress_actual_3,path_velocity_actual_1,path_velocity_actual_2,path_velocity_actual_3,common_velocity_lower_bound,common_velocity_upper_bound,common_velocity_reference,channel_input_raw_1,channel_input_raw_2,channel_input_raw_3,channel_input_limited_1,channel_input_limited_2,channel_input_limited_3
/multi_agv/controller_state,1788412775.196676,1788412775.195968,exp2a_m1_r1_unloaded_serial,M1_R1,0.008362318728530207,0.0,0.0,0.0004570136780195414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412775.2066805,1788412775.2059474,exp2a_m1_r1_unloaded_serial,M1_R1,0.008279592745021281,0.0,0.0,-0.0017468878310115915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412775.2165046,1788412775.215912,exp2a_m1_r1_unloaded_serial,M1_R1,0.0082795927450212,0.0,0.0,-0.0013975102648106257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412775.2265077,1788412775.2259068,exp2a_m1_r1_unloaded_serial,M1_R1,0.008276531906533074,0.0,0.0,-0.0011946512202010752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412775.2364485,1788412775.2359521,exp2a_m1_r1_unloaded_serial,M1_R1,0.008276531906533144,0.0,0.0,-0.0007645767809277424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412775.2464764,1788412775.2459114,exp2a_m1_r1_unloaded_serial,M1_R1,0.008276531906533144,0.0,0.0,-0.0007645767809277424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412775.2564988,1788412775.2559083,exp2a_m1_r1_unloaded_serial,M1_R1,0.008265874293160225,0.0,0.0,-0.0007886190685428681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412775.2667048,1788412775.2659676,exp2a_m1_r1_unloaded_serial,M1_R1,0.008265874293160277,0.0,0.0,-0.0006308952548329837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412775.2770424,1788412775.2760065,exp2a_m1_r1_unloaded_serial,M1_R1,0.008265874293160277,0.0,0.0,-0.000504716203866387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412775.286587,1788412775.2859106,exp2a_m1_r1_unloaded_serial,M1_R1,0.008265874293160277,0.0,0.0,-0.0004037729630931096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
