stamp,localization_valid,load_s_actual,load_s_dot_actual,load_pose_x,load_pose_y,load_pose_yaw,load_x_reference,load_y_reference,load_yaw_reference,load_s_reference,load_velocity_reference,evaluation_active,agv1_robot_pose_x,agv1_robot_pose_y,agv1_robot_pose_yaw,agv1_support_pose_x,agv1_support_pose_y,agv1_support_pose_yaw,agv1_s_actual,agv1_s_initial_offset,agv1_s_tracking_actual,agv1_s_dot_actual,agv1_s_execute_reference,agv1_s_dot_execute_reference,agv1_support_reference_x,agv1_support_reference_y,agv1_support_reference_yaw,agv2_robot_pose_x,agv2_robot_pose_y,agv2_robot_pose_yaw,agv2_support_pose_x,agv2_support_pose_y,agv2_support_pose_yaw,agv2_s_actual,agv2_s_initial_offset,agv2_s_tracking_actual,agv2_s_dot_actual,agv2_s_execute_reference,agv2_s_dot_execute_reference,agv2_support_reference_x,agv2_support_reference_y,agv2_support_reference_yaw,agv3_robot_pose_x,agv3_robot_pose_y,agv3_robot_pose_yaw,agv3_support_pose_x,agv3_support_pose_y,agv3_support_pose_yaw,agv3_s_actual,agv3_s_initial_offset,agv3_s_tracking_actual,agv3_s_dot_actual,agv3_s_execute_reference,agv3_s_dot_execute_reference,agv3_support_reference_x,agv3_support_reference_y,agv3_support_reference_yaw
1789184940.1681497,True,0.0,-8.93667816319787e-06,-0.00015163745620989932,-2.34476730301321e-05,0.0010076578275838148,nan,nan,nan,nan,nan,False,0.19864308986746726,0.0019097118127249235,-0.005764786888384332,0.1808133861367723,0.0020124973936343836,-0.005764786888384332,0.007608305379884601,nan,nan,-4.795976313682595e-05,nan,nan,nan,nan,nan,-0.18824868473028677,0.1587189572905806,-0.019698375886618713,-0.0891879069173784,0.15676736842465583,-0.019698375886618713,0.0,nan,nan,0.0,nan,nan,nan,nan,nan,-0.19115855080579536,-0.15945416746004581,0.006095704107365485,-0.09208039158802371,-0.1588502088373806,0.006095704107365485,0.0,nan,nan,0.0,nan,nan,nan,nan,nan
1789184940.178193,True,0.0,-8.043010346878084e-06,-0.00016970873971695888,-3.9860054394325024e-05,0.0007613296723903742,0.0,0.0,0.0,0.0,0.0,False,0.1985973143093479,0.001815687751188566,-0.0053695896816763344,0.18076757135040852,0.0019114270751440707,-0.0053695896816763344,0.007562490593520815,nan,nan,-0.000626141584604756,0.0,0.0,0.0,0.0,0.0,-0.18824868473028677,0.1587189572905806,-0.019698375886618713,-0.0891879069173784,0.15676736842465583,-0.019698375886618713,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,-0.19116672056382789,-0.159438847694229,0.006464235887822634,-0.0920887906521811,-0.15879837566298288,0.006464235887822634,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1789184940.1881378,True,0.0,-8.043010346878084e-06,-0.00016970873971695888,-3.9860054394325024e-05,0.0007613296723903742,0.0,0.0,0.0,0.0,0.0,False,0.1985973143093479,0.001815687751188566,-0.0053695896816763344,0.18076757135040852,0.0019114270751440707,-0.0053695896816763344,0.007562490593520815,nan,nan,-0.000626141584604756,0.0,0.0,0.0,0.0,0.0,-0.18824868473028677,0.1587189572905806,-0.019698375886618713,-0.0891879069173784,0.15676736842465583,-0.019698375886618713,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,-0.19116672056382789,-0.159438847694229,0.006464235887822634,-0.0920887906521811,-0.15879837566298288,0.006464235887822634,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1789184940.198176,True,0.0,-7.238709312190276e-06,-0.00016970873971695888,-3.9860054394325024e-05,0.0007613296723903742,0.0,0.0,0.0,0.0,0.0,False,0.1985973143093479,0.001815687751188566,-0.0053695896816763344,0.18076757135040852,0.0019114270751440707,-0.0053695896816763344,0.007562490593520832,nan,nan,-0.0005071746835297228,0.0,0.0,0.0,0.0,0.0,-0.18824868473028677,0.1587189572905806,-0.019698375886618713,-0.0891879069173784,0.15676736842465583,-0.019698375886618713,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,-0.19116672056382789,-0.159438847694229,0.006464235887822634,-0.0920887906521811,-0.15879837566298288,0.006464235887822634,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1789184940.2081394,True,0.0,-6.514838380971249e-06,-0.0001643475110277154,1.246510346038696e-05,0.0003890704356252366,0.0,0.0,0.0,0.0,0.0,False,0.19861439350604582,0.0017248113570789148,-0.004649352257990458,0.18078458621658594,0.001807709009178941,-0.004649352257990458,0.0075795054596982285,nan,nan,-0.00031510576281714353,0.0,0.0,0.0,0.0,0.0,-0.18826864526672182,0.15878091882483403,-0.018957089183401,-0.08920644798431296,0.15690276292579197,-0.018957089183401,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,-0.19114868645325545,-0.15937611763640958,0.007095750015153612,-0.09207118076535624,-0.15867307662458977,0.007095750015153612,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1789184940.2181537,True,0.0,-5.8633545428741246e-06,-0.0001643475110277154,1.246510346038696e-05,0.0003890704356252366,0.0,0.0,0.0,0.0,0.0,False,0.19861439350604582,0.0017248113570789148,-0.004649352257990458,0.18078458621658594,0.001807709009178941,-0.004649352257990458,0.007579505459698228,nan,nan,-0.00028359518653544,0.0,0.0,0.0,0.0,0.0,-0.18826864526672182,0.15878091882483403,-0.018957089183401,-0.08920644798431296,0.15690276292579197,-0.018957089183401,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,-0.19114868645325545,-0.15937611763640958,0.007095750015153612,-0.09207118076535624,-0.15867307662458977,0.007095750015153612,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1789184940.2281673,True,0.0,-5.277019088586712e-06,-0.0001643475110277154,1.246510346038696e-05,0.0003890704356252366,0.0,0.0,0.0,0.0,0.0,False,0.19861439350604582,0.0017248113570789148,-0.004649352257990458,0.18078458621658594,0.001807709009178941,-0.004649352257990458,0.007579505459698228,nan,nan,-0.00025523566788189603,0.0,0.0,0.0,0.0,0.0,-0.18826864526672182,0.15878091882483403,-0.018957089183401,-0.08920644798431296,0.15690276292579197,-0.018957089183401,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,-0.19114868645325545,-0.15937611763640958,0.007095750015153612,-0.09207118076535624,-0.15867307662458977,0.007095750015153612,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1789184940.2381606,True,0.0,-4.749317179728041e-06,-0.0001643475110277154,1.246510346038696e-05,0.0003890704356252366,0.0,0.0,0.0,0.0,0.0,False,0.19861439350604582,0.0017248113570789148,-0.004649352257990458,0.18078458621658594,0.001807709009178941,-0.004649352257990458,0.007579505459698228,nan,nan,-0.00022971210109370643,0.0,0.0,0.0,0.0,0.0,-0.18826864526672182,0.15878091882483403,-0.018957089183401,-0.08920644798431296,0.15690276292579197,-0.018957089183401,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,-0.19114868645325545,-0.15937611763640958,0.007095750015153612,-0.09207118076535624,-0.15867307662458977,0.007095750015153612,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1789184940.2481406,True,0.0,-4.274385461755237e-06,-0.00017133624300872305,-6.499039992312788e-05,0.00043220209080528546,0.0,0.0,0.0,0.0,0.0,False,0.1986773524996387,0.00166655091690171,-0.003968794185612356,0.18084749292253716,0.0017373143314612198,-0.003968794185612355,0.007642412165649455,nan,nan,0.0002836955394756567,0.0,0.0,0.0,0.0,0.0,-0.18831821273036042,0.15875967893959753,-0.0188897033497899,-0.08925588911176406,0.15688819843355784,-0.0188897033497899,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,-0.19118378312448447,-0.15942257498119783,0.006076854280487654,-0.09210561253979938,-0.15882048396478843,0.006076854280487655,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1789184940.2581587,True,0.0,-4.274385461755237e-06,-0.00017133624300872305,-6.499039992312788e-05,0.00043220209080528546,0.0,0.0,0.0,0.0,0.0,False,0.1986773524996387,0.00166655091690171,-0.003968794185612356,0.18084749292253716,0.0017373143314612198,-0.003968794185612355,0.007642412165649455,nan,nan,0.0002836955394756567,0.0,0.0,0.0,0.0,0.0,-0.18831821273036042,0.15875967893959753,-0.0188897033497899,-0.08925588911176406,0.15688819843355784,-0.0188897033497899,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,-0.19118378312448447,-0.15942257498119783,0.006076854280487654,-0.09210561253979938,-0.15882048396478843,0.006076854280487655,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
