topic,bag_stamp,header_stamp,confidence
/camera/world/agv3_confidence,1789558327.8793364,1789558327.8793364,0.6559
/camera/world/agv2_confidence,1789558327.908827,1789558327.908827,0.6535
/camera/world/agv1_confidence,1789558327.9089303,1789558327.9089303,0.6664
/camera/world/agv3_confidence,1789558327.9090116,1789558327.9090116,0.6541
/camera/world/agv2_confidence,1789558327.9411852,1789558327.9411852,0.6526
/camera/world/agv1_confidence,1789558327.9413276,1789558327.9413276,0.6671
/camera/world/agv3_confidence,1789558327.941383,1789558327.941383,0.6532
/camera/world/agv1_confidence,1789558327.9792922,1789558327.9792922,0.6638
/camera/world/agv2_confidence,1789558327.9794033,1789558327.9794033,0.6516
/camera/world/agv3_confidence,1789558327.9795518,1789558327.9795518,0.6567
/camera/world/agv1_confidence,1789558328.019602,1789558328.019602,0.6645
/camera/world/agv2_confidence,1789558328.0197542,1789558328.0197542,0.6517
/camera/world/agv3_confidence,1789558328.0199487,1789558328.0199487,0.6557
/camera/world/agv1_confidence,1789558328.0504868,1789558328.0504868,0.666
/camera/world/agv2_confidence,1789558328.0505633,1789558328.0505633,0.6541
/camera/world/agv3_confidence,1789558328.0506573,1789558328.0506573,0.6549
/camera/world/agv1_confidence,1789558328.0817206,1789558328.0817206,0.6665
/camera/world/agv2_confidence,1789558328.0819695,1789558328.0819695,0.6547
/camera/world/agv3_confidence,1789558328.0821586,1789558328.0821586,0.6532
/camera/world/agv1_confidence,1789558328.1126392,1789558328.1126392,0.6653
/camera/world/agv2_confidence,1789558328.1127274,1789558328.1127274,0.6545
/camera/world/agv3_confidence,1789558328.1128361,1789558328.1128361,0.6541
/camera/world/agv3_confidence,1789558328.1469245,1789558328.1469245,0.6566
/camera/world/agv1_confidence,1789558328.1470644,1789558328.1470644,0.6645
/camera/world/agv2_confidence,1789558328.1470783,1789558328.1470783,0.6532
/camera/world/agv3_confidence,1789558328.1764882,1789558328.1764882,0.6545
/camera/world/agv1_confidence,1789558328.176565,1789558328.176565,0.6646
/camera/world/agv2_confidence,1789558328.1766124,1789558328.1766124,0.6533
/camera/world/agv1_confidence,1789558328.2075965,1789558328.2075965,0.6662
/camera/world/agv3_confidence,1789558328.207617,1789558328.207617,0.6552
/camera/world/agv2_confidence,1789558328.2076945,1789558328.2076945,0.6521
/camera/world/agv1_confidence,1789558328.2394974,1789558328.2394974,0.6656
/camera/world/agv2_confidence,1789558328.2395535,1789558328.2395535,0.6557
/camera/world/agv3_confidence,1789558328.2395701,1789558328.2395701,0.6542
/camera/world/agv1_confidence,1789558328.2701359,1789558328.2701359,0.665
/camera/world/agv2_confidence,1789558328.2703657,1789558328.2703657,0.655
/camera/world/agv3_confidence,1789558328.2703922,1789558328.2703922,0.6552
/camera/world/agv1_confidence,1789558328.318619,1789558328.318619,0.6664
/camera/world/agv2_confidence,1789558328.3191903,1789558328.3191903,0.6541
/camera/world/agv3_confidence,1789558328.3192005,1789558328.3192005,0.6552
/camera/world/agv1_confidence,1789558328.349647,1789558328.349647,0.6666
/camera/world/agv2_confidence,1789558328.3503726,1789558328.3503726,0.6536
/camera/world/agv3_confidence,1789558328.3504746,1789558328.3504746,0.6546
/camera/world/agv1_confidence,1789558328.3838937,1789558328.3838937,0.6644
/camera/world/agv2_confidence,1789558328.3839192,1789558328.3839192,0.6551
/camera/world/agv3_confidence,1789558328.3844223,1789558328.3844223,0.6546
/camera/world/agv1_confidence,1789558328.4138167,1789558328.4138167,0.6664
/camera/world/agv2_confidence,1789558328.4139032,1789558328.4139032,0.6542
/camera/world/agv3_confidence,1789558328.4140205,1789558328.4140205,0.6557
