topic,bag_stamp,header_stamp,robot_localization_source_1,robot_localization_source_2,robot_localization_source_3,robot_pose_valid_1,robot_pose_valid_2,robot_pose_valid_3,robot_pose_stamp_1,robot_pose_stamp_2,robot_pose_stamp_3,robot_pose_x_1,robot_pose_x_2,robot_pose_x_3,robot_pose_y_1,robot_pose_y_2,robot_pose_y_3,robot_pose_yaw_1,robot_pose_yaw_2,robot_pose_yaw_3,support_pose_valid_1,support_pose_valid_2,support_pose_valid_3,support_pose_x_1,support_pose_x_2,support_pose_x_3,support_pose_y_1,support_pose_y_2,support_pose_y_3,support_pose_yaw_1,support_pose_yaw_2,support_pose_yaw_3,path_state_valid_1,path_state_valid_2,path_state_valid_3,s_actual_1,s_actual_2,s_actual_3,s_dot_actual_1,s_dot_actual_2,s_dot_actual_3,load_localization_source,load_pose_valid,load_pose_stamp,load_pose_x,load_pose_y,load_pose_yaw,load_path_state_valid,load_s_actual,load_s_dot_actual
/multi_agv/cooperative_state,1788955054.33768,1788955054.3375409,3,3,3,True,True,True,1788955054.3289518,1788955054.3317482,1788955054.3323066,0.19227309711125407,-0.1856831086216536,-0.18651094979602667,0.0008039415510084913,0.1497895039147571,-0.16160962912152899,0.05405279148908182,0.06229633280981494,0.04741805297804369,True,True,True,0.17446913776361775,-0.0867953029242836,-0.08754231821669209,-0.00015935048555843845,0.15595783305312155,-0.15691320885563093,0.05405279148908182,0.06229633280981493,0.04741805297804369,True,True,True,0.0012640570067300443,0.0,0.0,0.0012282406652580691,-1.1302194399899002e-40,0.0,3,True,1788955054.3289518,4.383887421405737e-05,-0.00037157542935593407,-0.0006169762743258501,True,4.383887421405737e-05,-0.0011334953315761548
/multi_agv/cooperative_state,1788955054.347711,1788955054.347597,3,3,3,True,True,True,1788955054.3289518,1788955054.3317482,1788955054.3323066,0.19227309711125407,-0.1856831086216536,-0.18651094979602667,0.0008039415510084913,0.1497895039147571,-0.16160962912152899,0.05405279148908182,0.06229633280981494,0.04741805297804369,True,True,True,0.17446913776361775,-0.0867953029242836,-0.08754231821669209,-0.00015935048555843845,0.15595783305312155,-0.15691320885563093,0.05405279148908182,0.06229633280981493,0.04741805297804369,True,True,True,0.0012640570067300443,0.0,0.0,0.0012282406652580691,-1.1302194399899002e-40,0.0,3,True,1788955054.3289518,4.383887421405737e-05,-0.00037157542935593407,-0.0006169762743258501,True,4.383887421405737e-05,-0.0011334953315761548
/multi_agv/cooperative_state,1788955054.3577201,1788955054.3575401,3,3,3,True,True,True,1788955054.3409517,1788955054.3437264,1788955054.340291,0.1922825337641224,-0.18548337731119985,-0.18651094979602667,0.001306233949369573,0.14961252411796222,-0.16160962912152899,0.05157901205932913,0.059936719990246745,0.04741805297804369,True,True,True,0.1744762459232822,-0.08658129205110866,-0.08754231821669209,0.000386987883756197,0.15554749936691278,-0.15691320885563093,0.05157901205932913,0.059936719990246745,0.04741805297804369,True,True,True,0.0012711651663944968,2.1248327335238597e-05,0.0,0.0011010633852125617,0.0003547848102527889,0.0,3,True,1788955054.340291,0.00011754521849385395,-0.00032624053498731914,0.00044644434830123594,True,0.00011754521849385395,0.0006949177114145222
/multi_agv/cooperative_state,1788955054.36758,1788955054.367511,3,3,3,True,True,True,1788955054.360948,1788955054.363672,1788955054.3602984,0.1922825337641224,-0.18547302081114753,-0.18651094979602667,0.001306233949369573,0.14976735075164982,-0.16160962912152899,0.05157901205932913,0.06199906278110445,0.04741805297804369,True,True,True,0.1744762459232822,-0.08658338582375592,-0.08754231821669209,0.000386987883756197,0.1559062832370625,-0.15691320885563093,0.05157901205932913,0.06199906278110445,0.04741805297804369,True,True,True,0.001271165166394493,1.9154554687977983e-05,0.0,0.0007046805665359614,0.00019189803178717638,0.0,3,True,1788955054.3602984,0.00011684729427810052,-0.00020664591160408455,0.00011266977867944762,True,0.00011684729427810052,0.0005489536721068262
/multi_agv/cooperative_state,1788955054.3777273,1788955054.377518,3,3,3,True,True,True,1788955054.3689487,1788955054.371749,1788955054.3722956,0.19242778298864283,-0.18547302081114753,-0.18651550803286643,0.001173325931469127,0.14976735075164982,-0.16135387462958117,0.05200621342818157,0.06199906278110445,0.04962633149021478,True,True,True,0.17462188947580093,-0.08658338582375592,-0.08755748875893048,0.00024647307942900676,0.1559062832370625,-0.15643891568984192,0.05200621342818157,0.06199906278110445,0.04962633149021478,True,True,True,0.0014168087189132253,1.915455468798982e-05,0.0,0.004204554626388045,0.00015351842543003425,0.0,3,True,1788955054.3689487,0.00016033829770487987,-9.538645778347142e-05,-0.0006215971571543931,True,0.00016033829770487987,0.0012444893675868087
/multi_agv/cooperative_state,1788955054.3875866,1788955054.3875122,3,3,3,True,True,True,1788955054.3809469,1788955054.383757,1788955054.38031,0.19242778298864283,-0.18547302081114753,-0.18651550803286643,0.001173325931469127,0.14976735075164982,-0.16135387462958117,0.05200621342818157,0.06199906278110445,0.04962633149021478,True,True,True,0.17462188947580093,-0.08658338582375592,-0.08755748875893048,0.00024647307942900676,0.1559062832370625,-0.15643891568984192,0.05200621342818157,0.06199906278110445,0.04962633149021478,True,True,True,0.0014168087189132387,1.915455468798982e-05,0.0,0.0033636437011106603,0.0001228147403440274,0.0,3,True,1788955054.38031,0.00016033829770487987,-9.538645778347142e-05,-0.0006215971571543931,True,0.00016033829770487987,0.0009955914940694471
/multi_agv/cooperative_state,1788955054.3976867,1788955054.3975544,3,3,3,True,True,True,1788955054.3889468,1788955054.391761,1788955054.392309,0.19242778298864283,-0.18547302081114753,-0.18651550803286643,0.001173325931469127,0.14976735075164982,-0.16135387462958117,0.05200621342818157,0.06199906278110445,0.04962633149021478,True,True,True,0.17462188947580093,-0.08658338582375592,-0.08755748875893048,0.00024647307942900676,0.1559062832370625,-0.15643891568984192,0.05200621342818157,0.06199906278110445,0.04962633149021478,True,True,True,0.0014168087189132387,1.915455468798982e-05,0.0,0.0026909149608885284,9.825179227522193e-05,0.0,3,True,1788955054.3889468,0.00016033829770487987,-9.538645778347142e-05,-0.0006215971571543931,True,0.00016033829770487987,0.0007964731952555577
/multi_agv/cooperative_state,1788955054.4076939,1788955054.4075613,3,3,3,True,True,True,1788955054.400947,1788955054.4038076,1788955054.4003112,0.1922666008923949,-0.18546256590334181,-0.18665650238041237,0.0007547043436327838,0.14996228329859285,-0.16167727322579906,0.054460007780314124,0.06444063708761605,0.04658104030752397,True,True,True,0.17446303528912996,-0.08658821431539114,-0.08768397450649335,-0.0002158376751595656,0.15634264363812836,-0.15706369259397723,0.054460007780314124,0.06444063708761605,0.04658104030752397,True,True,True,0.001257954532242261,1.432606305276156e-05,0.0,-0.0004947666924888998,-1.5622876736947575e-06,0.0,3,True,1788955054.4003112,6.361548908186132e-05,-0.0003122955436694793,-0.001508898930276743,True,6.361548908186132e-05,-0.0014686890401451142
/multi_agv/cooperative_state,1788955054.4177258,1788955054.4176006,3,3,3,True,True,True,1788955054.4089465,1788955054.4117594,1788955054.4123118,0.1922666008923949,-0.18546256590334181,-0.18665650238041237,0.0007547043436327838,0.14996228329859285,-0.16167727322579906,0.054460007780314124,0.06444063708761605,0.04658104030752397,True,True,True,0.17446303528912996,-0.08658821431539114,-0.08768397450649335,-0.0002158376751595656,0.15634264363812836,-0.15706369259397723,0.054460007780314124,0.06444063708761605,0.04658104030752397,True,True,True,0.001257954532242252,1.4326063052765388e-05,0.0,-0.00039581335399134753,-1.249830138859553e-06,0.0,3,True,1788955054.4089465,6.361548908186132e-05,-0.0003122955436694793,-0.001508898930276743,True,6.361548908186132e-05,-0.0011749512321160916
/multi_agv/cooperative_state,1788955054.4275599,1788955054.4274871,3,3,3,True,True,True,1788955054.4209478,1788955054.42376,1788955054.4203131,0.1922666008923949,-0.18546256590334181,-0.18665650238041237,0.0007547043436327838,0.14996228329859285,-0.16167727322579906,0.054460007780314124,0.06444063708761605,0.04658104030752397,True,True,True,0.17446303528912996,-0.08658821431539114,-0.08768397450649335,-0.0002158376751595656,0.15634264363812836,-0.15706369259397723,0.054460007780314124,0.06444063708761605,0.04658104030752397,True,True,True,0.001257954532242252,1.4326063052765388e-05,0.0,-0.00031665068319307804,-9.998641110876426e-07,0.0,3,True,1788955054.4203131,6.361548908186132e-05,-0.0003122955436694793,-0.001508898930276743,True,6.361548908186132e-05,-0.0009399609856928733
/multi_agv/cooperative_state,1788955054.437727,1788955054.43763,3,3,3,True,True,True,1788955054.4289544,1788955054.4317605,1788955054.4323184,0.1923196380983273,-0.18547819317150466,-0.18665021662320963,-0.00044733374039185314,0.15007435825491633,-0.1614552991729329,0.060520638505593645,0.06569642997275649,0.04873019125139776,True,True,True,0.17452228152839455,-0.08661193195576268,-0.08768783259235856,-0.001525758110791077,0.15657887923809988,-0.1566290224578706,0.06052063850559365,0.06569642997275649,0.048730191251397756,True,True,True,0.0013172007715068386,0.0,0.0,0.0012266195304654456,-0.0003589240595188434,0.0,3,True,1788955054.4289544,7.417232675780798e-05,-0.0005253004435206064,-0.004564353515233369,True,7.417232675780798e-05,-0.0005567024872155539
/multi_agv/cooperative_state,1788955054.447615,1788955054.4475522,3,3,3,True,True,True,1788955054.4409487,1788955054.4437459,1788955054.4403138,0.1923196380983273,-0.18547819317150466,-0.18665021662320963,-0.00044733374039185314,0.15007435825491633,-0.1614552991729329,0.060520638505593645,0.06569642997275649,0.04873019125139776,True,True,True,0.17452228152839455,-0.08661193195576268,-0.08768783259235856,-0.001525758110791077,0.15657887923809988,-0.1566290224578706,0.06052063850559365,0.06569642997275649,0.048730191251397756,True,True,True,0.001317200771506856,0.0,0.0,0.000981295624372646,-0.0002871392476150747,0.0,3,True,1788955054.4403138,7.417232675780798e-05,-0.0005253004435206064,-0.004564353515233369,True,7.417232675780798e-05,-0.0004453619897724431
/multi_agv/cooperative_state,1788955054.457828,1788955054.4576054,3,3,3,True,True,True,1788955054.4489477,1788955054.451757,1788955054.4523141,0.1923196380983273,-0.18547819317150466,-0.18665021662320963,-0.00044733374039185314,0.15007435825491633,-0.1614552991729329,0.060520638505593645,0.06569642997275649,0.04873019125139776,True,True,True,0.17452228152839455,-0.08661193195576268,-0.08768783259235856,-0.001525758110791077,0.15657887923809988,-0.1566290224578706,0.06052063850559365,0.06569642997275649,0.048730191251397756,True,True,True,0.0013172007715068564,0.0,0.0,0.0007850364994981276,-0.0002297113980920598,0.0,3,True,1788955054.4489477,7.417232675780798e-05,-0.0005253004435206064,-0.004564353515233369,True,7.417232675780798e-05,-0.00035628959181795454
/multi_agv/cooperative_state,1788955054.4676046,1788955054.4675348,3,3,3,True,True,True,1788955054.4609518,1788955054.463765,1788955054.4603117,0.19213769390619384,-0.1854882701597998,-0.18677189657233018,-0.0009367275985865398,0.15017567032490964,-0.16160028982940067,0.06278553894904704,0.0667849431664711,0.04779573586646113,True,True,True,0.1743428255061967,-0.08662914777095007,-0.08780504580918336,-0.002055458409274953,0.1567878046631117,-0.15686649114071258,0.06278553894904704,0.0667849431664711,0.04779573586646113,True,True,True,0.0011377447493090042,0.0,0.0,-0.00236187372490264,-0.00018376911847364785,0.0,3,True,1788955054.4603117,-3.0456024645538392e-05,-0.0007113816289586093,-0.005691077657056799,True,0.0,-0.0018983765202602598
