topic,bag_stamp,header_stamp,path_id,path_version,load_s_reference,load_velocity_reference,load_acceleration_reference,load_x_reference,load_y_reference,load_yaw_reference,support_x_reference_1,support_x_reference_2,support_x_reference_3,support_y_reference_1,support_y_reference_2,support_y_reference_3,support_yaw_reference_1,support_yaw_reference_2,support_yaw_reference_3
/multi_agv/path_reference,1789196568.6733332,1789196568.6725605,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.6833408,1789196568.6825576,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.6933017,1789196568.6925802,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.7031858,1789196568.7025619,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.7132788,1789196568.712553,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.7233644,1789196568.7225788,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.7329879,1789196568.7325392,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.7431386,1789196568.7425606,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.7535622,1789196568.7526696,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.7633862,1789196568.76265,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.773571,1789196568.7726479,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.7833636,1789196568.7825713,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.793547,1789196568.7925293,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.8033109,1789196568.8025284,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.8132608,1789196568.8125296,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.8233428,1789196568.8225281,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.83323,1789196568.8325338,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.8434412,1789196568.8425322,s_curve,1,3.0349786906225647e-10,3.035602203315125e-08,9.094416963978898e-06,3.0349786906225647e-10,0.0,0.0,0.17320508106038557,-0.08660254007494604,-0.08660254007494604,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.853633,1789196568.852587,s_curve,1,2.7544207730504204e-09,2.4376193526093627e-07,3.6353753659317004e-05,2.7544207730504204e-09,0.0,0.0,0.17320508351130848,-0.08660253762402313,-0.08660253762402313,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.8635666,1789196568.862639,s_curve,1,1.1002409815345754e-08,8.207222128538456e-07,8.140633191174852e-05,1.1002409815345752e-08,0.0,0.0,0.17320509175929752,-0.08660252937603409,-0.08660252937603409,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.8736851,1789196568.872529,s_curve,1,2.995676774631505e-08,1.9159733025240147e-06,0.00014280991783408305,2.995676774631505e-08,0.0,0.0,0.17320511071365544,-0.08660251042167616,-0.08660251042167616,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.8835108,1789196568.882581,s_curve,1,6.750460239751217e-08,3.7359378999770686e-06,0.00022218213561186803,6.750460239751217e-08,0.0,0.0,0.1732051482614901,-0.08660247287384151,-0.08660247287384151,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.8935173,1789196568.8925655,s_curve,1,1.3159218174199832e-07,6.4177665533595645e-06,0.0003176721295775169,1.3159218174199832e-07,0.0,0.0,0.17320521234906944,-0.08660240878626216,-0.08660240878626216,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.903533,1789196568.9025788,s_curve,1,2.3316332472832434e-07,1.0145482502942975e-05,0.0004297106593887595,2.3316332472832437e-07,0.0,0.0,0.17320531392021243,-0.08660230721511918,-0.08660230721511918,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.9136248,1789196568.9125915,s_curve,1,3.8415149407684333e-07,1.5076917711875398e-05,0.0005577859829426458,3.841514940768434e-07,0.0,0.0,0.1732054649083818,-0.08660215622694983,-0.08660215622694983,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.9234307,1789196568.9225795,s_curve,1,5.97363646721332e-07,2.1350012160851428e-05,0.0007011095153820573,5.97363646721332e-07,0.0,0.0,0.17320567812053442,-0.08660194301479719,-0.08660194301479719,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.9331727,1789196568.9325252,s_curve,1,8.868099498644462e-07,2.909745012235401e-05,0.0008590521552952893,8.868099498644462e-07,0.0,0.0,0.17320596756683757,-0.08660165356849404,-0.08660165356849404,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.9433248,1789196568.942586,s_curve,1,1.2751528102596273e-06,3.860549443728499e-05,0.0010338472057433413,1.2751528102596273e-06,0.0,0.0,0.17320635590969796,-0.08660126522563365,-0.08660126522563365,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.9530957,1789196568.9525456,s_curve,1,1.7713705977469523e-06,4.982454971872278e-05,0.0012215223887479076,1.7713705977469523e-06,0.0,0.0,0.17320685212748546,-0.08660076900784616,-0.08660076900784616,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.9632084,1789196568.9625473,s_curve,1,2.4019431928110025e-06,6.304450560292156e-05,0.0014243199619087428,2.4019431928110025e-06,0.0,0.0,0.17320748270008052,-0.08660013843525109,-0.08660013843525109,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.9733179,1789196568.9726548,s_curve,1,3.195905141536906e-06,7.85393152355079e-05,0.0016435495476005005,3.195905141536906e-06,0.0,0.0,0.17320827666202923,-0.08659934447330236,-0.08659934447330236,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.9832168,1789196568.9825916,s_curve,1,4.149631312385442e-06,9.59953001991252e-05,0.001872659873487209,4.149631312385442e-06,0.0,0.0,0.17320923038820008,-0.08659839074713152,-0.08659839074713152,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196568.993162,1789196568.9925854,s_curve,1,5.3081258290126086e-06,0.00011591819115006866,0.0021164736341878847,5.3081258290126086e-06,0.0,0.0,0.17321038888271673,-0.0865972322526149,-0.0865972322526149,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.0030491,1789196569.0025735,s_curve,1,6.6897963800388745e-06,0.00013832941233388283,0.002373210473861131,6.6897963800388745e-06,0.0,0.0,0.17321177055326775,-0.08659585058206387,-0.08659585058206387,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.0130727,1789196569.0125263,s_curve,1,8.315070578799894e-06,0.00016327855019054353,0.0026417534745372807,8.315070578799894e-06,0.0,0.0,0.1732133958274665,-0.0865942253078651,-0.0865942253078651,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.023027,1789196569.0225456,s_curve,1,1.0230301019138337e-05,0.00019115356331131988,0.002924544380234196,1.0230301019138337e-05,0.0,0.0,0.17321531105790683,-0.08659231007742477,-0.08659231007742477,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.0331924,1789196569.0325599,s_curve,1,1.2452497744221577e-05,0.00022190662882703763,0.0032193998637027165,1.2452497744221577e-05,0.0,0.0,0.17321753325463193,-0.08659008788069969,-0.08659008788069969,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.0433779,1789196569.042564,s_curve,1,1.5009870035242311e-05,0.00025563630388929795,0.0035258465795751843,1.5009870035242311e-05,0.0,0.0,0.17322009062692295,-0.08658753050840866,-0.08658753050840866,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.0531886,1789196569.0525303,s_curve,1,1.7923510401695444e-05,0.00029234573361880525,0.003842659222513474,1.7923510401695444e-05,0.0,0.0,0.1732230042672894,-0.08658461686804221,-0.08658461686804221,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.063215,1789196569.0625856,s_curve,1,2.1268067399553312e-05,0.0003326369407846583,0.004173626988773286,2.1268067399553312e-05,0.0,0.0,0.17322634882428725,-0.08658127231104436,-0.08658127231104436,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.073056,1789196569.072598,s_curve,1,2.503407887010876e-05,0.000376122568699132,0.004514245449123558,2.5034078870108762e-05,0.0,0.0,0.17323011483575781,-0.0865775062995738,-0.0865775062995738,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.0830956,1789196569.0825858,s_curve,1,2.9257753716325993e-05,0.00042294433840487397,0.004864645562047205,2.9257753716325993e-05,0.0,0.0,0.17323433851060402,-0.08657328262472758,-0.08657328262472758,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.0931768,1789196569.0926902,s_curve,1,3.404741987290987e-05,0.00047394272795353495,0.005229792156185754,3.404741987290987e-05,0.0,0.0,0.17323912817676063,-0.086568492958571,-0.086568492958571,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.103109,1789196569.1025593,s_curve,1,3.9252114641628584e-05,0.0005273583591170165,0.005596351827144274,3.9252114641628584e-05,0.0,0.0,0.17324433287152932,-0.08656328826380227,-0.08656328826380227,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.1130188,1789196569.112528,s_curve,1,4.508425395595653e-05,0.0005850337373762773,0.005976319590997734,4.508425395595653e-05,0.0,0.0,0.17325016501084367,-0.08655745612448795,-0.08655745612448795,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.1232305,1789196569.1225872,s_curve,1,5.1592490811951327e-05,0.0006471078628295401,0.0063692570400648895,5.1592490811951327e-05,0.0,0.0,0.17325667324769967,-0.08655094788763196,-0.08655094788763196,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.1331544,1789196569.1325755,s_curve,1,5.871079144928542e-05,0.0007127093332378247,0.006768743328688255,5.871079144928542e-05,0.0,0.0,0.173263791548337,-0.08654382958699462,-0.08654382958699462,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.143247,1789196569.142528,s_curve,1,6.649631236132515e-05,0.0007821079449758055,0.007175813654374007,6.649631236132515e-05,0.0,0.0,0.17327157706924903,-0.08653604406608258,-0.08653604406608258,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.153217,1789196569.1525247,s_curve,1,7.505290001931553e-05,0.0008559235885573367,0.007593291264787541,7.505290001931553e-05,0.0,0.0,0.17328013365690703,-0.08652748747842459,-0.08652748747842459,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.1633787,1789196569.1625912,s_curve,1,8.445849642061388e-05,0.0009344943048442433,0.008021918058761617,8.445849642061388e-05,0.0,0.0,0.1732895392533083,-0.0865180818820233,-0.0865180818820233,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.1734333,1789196569.1725318,s_curve,1,9.456359731616252e-05,0.00101639031407793,0.008453597960079013,9.456359731616252e-05,0.0,0.0,0.17329964435420386,-0.08650797678112775,-0.08650797678112775,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.1833673,1789196569.1825635,s_curve,1,0.00010563264570087887,0.0011034133077419473,0.008897054738015664,0.00010563264570087887,0.0,0.0,0.17331071340258858,-0.08649690773274303,-0.08649690773274303,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.1932006,1789196569.1925385,s_curve,1,0.00011754618214354138,0.001194390262068534,0.009345579428986513,0.00011754618214354138,0.0,0.0,0.17332262693903125,-0.08648499419630036,-0.08648499419630036,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.2030957,1789196569.2025862,s_curve,1,0.00013051257371305956,0.0012905729478676605,0.00980446819622288,0.00013051257371305956,0.0,0.0,0.17333559333060075,-0.08647202780473084,-0.08647202780473084,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.2130833,1789196569.212545,s_curve,1,0.00014435916027436327,0.0013905044759979128,0.010266591934805822,0.00014435916027436327,0.0,0.0,0.17334943991716206,-0.08645818121816955,-0.08645818121816955,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.223344,1789196569.2226381,s_curve,1,0.00015946698837515855,0.0014965451286887215,0.010741975547532319,0.00015946698837515855,0.0,0.0,0.17336454774526286,-0.08644307339006875,-0.08644307339006875,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.2332175,1789196569.2325263,s_curve,1,0.00017533839002859572,0.0016050965408559252,0.01121408291560543,0.00017533839002859572,0.0,0.0,0.1733804191469163,-0.08642720198841532,-0.08642720198841532,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.243077,1789196569.2425256,s_curve,1,0.0001925335267755543,0.0017196232146946336,0.011697461444640848,0.0001925335267755543,0.0,0.0,0.17339761428366327,-0.08641000685166836,-0.08641000685166836,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.2530873,1789196569.252545,s_curve,1,0.00021095962884812248,0.001839269358394231,0.012188082243690715,0.00021095962884812248,0.0,0.0,0.17341604038573583,-0.08639158074959578,-0.08639158074959578,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.2631164,1789196569.2625616,s_curve,1,0.0002306331448162723,0.0019638557372171623,0.012684487440530733,0.0002306331448162723,0.0,0.0,0.17343571390170398,-0.08637190723362763,-0.08637190723362763,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.2731812,1789196569.2725756,s_curve,1,0.0002515927405141957,0.0020933717436428492,0.013186167234221325,0.0002515927405141957,0.0,0.0,0.1734566734974019,-0.0863509476379297,-0.0863509476379297,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.2832084,1789196569.2825906,s_curve,1,0.0002739061154234761,0.00222795322997171,0.013693359873614253,0.0002739061154234761,0.0,0.0,0.17347898687231117,-0.08632863426302043,-0.08632863426302043,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789196569.293263,1789196569.2925239,s_curve,1,0.0002974171500776643,0.002366520399211522,0.01420140164901106,0.0002974171500776643,0.0,0.0,0.17350249790696537,-0.08630512322836624,-0.08630512322836624,0.0,0.15,-0.15,0.0,0.0,0.0
