stamp,evaluation_active,agv1_wheel_left_raw,agv1_wheel_left_applied,agv1_wheel_left_actual,agv1_wheel_left_reported_limit,agv1_wheel_left_speed_limit_active,agv1_wheel_left_accel_limit_active,agv1_wheel_left_decel_limit_active,agv1_wheel_right_raw,agv1_wheel_right_applied,agv1_wheel_right_actual,agv1_wheel_right_reported_limit,agv1_wheel_right_speed_limit_active,agv1_wheel_right_accel_limit_active,agv1_wheel_right_decel_limit_active,agv1_wheel_left_pre_limit,agv1_wheel_right_pre_limit,agv1_wheel_left_fleet_scaled,agv1_wheel_right_fleet_scaled,agv2_wheel_left_raw,agv2_wheel_left_applied,agv2_wheel_left_actual,agv2_wheel_left_reported_limit,agv2_wheel_left_speed_limit_active,agv2_wheel_left_accel_limit_active,agv2_wheel_left_decel_limit_active,agv2_wheel_right_raw,agv2_wheel_right_applied,agv2_wheel_right_actual,agv2_wheel_right_reported_limit,agv2_wheel_right_speed_limit_active,agv2_wheel_right_accel_limit_active,agv2_wheel_right_decel_limit_active,agv2_wheel_left_pre_limit,agv2_wheel_right_pre_limit,agv2_wheel_left_fleet_scaled,agv2_wheel_right_fleet_scaled,agv3_wheel_left_raw,agv3_wheel_left_applied,agv3_wheel_left_actual,agv3_wheel_left_reported_limit,agv3_wheel_left_speed_limit_active,agv3_wheel_left_accel_limit_active,agv3_wheel_left_decel_limit_active,agv3_wheel_right_raw,agv3_wheel_right_applied,agv3_wheel_right_actual,agv3_wheel_right_reported_limit,agv3_wheel_right_speed_limit_active,agv3_wheel_right_accel_limit_active,agv3_wheel_right_decel_limit_active,agv3_wheel_left_pre_limit,agv3_wheel_right_pre_limit,agv3_wheel_left_fleet_scaled,agv3_wheel_right_fleet_scaled
1788424095.511267,False,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan
1788424095.5212715,False,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan
1788424095.5312574,False,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan
1788424095.5412464,False,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan
1788424095.5513616,False,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan
1788424095.5612721,False,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan
1788424095.5712876,False,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan,1.6638538294077477e-06,1.6638538294077477e-06,0.0,0.08,False,False,False,1.993872152516778e-06,1.993872152516778e-06,0.0,0.08,False,False,False,nan,nan,nan,nan,0.0,0.0,0.0,0.08,False,False,False,0.0,0.0,0.0,0.08,False,False,False,nan,nan,nan,nan
1788424095.5812485,False,1.79414280368118e-06,1.79414280368118e-06,0.0,0.08,False,False,False,1.22855589304107e-06,1.22855589304107e-06,0.0,0.08,False,False,False,1.79414280368118e-06,1.22855589304107e-06,1.79414280368118e-06,1.22855589304107e-06,1.6638538294077477e-06,1.6638538294077477e-06,0.0,0.08,False,False,False,1.993872152516778e-06,1.993872152516778e-06,0.0,0.08,False,False,False,1.6638538294077477e-06,1.993872152516778e-06,1.6638538294077477e-06,1.993872152516778e-06,-4.732710197310711e-06,-4.732710197310711e-06,0.0,0.08,False,False,False,-3.853925129637121e-06,-3.853925129637121e-06,0.0,0.08,False,False,False,-1.0993815812033061e-06,-1.0375607382297786e-06,-1.0993815812033061e-06,-1.0375607382297786e-06
1788424095.5912445,False,9.032252100637631e-06,9.032252100637631e-06,0.0,0.08,False,False,False,5.945196330125142e-06,5.945196330125142e-06,0.0,0.08,False,False,False,9.032252100637631e-06,5.945196330125142e-06,9.032252100637631e-06,5.945196330125142e-06,7.000856247165187e-06,7.000856247165187e-06,0.0,0.08,False,False,False,8.962797047575982e-06,8.962797047575982e-06,0.0,0.08,False,False,False,7.000856247165187e-06,8.962797047575982e-06,7.000856247165187e-06,8.962797047575982e-06,-4.732710197310711e-06,-4.732710197310711e-06,0.0,0.08,False,False,False,-3.853925129637121e-06,-3.853925129637121e-06,0.0,0.08,False,False,False,-4.732710197310711e-06,-3.853925129637121e-06,-4.732710197310711e-06,-3.853925129637121e-06
1788424095.6012745,False,2.5779668119750532e-05,2.5779668119750532e-05,0.0,0.08,False,False,False,1.6573621533757657e-05,1.6573621533757657e-05,0.0,0.08,False,False,False,2.5779668119750532e-05,1.6573621533757657e-05,2.5779668119750532e-05,1.6573621533757657e-05,7.000856247165187e-06,7.000856247165187e-06,0.0,0.08,False,False,False,8.962797047575982e-06,8.962797047575982e-06,0.0,0.08,False,False,False,1.853688984961429e-05,2.4608995433477697e-05,1.853688984961429e-05,2.4608995433477697e-05,7.443950213479208e-06,-0.0,0.0,0.08,False,False,True,2.0726945221325375e-05,2.0726945221325375e-05,0.0,0.08,False,False,True,-2.564316742343223e-06,2.345418930694022e-06,-2.564316742343223e-06,2.345418930694022e-06
