stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_risk_inner_upper,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_risk_inner_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_risk_inner_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi
1789465301.3537548,0.10006889107585064,0.10006889107585064,-0.009999999999999998,0.11,True,True,0.11,-0.14195249129298157,0.14195249129298157,0.11,-0.12046881746407143,0.12046881746407143,0.11,-0.1767041206022255,0.1767041206022255,-0.015,0.115,1.0,0.0,0.0,4.611716598099787,0.10006002582665385,0.0,-0.0001601380850530631,3.407212986012708e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.611626663418901,0.10008024672889858,0.0,-0.00015231787949776532,3.5100352426917225e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.6116881165061665,0.10006640067199947,0.0,-0.00015750706291854937,3.436455090741406e-05,0.0
1789465301.3637965,0.10006889107585064,0.10006889107585064,-0.009999999999999998,0.11,True,True,0.11,-0.14195250408931714,0.14195250408931714,0.11,-0.1204688100749194,0.1204688100749194,0.11,-0.17670409563553863,0.17670409563553863,-0.015,0.115,1.0,0.0,0.0,4.611716598099787,0.10006002582665385,0.0,-0.0001601380850530631,3.407212986012708e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.611626663418901,0.10008024672889858,0.0,-0.00015231787949776532,3.5100352426917225e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.6116881165061665,0.10006640067199947,0.0,-0.00015750706291854937,3.436455090741406e-05,0.0
1789465301.3738863,0.10006889107585064,0.10006889107585064,-0.009999999999999998,0.11,True,True,0.11,-0.14195249554742143,0.14195249554742143,0.11,-0.12046881500974907,0.12046881500974907,0.11,-0.17670411230382316,0.17670411230382316,-0.015,0.115,1.0,0.0,0.0,4.611716598099787,0.10006002582665385,0.0,-0.0001601380850530631,3.407212986012708e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.611626663418901,0.10008024672889858,0.0,-0.00015231787949776532,3.5100352426917225e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.6116881165061665,0.10006640067199947,0.0,-0.00015750706291854937,3.436455090741406e-05,0.0
1789465301.383791,0.10006885017842282,0.10006885017842282,-0.009999999999999998,0.11,True,True,0.11,-0.14195250271867577,0.14195250271867577,0.11,-0.1204688108654241,0.1204688108654241,0.11,-0.17670409831856346,0.17670409831856346,-0.015,0.115,1.0,0.0,0.0,4.6157123517136975,0.10006039610102989,0.0,-0.00017375674443336208,3.470504813262996e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.6156224205743195,0.10007968720121846,0.0,-0.00015138776815071253,3.4066959143833064e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.61568384792559,0.10006646723302007,0.0,-0.00016605507862448303,3.441425617703653e-05,0.0
1789465301.393799,0.10006885017842282,0.10006885017842282,-0.009999999999999998,0.11,True,True,0.11,-0.14195249880865768,0.14195249880865768,0.11,-0.12046881312738815,0.12046881312738815,0.11,-0.17670410594614425,0.17670410594614425,-0.015,0.115,1.0,0.0,0.0,4.6157123517136975,0.10006039610102989,0.0,-0.00017375674443336208,3.470504813262996e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.6156224205743195,0.10007968720121846,0.0,-0.00015138776815071253,3.4066959143833064e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.61568384792559,0.10006646723302007,0.0,-0.00016605507862448303,3.441425617703653e-05,0.0
1789465301.403797,0.10006885017842282,0.10006885017842282,-0.009999999999999998,0.11,True,True,0.11,-0.1419525092654959,0.1419525092654959,0.11,-0.12046880708303301,0.12046880708303301,0.11,-0.17670408553242092,0.17670408553242092,-0.015,0.115,1.0,0.0,0.0,4.6157123517136975,0.10006039610102989,0.0,-0.00017375674443336208,3.470504813262996e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.6156224205743195,0.10007968720121846,0.0,-0.00015138776815071253,3.4066959143833064e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.61568384792559,0.10006646723302007,0.0,-0.00016605507862448303,3.441425617703653e-05,0.0
1789465301.413892,0.10006885017842282,0.10006885017842282,-0.009999999999999998,0.11,True,True,0.11,-0.14195251015479524,0.14195251015479524,0.11,-0.12046880656814193,0.12046880656814193,0.11,-0.17670408380483132,0.17670408380483132,-0.015,0.115,1.0,0.0,0.0,4.6157123517136975,0.10006039610102989,0.0,-0.00017375674443336208,3.470504813262996e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.6156224205743195,0.10007968720121846,0.0,-0.00015138776815071253,3.4066959143833064e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.61568384792559,0.10006646723302007,0.0,-0.00016605507862448303,3.441425617703653e-05,0.0
1789465301.4238842,0.10006894620091279,0.10006894620091279,-0.009999999999999998,0.11,True,True,0.11,-0.14195251407110218,0.14195251407110218,0.11,-0.12046880430162347,0.12046880430162347,0.11,-0.1767040761521411,0.1767040761521411,-0.015,0.115,1.0,0.0,0.0,4.619715917439809,0.10006071843389991,0.0,-0.0001801257164402158,3.6248095249169496e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.619625722675583,0.10007948239714462,0.0,-0.00015135849064851215,3.251106838696172e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.619687301554987,0.10006663777169388,0.0,-0.0001702620675833711,3.484063885679235e-05,0.0
1789465301.433839,0.10006894620091279,0.10006894620091279,-0.009999999999999998,0.11,True,True,0.11,-0.14195251356015987,0.14195251356015987,0.11,-0.12046880460066618,0.12046880460066618,0.11,-0.17670407714732259,0.17670407714732259,-0.015,0.115,1.0,0.0,0.0,4.619715917439809,0.10006071843389991,0.0,-0.0001801257164402158,3.6248095249169496e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.619625722675583,0.10007948239714462,0.0,-0.00015135849064851215,3.251106838696172e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.619687301554987,0.10006663777169388,0.0,-0.0001702620675833711,3.484063885679235e-05,0.0
1789465301.4437847,0.10006894620091279,0.10006894620091279,-0.009999999999999998,0.11,True,True,0.11,-0.14195251619834923,0.14195251619834923,0.11,-0.1204688030713409,0.1204688030713409,0.11,-0.17670407199319504,0.17670407199319504,-0.015,0.115,1.0,0.0,0.0,4.619715917439809,0.10006071843389991,0.0,-0.0001801257164402158,3.6248095249169496e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.619625722675583,0.10007948239714462,0.0,-0.00015135849064851215,3.251106838696172e-05,0.0,-0.015,0.115,1.0,0.0,0.0,4.619687301554987,0.10006663777169388,0.0,-0.0001702620675833711,3.484063885679235e-05,0.0
