method,task_time_seconds,actual_wheel_peak_mps,capability_report_unchanged,common_reference_mean,common_reference_minimum,disturbance_envelope_mean,duration_seconds,effectiveness_rho_mean,effectiveness_rho_minimum,equivalent_load_position_error_iae,equivalent_load_position_error_max,equivalent_load_position_error_rmse,equivalent_load_yaw_error_iae,equivalent_load_yaw_error_max,equivalent_load_yaw_error_rmse,heading_error_iae,heading_error_max,heading_error_rmse,lateral_error_iae,lateral_error_max,lateral_error_rmse,limiter_duration_seconds,longitudinal_effectiveness_delta_peak_mps,longitudinal_effectiveness_delta_rms_mps,longitudinal_error_iae,longitudinal_error_max,longitudinal_error_rmse,maximum_spacing_seconds,native_controller_raw_peak_mps,native_controller_raw_rms_mps,native_differential_wheel_peak_mps,native_differential_wheel_rms_mps,native_longitudinal_peak_mps,native_longitudinal_rms_mps,native_over_0p160_duration_seconds,native_over_0p18_duration_seconds,native_wheel_demand_capability_ratio_peak,native_yaw_peak_radps,native_yaw_rms_radps,pairwise_side_error_iae,pairwise_side_error_max,pairwise_side_error_rmse,post_candidate_b_over_0p160_duration_seconds,post_candidate_b_wheel_peak_mps,post_disturbance_over_0p18_duration_seconds,post_disturbance_yaw_peak_radps,post_effectiveness_longitudinal_peak_mps,post_limit_wheel_peak_mps,progress_error_iae,progress_error_max,progress_error_rmse,rigid_fit_error_iae,rigid_fit_error_max,rigid_fit_error_rmse,risk_contraction_integral,risk_contraction_peak,robot2_velocity_error_iae,robot2_velocity_error_max,robot2_velocity_error_rmse,samples,support_error_iae,support_error_max,support_error_rmse,wheel_margin_below_0p5_duration_seconds,wheel_margin_below_0p7_duration_seconds,wheel_margin_mean,wheel_margin_minimum,wheel_margin_p05,yaw_disturbance_peak_radps,yaw_disturbance_rms_radps
M1_R1,52.45995903015137,0.16,True,0.0929265266897365,0.07014238378417426,0.9374766450522107,8.000194072723389,0.8593785032421687,0.85,0.04315719894724219,0.009244294533118633,0.005679598836907848,0.21410167521307738,0.039019330940036845,0.028389686562557106,0.3666337280520889,0.08725542248640483,0.05223451830332133,0.05629979696008196,0.015973365753617064,0.008648997853321164,0.1400918960571289,0.02256029178779312,0.01877906884816568,0.11617453041111003,0.02274138522750114,0.01509992599325247,0.01093292236328125,0.17179834226393695,0.13143895972976583,0.05469417957734252,0.03240433766705998,0.15575967482458222,0.1304365357556418,0.5706527233123779,0,1.073739639149606,0.3926796351753135,0.2326485851242207,0.103070200864202,0.02129902615842194,0.01385080398389212,0.1400918960571289,0.1703589068995572,0,0.22411511923643515,0.15565459222609354,0.16,0.092739638036585,0.019537515066498035,0.012058622780512347,0.04778226418089325,0.008929165437408322,0.006306468464307431,0.10483312483671767,0.03685761621582574,0.051468071258367214,0.043814708366883226,0.011668222744238928,800,0.12767394258152756,0.023702774974876956,0.016793752867778653,1.2495555877685547,2.2108469009399414,0.8011031466339625,0.0,0.0,0.2624997367922332,0.17685818909873108
M1b_R1,51.59002089500427,0.16,True,0.09996641387674829,0.09991642026803706,0.937636044438729,7.999977231025696,0.8593545933341898,0.85,0.04843708963565077,0.009744520787701104,0.006257420446393429,0.23463874586116842,0.040861440059890786,0.030599676609017683,0.3724472070077435,0.08968779529995485,0.05284757594264512,0.06269178769074182,0.017639516065995176,0.009678670689187414,0.21992337703704834,0.023635419494629467,0.020176473230240473,0.1275213498198019,0.02372198710312046,0.016450844518675047,0.020100116729736328,0.17853955886749542,0.14080005008113539,0.05711794900970098,0.03363981993480281,0.16164059665951241,0.1397917906442962,3.110165238380432,0,1.1158722429218464,0.410081210695826,0.24151879270228266,0.11386012812472034,0.021712592690748267,0.01507588084048095,0.21992337703704834,0.17843972784211315,0,0.2503072656733124,0.1612707912781481,0.16,0.10152536287674668,0.020327806656347036,0.013139018500278871,0.052339389770099665,0.009364643890658445,0.0068248068671823104,0.0,0.0,0.03604926405421371,0.036669500019855805,0.009182607532863625,665,0.1415706341769645,0.024634569017183205,0.018371972705546198,3.6095770597457886,3.8300169706344604,0.5423687832928419,0.0,0.0,0.26249872391522727,0.17683230209420212
M2b_M2b,51.55996346473694,0.16,True,0.09999945033043424,0.09999939247421603,0.9374892208287372,8.000094413757324,0.8593766168756891,0.85,0.04987384486098994,0.009435852666266505,0.00643747044442592,0.24003845528988205,0.04135400322249705,0.03128543358036134,0.37382747918679016,0.0895150335046111,0.05304280235299951,0.06313523138890523,0.017742737544302917,0.009741341718829368,0.21001100540161133,0.023740389256903166,0.020195413192675087,0.1309332867923926,0.02385672683446921,0.016893642514529322,0.01074361801147461,0.18053852415037736,0.1409494928333203,0.05699732029171106,0.033722088707081446,0.1632071938589973,0.1399373599625136,3.1613171100616455,0.040254831314086914,1.1283657759398584,0.40921515069935116,0.2421094455237407,0.11505122026625998,0.021832507165347736,0.015223848252009526,0.22001218795776367,0.1804892550188761,0.03023552894592285,0.25485948606085895,0.16299801628502972,0.16,0.10408164422238345,0.020426756291812342,0.013478050084154598,0.05300894911855555,0.0094404408073884,0.006908839690713541,0.0,0.0,0.036670372191462554,0.036555115058307525,0.009288811075238695,800,0.14460406235602885,0.024732463756739764,0.018755745855505525,3.6314473152160645,3.8401944637298584,0.5377719437366429,0.0,0.0,0.2624997207801359,0.1768594602106344
