topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv1/chassis_feedback,1789537733.4716628,1789537733.4715166,1789537733.4715154,1,157,136,390,0.0160644599997769,0.016064426709995475,0.0160644599997769,0.016064426709995475,0.014900010700816691,0.014799767167181782,0.01493495408029349,0.014842591412509723,0.0160644599997769,0.016064426709995475,0.016064443354886188,-2.457094426576351e-07,0.0,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789537733.474216,1789537733.474066,1789537733.4740648,3,152,136,377,0.015321559693807805,0.015321561260162306,0.015321559693807805,0.015321561260162306,0.013987209472683275,0.013916082530955512,0.01403652026404295,0.013933067607911017,0.015321559693807805,0.015321561260162306,0.015321560476985055,1.1449721852379645e-08,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789537733.4795766,1789537733.4795194,1789537733.4795191,1,158,137,392,0.01832445104011307,0.01832441586745004,0.01832445104011307,0.01832441586745004,0.01699618391082353,0.01688184042970733,0.01493495408029349,0.014842591412509723,0.0160644599997769,0.016064426709995475,0.016064443354886188,-2.457094426576351e-07,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789537733.479581,1789537733.4795098,1789537733.479509,2,153,137,380,0.017915119409050436,0.017915120979430026,0.017915119409050436,0.017915120979430026,0.016265029492420913,0.01616087729561275,0.01426081055569852,0.014228954015978458,0.015679036771075107,0.015679038344802256,0.01567903755793868,1.1298653848574813e-08,0.0,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789537733.4863038,1789537733.4860785,1789537733.486077,3,153,137,380,0.017485608745832788,0.017485610331091635,0.017485608745832788,0.017485610331091635,0.01596279211601353,0.01588161887289428,0.01601906766640747,0.01590100295732566,0.017485608745832788,0.017485610331091635,0.01748560953846221,1.1587908650426915e-08,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789537733.487663,1789537733.4875047,1789537733.4875042,2,154,138,382,0.020317945779320983,0.020317947342004723,0.020317945779320983,0.020317947342004723,0.01844654114664263,0.018328419566347034,0.016294631341544297,0.01625823134054053,0.017915119409050436,0.017915120979430023,0.017915120194240228,1.127461988374564e-08,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789537733.4915957,1789537733.4915133,1789537733.491513,1,159,138,395,0.02076978282137173,0.020769746002492467,0.02076978282137173,0.020769746002492467,0.01926426324298329,0.0191346638449994,0.01930944163072791,0.0191900314416318,0.02076978282137173,0.02076974600249247,0.020769764411932103,-2.717574557814918e-07,0.0,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789537733.494442,1789537733.4940834,1789537733.4940815,3,154,138,382,0.01976130200925938,0.019761303561695226,0.01976130200925938,0.019761303561695226,0.01804029590852796,0.017948558023185603,0.018103895532838265,0.0179704648808509,0.01976130200925938,0.019761303561695226,0.019761302785477303,1.1347979416928493e-08,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789537733.4995573,1789537733.499515,1789537733.4995148,1,160,139,397,0.0232873935236568,0.023287354311154262,0.0232873935236568,0.023287354311154262,0.021599382282469156,0.021454075390708233,0.01930944163072791,0.0191900314416318,0.02076978282137173,0.02076974600249247,0.020769764411932103,-2.717574557814918e-07,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789537733.4995625,1789537733.4995089,1789537733.4995084,2,155,139,385,0.02279409260308953,0.022794094171910313,0.02279409260308953,0.022794094171910313,0.02069462000096574,0.020562102784560943,0.018480113279304645,0.01843883100931999,0.020317945779320983,0.020317947342004723,0.020317946560662853,1.1219367132035721e-08,0.0,False,False,False,False,False,False,False
