v3_relative_time,m1b_counterfactual_common_velocity_mps,effective_common_velocity_mps,paired_reference_difference_mps,m1_common_boundary_upper,m1b_common_boundary_upper,m1_risk_contraction,m1b_risk_contraction,m1_agv2_robust_margin,m1b_agv2_robust_margin,m1_yaw_drive_disturbance_left_nominal,m1b_yaw_drive_disturbance_left_nominal,m1_yaw_drive_disturbance_right_nominal,m1b_yaw_drive_disturbance_right_nominal,m1_agv2_s_dot_actual,m1b_agv2_s_dot_actual
0.0,0.0997869491535643,0.10038863095411388,0.0,0.10699991758778436,0.107,8.241221563509704e-08,0.0,1.0,1.0,0.1320776266000071,0.13103055557831983,0.1120378408678658,0.1112136017000338,0.1003725316089397,0.09978576213226967
0.019899973273277284,0.09978804448059538,0.100386513271377,0.0,0.10699991966967258,0.107,8.241221563509704e-08,0.0,1.0,1.0,0.13208687046447007,0.13101787280704963,0.11204283256296634,0.11120594283204494,0.10037217820365289,0.09980666046371729
0.03979994654655457,0.09978804448059538,0.10038650584498211,0.0,0.10699991967697345,0.107,8.03230265494781e-08,0.0,1.0,1.0,0.13207875611951325,0.13105570084695925,0.11203788283844059,0.11123715120435188,0.10037226632251328,0.09982365160084068
0.059699919819831845,0.09978865729218049,0.10038548807014835,0.0,0.10699992170268716,0.107,8.03230265494781e-08,0.0,1.0,1.0,0.13205212208056435,0.1310704679796508,0.11202080740731028,0.11125210030200203,0.100372322680555,0.09983983332011671
0.07959989309310914,0.09978866974662555,0.10038546186442614,0.0,0.10699992175484535,0.107,7.824515464716075e-08,0.0,1.0,1.0,0.1320495210932147,0.13108840656070264,0.11201935031600749,0.1112687553596032,0.1003687642848217,0.09985672219559705
0.09949986636638641,0.09978867304851087,0.10038390852728063,0.0,0.10699992365685473,0.107,7.824515464716075e-08,0.0,1.0,1.0,0.1320525040140148,0.1310720114705317,0.11202029991133895,0.11126385715634117,0.10036949641881791,0.09987571569096702
0.11939983963966369,0.09978867304851087,0.10038382422420024,0.0,0.10699992376008104,0.107,7.623991896132942e-08,0.0,1.0,1.0,0.13204025547599754,0.13110879009551074,0.11201257963250244,0.11129299702089186,0.10036428786838066,0.09991213703177819
0.13929981291294097,0.09978985109443443,0.10038228954065583,0.0,0.10699992561392094,0.107,7.623991896132942e-08,0.0,1.0,1.0,0.1320178711610255,0.12987807671702326,0.11199630361232146,0.11053760610030976,0.10036676962454727,0.09989907009374
0.15919978618621827,0.09978993779684488,0.100382182403828,0.0,0.10699992574333819,0.107,7.425666180560508e-08,0.0,1.0,1.0,0.1320434787213522,0.13114491088261523,0.11201252364176655,0.11132154433682515,0.10036211109007323,0.0997983389653936
0.17909975945949555,0.09979011430090719,0.10038030694276244,0.0,0.10699992745151074,0.107,7.425666180560508e-08,0.0,1.0,1.0,0.13205300271959602,0.13100852274795158,0.11201562816035802,0.11119889329039954,0.1003616603024545,0.09983726591215039
0.19899973273277283,0.09979011430090719,0.10038012252895086,0.0,0.10699992761947509,0.107,7.238052490698976e-08,0.0,1.0,1.0,0.13202288999423697,0.13109130456653584,0.1119933641176411,0.11125806989747185,0.10036175441661319,0.09982289975849608
0.2188997060060501,0.0997917153984516,0.10037973401263545,0.0,0.1069999292602539,0.107,7.238052490698976e-08,0.0,1.0,1.0,0.1320276975944833,0.13108826266705412,0.11199240914308747,0.11124719456566462,0.1003583583288465,0.09983727716573582
0.23879967927932738,0.0997917153984516,0.10037968486601279,0.0,0.1069999294678095,0.107,7.053219050479065e-08,0.0,1.0,1.0,0.13202351222873135,0.13110253454544404,0.11198249754139328,0.11125498452432937,0.10035405065505047,0.09982882818930588
0.2586996525526047,0.09979313473895175,0.1003795751733005,0.0,0.10699993104784743,0.107,7.053219050479065e-08,0.0,1.0,1.0,0.13201866028272846,0.13110622254942653,0.11196896481149038,0.11124516946119674,0.10034854124598709,0.09983944208308454
0.27859962582588194,0.09979313473895175,0.10037955928591104,0.0,0.10699993127669288,0.107,6.872330711449326e-08,0.0,1.0,1.0,0.1320030246652466,0.13113921833814388,0.11194502865130422,0.11125765929567838,0.10034138350873242,0.09982297798595677
0.29849959909915924,0.09979485999926645,0.10037928186162852,0.0,0.10699993279017798,0.107,6.872330711449326e-08,0.0,1.0,1.0,0.1320022786787713,0.1311356736173126,0.11192588789112647,0.11123441018916136,0.10033143511514069,0.09983548988216091
0.31839957237243655,0.09979485999926645,0.10037923242159086,0.0,0.10699993305989756,0.107,6.694010243335491e-08,0.0,1.0,1.0,0.1320258525571129,0.13115948423427778,0.11191641871979037,0.11123301668862745,0.10031914367229275,0.09983778360050277
0.3382995456457138,0.09979549122833542,0.10037833150276408,0.0,0.10699993448523416,0.107,6.694010243335491e-08,0.0,1.0,1.0,0.13201709171781295,0.13116279841928,0.1118800318648066,0.11121033628666428,0.10031048826305375,0.09981952046470721
