topic,bag_stamp,header_stamp,experiment_id,method_id,path_progress_actual_1,path_progress_actual_2,path_progress_actual_3,path_velocity_actual_1,path_velocity_actual_2,path_velocity_actual_3,common_velocity_lower_bound,common_velocity_upper_bound,common_velocity_reference,channel_input_raw_1,channel_input_raw_2,channel_input_raw_3,channel_input_limited_1,channel_input_limited_2,channel_input_limited_3
/multi_agv/controller_state,1788412643.2178283,1788412643.2171597,exp2a_m1_r1_unloaded_serial,M1_R1,0.000277260872212704,0.003689936202632581,0.0,-8.49362610463374e-05,-0.008681265990119123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.228254,1788412643.227217,exp2a_m1_r1_unloaded_serial,M1_R1,0.000277260872212704,0.003689936202632581,0.0,-8.49362610463374e-05,-0.008681265990119123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.2379785,1788412643.2372217,exp2a_m1_r1_unloaded_serial,M1_R1,0.0002652580964879348,0.0036899362026325505,0.0,-0.00026987139867142864,-0.006945012792095804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.2482564,1788412643.2472134,exp2a_m1_r1_unloaded_serial,M1_R1,0.0002652580964879638,0.0036899362026325496,0.0,-0.00021589711893642608,-0.005556010233676666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.2580855,1788412643.2572117,exp2a_m1_r1_unloaded_serial,M1_R1,0.00026525809648796393,0.004026744145204779,0.0,-0.00017271769514913906,0.001176324259440589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.2676864,1788412643.2671568,exp2a_m1_r1_unloaded_serial,M1_R1,0.0002800260180979025,0.004026744145204687,0.0,0.0002302161893086171,0.0009410594075501788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.2777622,1788412643.277204,exp2a_m1_r1_unloaded_serial,M1_R1,0.0002800260180979222,0.004026744145204687,0.0,0.0001841729514472215,0.000752847526040143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.2876887,1788412643.2872112,exp2a_m1_r1_unloaded_serial,M1_R1,0.0002800260180979222,0.004100970888318586,0.0,0.0001473383611577772,0.0024476858365435495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.2977564,1788412643.2971919,exp2a_m1_r1_unloaded_serial,M1_R1,0.00029015713375462454,0.004100970888318572,0.0,0.000287259905713949,0.0019581486692346077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.3081062,1788412643.3072355,exp2a_m1_r1_unloaded_serial,M1_R1,0.0002901571337546591,0.004100970888318572,0.0,0.00022980792457201794,0.0015665189353876862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.3179274,1788412643.3172262,exp2a_m1_r1_unloaded_serial,M1_R1,0.0002901571337546591,0.004056442480285622,0.0,0.0001470770717260915,-0.00011148246052950644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.3278594,1788412643.3271606,exp2a_m1_r1_unloaded_serial,M1_R1,0.0002901571337546591,0.004056442480285622,0.0,0.0001470770717260915,-0.00011148246052950644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.3378432,1788412643.3373349,exp2a_m1_r1_unloaded_serial,M1_R1,0.00028123370633387305,0.004056442480285597,0.0,-2.4558827340252183e-05,-7.134877473921929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.3477244,1788412643.347164,exp2a_m1_r1_unloaded_serial,M1_R1,0.00028123370633387305,0.004056442480285597,0.0,-2.4558827340252183e-05,-7.134877473921929e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.3578482,1788412643.3572147,exp2a_m1_r1_unloaded_serial,M1_R1,0.00028123370633387305,0.004080320851231917,0.0,-1.964706187220175e-05,0.00034066977597364156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.3678064,1788412643.3671603,exp2a_m1_r1_unloaded_serial,M1_R1,0.0002379384004587303,0.004080320851231851,0.0,-0.0011052252217991546,0.00027253582077726383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/controller_state,1788412643.3777654,1788412643.3772156,exp2a_m1_r1_unloaded_serial,M1_R1,-4.0249734393307763e-05,0.00011879968616658118,0.0,-0.0008841801774384545,0.00021802865662181106,0.0,-0.04508661929017597,0.4964882030479839,5.004790770741526e-07,0.0003776097208693025,-0.0005171687763323834,0.00015114248800702398,0.0003776097208693025,-0.0005171687763323834,0.00015114248800702398
