topic,bag_stamp,header_stamp,confidence
/camera/world/agv1_confidence,1789283531.007898,1789283531.007898,0.594
/camera/world/agv2_confidence,1789283531.008152,1789283531.008152,0.5255
/camera/world/agv3_confidence,1789283531.0082705,1789283531.0082705,0.5748
/camera/world/agv2_confidence,1789283531.0406363,1789283531.0406363,0.5641
/camera/world/agv1_confidence,1789283531.0406754,1789283531.0406754,0.5926
/camera/world/agv3_confidence,1789283531.0408452,1789283531.0408452,0.5685
/camera/world/agv1_confidence,1789283531.0726485,1789283531.0726485,0.5936
/camera/world/agv2_confidence,1789283531.072802,1789283531.072802,0.5719
/camera/world/agv3_confidence,1789283531.0728848,1789283531.0728848,0.5757
/camera/world/agv1_confidence,1789283531.1035717,1789283531.1035717,0.5871
/camera/world/agv2_confidence,1789283531.1037874,1789283531.1037874,0.5733
/camera/world/agv3_confidence,1789283531.1038015,1789283531.1038015,0.5752
/camera/world/agv2_confidence,1789283531.133109,1789283531.133109,0.5759
/camera/world/agv3_confidence,1789283531.13318,1789283531.13318,0.5575
/camera/world/agv1_confidence,1789283531.133222,1789283531.133222,0.5919
/camera/world/agv1_confidence,1789283531.1758976,1789283531.1758976,0.5905
/camera/world/agv3_confidence,1789283531.1759455,1789283531.1759455,0.5745
/camera/world/agv2_confidence,1789283531.175958,1789283531.175958,0.5659
/camera/world/agv1_confidence,1789283531.2078662,1789283531.2078662,0.588
/camera/world/agv3_confidence,1789283531.2081134,1789283531.2081134,0.5777
/camera/world/agv2_confidence,1789283531.208129,1789283531.208129,0.5723
/camera/world/agv1_confidence,1789283531.2369807,1789283531.2369807,0.5858
/camera/world/agv2_confidence,1789283531.237026,1789283531.237026,0.5729
/camera/world/agv3_confidence,1789283531.2372544,1789283531.2372544,0.576
/camera/world/agv3_confidence,1789283531.2699883,1789283531.2699883,0.5754
/camera/world/agv1_confidence,1789283531.2700486,1789283531.2700486,0.5888
/camera/world/agv2_confidence,1789283531.2700627,1789283531.2700627,0.5755
/camera/world/agv3_confidence,1789283531.307876,1789283531.307876,0.5414
/camera/world/agv1_confidence,1789283531.3078778,1789283531.3078778,0.5904
/camera/world/agv2_confidence,1789283531.3079102,1789283531.3079102,0.5315
/camera/world/agv2_confidence,1789283531.340383,1789283531.340383,0.5732
/camera/world/agv1_confidence,1789283531.3404028,1789283531.3404028,0.5915
/camera/world/agv3_confidence,1789283531.3406215,1789283531.3406215,0.5743
/camera/world/agv1_confidence,1789283531.3725147,1789283531.3725147,0.5863
/camera/world/agv2_confidence,1789283531.372565,1789283531.372565,0.5736
/camera/world/agv3_confidence,1789283531.37257,1789283531.37257,0.5749
/camera/world/agv1_confidence,1789283531.4044473,1789283531.4044473,0.5889
/camera/world/agv2_confidence,1789283531.4045663,1789283531.4045663,0.56
/camera/world/agv3_confidence,1789283531.4047985,1789283531.4047985,0.5752
/camera/world/agv1_confidence,1789283531.4357452,1789283531.4357452,0.5902
/camera/world/agv2_confidence,1789283531.4359512,1789283531.4359512,0.5406
/camera/world/agv3_confidence,1789283531.4362593,1789283531.4362593,0.5562
/camera/world/agv1_confidence,1789283531.4668422,1789283531.4668422,0.5806
/camera/world/agv2_confidence,1789283531.4673018,1789283531.4673018,0.5731
/camera/world/agv3_confidence,1789283531.4673796,1789283531.4673796,0.5723
/camera/world/agv1_confidence,1789283531.501215,1789283531.501215,0.5921
/camera/world/agv2_confidence,1789283531.501226,1789283531.501226,0.5743
/camera/world/agv3_confidence,1789283531.5012414,1789283531.5012414,0.5714
/camera/world/agv1_confidence,1789283531.5438237,1789283531.5438237,0.5951
/camera/world/agv3_confidence,1789283531.543915,1789283531.543915,0.5768
/camera/world/agv2_confidence,1789283531.5439773,1789283531.5439773,0.5736
/camera/world/agv1_confidence,1789283531.5743458,1789283531.5743458,0.5879
/camera/world/agv3_confidence,1789283531.5745566,1789283531.5745566,0.5717
/camera/world/agv2_confidence,1789283531.574619,1789283531.574619,0.5758
/camera/world/agv2_confidence,1789283531.6024532,1789283531.6024532,0.5497
/camera/world/agv1_confidence,1789283531.6026103,1789283531.6026103,0.5912
/camera/world/agv3_confidence,1789283531.6026757,1789283531.6026757,0.5752
/camera/world/agv2_confidence,1789283531.6438494,1789283531.6438494,0.5746
/camera/world/agv1_confidence,1789283531.6438727,1789283531.6438727,0.5864
/camera/world/agv3_confidence,1789283531.6442213,1789283531.6442213,0.5337
/camera/world/agv3_confidence,1789283531.6770353,1789283531.6770353,0.5747
/camera/world/agv1_confidence,1789283531.6770356,1789283531.6770356,0.5917
/camera/world/agv2_confidence,1789283531.6770687,1789283531.6770687,0.5524
/camera/world/agv3_confidence,1789283531.708614,1789283531.708614,0.5743
/camera/world/agv2_confidence,1789283531.708691,1789283531.708691,0.5682
/camera/world/agv1_confidence,1789283531.7087915,1789283531.7087915,0.5866
