topic,bag_stamp,header_stamp,confidence
/camera/world/agv2_confidence,1789458500.920342,1789458500.920342,0.5655
/camera/world/agv1_confidence,1789458500.920383,1789458500.920383,0.5463
/camera/world/agv3_confidence,1789458500.9204686,1789458500.9204686,0.4859
/camera/world/agv1_confidence,1789458500.9470694,1789458500.9470694,0.5956
/camera/world/agv2_confidence,1789458500.9473474,1789458500.9473474,0.5731
/camera/world/agv3_confidence,1789458500.9473493,1789458500.9473493,0.5623
/camera/world/agv2_confidence,1789458500.9937205,1789458500.9937205,0.571
/camera/world/agv1_confidence,1789458500.993749,1789458500.993749,0.5458
/camera/world/agv3_confidence,1789458500.9938529,1789458500.9938529,0.569
/camera/world/agv1_confidence,1789458501.0217724,1789458501.0217724,0.6028
/camera/world/agv2_confidence,1789458501.021984,1789458501.021984,0.5702
/camera/world/agv3_confidence,1789458501.0222204,1789458501.0222204,0.5593
/camera/world/agv2_confidence,1789458501.0515535,1789458501.0515535,0.572
/camera/world/agv1_confidence,1789458501.051596,1789458501.051596,0.5838
/camera/world/agv3_confidence,1789458501.0518603,1789458501.0518603,0.5714
/camera/world/agv3_confidence,1789458501.0899334,1789458501.0899334,0.5767
/camera/world/agv2_confidence,1789458501.0899396,1789458501.0899396,0.5552
/camera/world/agv1_confidence,1789458501.089998,1789458501.089998,0.6025
/camera/world/agv2_confidence,1789458501.1177232,1789458501.1177232,0.5716
/camera/world/agv1_confidence,1789458501.1177282,1789458501.1177282,0.6014
/camera/world/agv3_confidence,1789458501.1178653,1789458501.1178653,0.57
/camera/world/agv2_confidence,1789458501.1555393,1789458501.1555393,0.5808
/camera/world/agv1_confidence,1789458501.15559,1789458501.15559,0.6019
/camera/world/agv3_confidence,1789458501.1557143,1789458501.1557143,0.5768
/camera/world/agv2_confidence,1789458501.187841,1789458501.187841,0.5693
/camera/world/agv1_confidence,1789458501.18785,1789458501.18785,0.5819
/camera/world/agv3_confidence,1789458501.1879582,1789458501.1879582,0.5781
/camera/world/agv3_confidence,1789458501.2183287,1789458501.2183287,0.5711
/camera/world/agv1_confidence,1789458501.218381,1789458501.218381,0.5932
/camera/world/agv2_confidence,1789458501.218415,1789458501.218415,0.5725
/camera/world/agv1_confidence,1789458501.264947,1789458501.264947,0.6014
/camera/world/agv2_confidence,1789458501.2650416,1789458501.2650416,0.5602
/camera/world/agv3_confidence,1789458501.2650428,1789458501.2650428,0.5753
/camera/world/agv1_confidence,1789458501.2933016,1789458501.2933016,0.5848
/camera/world/agv2_confidence,1789458501.2934139,1789458501.2934139,0.566
/camera/world/agv3_confidence,1789458501.2934685,1789458501.2934685,0.5594
