topic,bag_stamp,header_stamp,frame_id,path_id,path_version,load_s_reference,load_velocity_reference,load_acceleration_reference,load_x_reference,load_y_reference,load_yaw_reference,support_x_reference_1,support_x_reference_2,support_x_reference_3,support_y_reference_1,support_y_reference_2,support_y_reference_3,support_yaw_reference_1,support_yaw_reference_2,support_yaw_reference_3
/multi_agv/path_reference,1789558481.5072594,1789558481.5063365,world,s_curve,1,0.2944651866472902,0.10321552416822843,0.0004896816957788581,0.29446487924740666,-0.00016095825603441527,-0.006637825015026971,0.4676661442479414,0.20885991318772554,0.206868580306553,-0.0013106548310255275,0.15041058548952477,-0.1495828054266025,-0.04150615892610598,0.010290359498350577,0.011344768915127265
/multi_agv/path_reference,1789558481.5171678,1789558481.5163846,world,s_curve,1,0.29549562269624535,0.10321380577485434,0.0004762441570739004,0.2954952918735138,-0.00016790570240433339,-0.006847406032071333,0.468696312115609,0.20992188463094272,0.20786767887398952,-0.0013539019491521358,0.15042157591200686,-0.1495713910700677,-0.0424073744733104,0.01040673146356278,0.011503447810166252
/multi_agv/path_reference,1789558481.527187,1789558481.5264108,world,s_curve,1,0.29652392161550917,0.10321197184429491,0.00046301853610005345,0.2965235659293247,-0.00017505618725667464,-0.007060674635340337,0.46972432929676483,0.21098227664101,0.20886409185019922,-0.0013979907464246328,0.15043267212338765,-0.14955984993873303,-0.043315934536967034,0.010520769664596911,0.011660859171381774
/multi_agv/path_reference,1789558481.5373085,1789558481.5363367,world,s_curve,1,0.29754187658358416,0.1032100917237236,0.00045002077081046903,0.297541494744923,-0.0001823527163036744,-0.007275883713568144,0.4707419909148538,0.2120326195876619,0.2098498737322531,-0.0014425616234964903,0.1504437813685222,-0.14954827789393677,-0.04422439965466141,0.010631541127107956,0.011815718167709155
/multi_agv/path_reference,1789558481.5470328,1789558481.5463889,world,s_curve,1,0.2985723229671982,0.1032079816611823,0.00043725813537598656,0.29857191301574054,-0.00018996404040292226,-0.007497903775730797,0.4717721251252357,0.2130964819893481,0.21084713193263765,-0.0014886269011463898,0.1504551510176448,-0.14953641623770716,-0.045153155990811294,0.01074146278834718,0.011971449720215863
/multi_agv/path_reference,1789558481.5571742,1789558481.5564625,world,s_curve,1,0.2996051893607485,0.10320572486687762,0.0004247042287873041,0.29960474949129684,-0.00019782515032898336,-0.007724685492784768,0.47280466263396226,0.2141634842204687,0.21184610161945952,-0.0015357666188369902,0.15046667029873154,-0.14952437913088149,-0.046093302750669515,0.010849350674172769,0.0121264632316947
/multi_agv/path_reference,1789558481.5670311,1789558481.5664089,world,s_curve,1,0.30062456960339295,0.1032034588325176,0.0004123679668443763,0.3006240984171064,-0.00020581526716929058,-0.007952697601165607,0.47382370199062906,0.21521718869627132,0.2128314045644188,-0.001583248377922674,0.15047815790827204,-0.14951235533185722,-0.04703019200486279,0.01095351994000389,0.01227834379765548
/multi_agv/path_reference,1789558481.577247,1789558481.5764177,world,s_curve,1,0.3016505276110568,0.10320101561809591,0.0004002550005463604,0.30165002302209404,-0.00021409376518787584,-0.008186414138671612,0.47484929993634495,0.21627833297001525,0.21382243615992175,-0.0016320064495972996,0.15048983630185384,-0.14950011114782016,-0.04798214978150835,0.01105598459893333,0.012430047223930471
/multi_agv/path_reference,1789558481.587198,1789558481.5863934,world,s_curve,1,0.3026726359185378,0.10319848683328153,0.00038835440511174107,0.3026720960807418,-0.00022258199548234013,-0.008423504916082732,0.47587103195303326,0.21733613893972506,0.21480911734946703,-0.0016815585908658132,0.15050158467604569,-0.1494877720716269,-0.04893951393190874,0.011155634713714835,0.01257998271145787
/multi_agv/path_reference,1789558481.5971894,1789558481.5964053,world,s_curve,1,0.3036985122554874,0.10319580795119561,0.00037666681893012386,0.303697934968543,-0.00023134725363826433,-0.008665764659450646,0.47689651230703833,0.21839849472928072,0.21579879786930992,-0.001732282935553816,0.15051348846178025,-0.14947524728714123,-0.04990939534621987,0.011253154257583317,0.012729223543552683
/multi_agv/path_reference,1789558481.6072514,1789558481.6064684,world,s_curve,1,0.3047294221637928,0.10319296854041797,0.00036519022010920245,0.3047288050558365,-0.00024040797489687608,-0.008913575838276877,0.4779270051275997,0.21946672369076795,0.2167926863491417,-0.0017842641539078967,0.15052556126649538,-0.1494625210372781,-0.05089308261745358,0.01134857205376392,0.012877893192880591
/multi_agv/path_reference,1789558481.6172445,1789558481.6164114,world,s_curve,1,0.30574801640505783,0.10319012755403983,0.00035392442177151814,0.30574735769317535,-0.0002496138364102789,-0.009162749399828047,0.47894516770008144,0.22052284586808785,0.21777405951135664,-0.0018366263794137969,0.15053759578090284,-0.14944981091071988,-0.05187390194112147,0.011440251667258821,0.013023459903247275
/multi_agv/path_reference,1789558481.6274478,1789558481.6263762,world,s_curve,1,0.3067687262172525,0.10318715698114922,0.0003428586351129968,0.30676802346242826,-0.0002590955284421356,-0.009416777773979642,0.47996542473485937,0.2215818186164173,0.21875682703600802,-0.0018901051778498438,0.15054975866763434,-0.1494369400751109,-0.05286559217481518,0.011529473724108279,0.01316796283443654
/multi_agv/path_reference,1789558481.6370418,1789558481.636342,world,s_curve,1,0.3077893093291088,0.10318407910639378,0.0003319986804070348,0.30778856007543076,-0.00026883738850311674,-0.009675142275236578,0.4809855341722169,0.2226413217265697,0.21973882432750558,-0.0019445950431749817,0.15056202086524498,-0.14942393798757933,-0.05386597644143998,0.011615977757850516,0.013311037801927892
/multi_agv/path_reference,1789558481.647166,1789558481.646371,world,s_curve,1,0.3088161968250202,0.10318083545383323,0.00032134106816294073,0.3088153981880764,-0.00027890781390228997,-0.009939537396728971,0.4820119231690708,0.22370804175794304,0.2207262296372153,-0.0020004578444773363,0.15057445768211253,-0.14941072327934207,-0.05488141397653508,0.011700227220585993,0.013453530533004871
/multi_agv/path_reference,1789558481.6570146,1789558481.6564112,world,s_curve,1,0.30984398349439457,0.1031774780822154,0.0003108910234982124,0.30984313270356306,-0.0002892614103911994,-0.010208644755373204,0.48303918813144187,0.22477637510535595,0.2217138348738912,-0.002057419837431419,0.15058700163892974,-0.1493973660326719,-0.05590662806110922,0.01178169225984277,0.013594632488324793
