stamp,evaluation_active,m2b_agv1_z,m2b_agv1_upsilon,m2b_agv1_phi,m2b_agv1_reference_acceleration,m2b_agv1_zeta_z,m2b_agv1_zeta_v,m2b_agv1_zeta_phi,m2b_agv1_debug_s_actual,m2b_agv1_debug_s_dot_actual,m2b_agv1_position_error,m2b_agv1_velocity_error,m2b_agv1_psi,m2b_agv1_gamma,m2b_agv1_gamma_inverse_upsilon,m2b_agv1_composite_error,m2b_agv1_channel_input_raw,m2b_agv1_channel_input_limited,m2b_agv1_reported_capability,m2b_agv1_delta_inverse,m2b_agv1_mapping_zeta,m2b_agv2_z,m2b_agv2_upsilon,m2b_agv2_phi,m2b_agv2_reference_acceleration,m2b_agv2_zeta_z,m2b_agv2_zeta_v,m2b_agv2_zeta_phi,m2b_agv2_debug_s_actual,m2b_agv2_debug_s_dot_actual,m2b_agv2_position_error,m2b_agv2_velocity_error,m2b_agv2_psi,m2b_agv2_gamma,m2b_agv2_gamma_inverse_upsilon,m2b_agv2_composite_error,m2b_agv2_channel_input_raw,m2b_agv2_channel_input_limited,m2b_agv2_reported_capability,m2b_agv2_delta_inverse,m2b_agv2_mapping_zeta,m2b_agv3_z,m2b_agv3_upsilon,m2b_agv3_phi,m2b_agv3_reference_acceleration,m2b_agv3_zeta_z,m2b_agv3_zeta_v,m2b_agv3_zeta_phi,m2b_agv3_debug_s_actual,m2b_agv3_debug_s_dot_actual,m2b_agv3_position_error,m2b_agv3_velocity_error,m2b_agv3_psi,m2b_agv3_gamma,m2b_agv3_gamma_inverse_upsilon,m2b_agv3_composite_error,m2b_agv3_channel_input_raw,m2b_agv3_channel_input_limited,m2b_agv3_reported_capability,m2b_agv3_delta_inverse,m2b_agv3_mapping_zeta,m2b_delta_z,m2b_delta_w
1789540782.8437912,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789540782.8537958,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789540782.8637967,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789540782.873887,True,0.017924791767569004,0.0999377446296391,0.0,0.00042397133619692304,-0.00015495636889683375,-0.00010316790669987196,0.0,0.0029059382836753903,0.026581022312589644,-0.015018853483893613,-0.07335672231704946,-0.08839456208186788,1.5264382570733468,4.949761284631608e-05,-0.1071681289367349,0.2616834884188492,0.2616834884188492,0.15999999999999895,0.8298782254174084,7.555504988242201e-05,0.017988083176889876,0.0999704184606273,0.0,-0.0002530377961519212,0.00010502590971053424,5.504928028796097e-05,0.0,0.0027589200011869483,0.02514718282567231,-0.015229163175702928,-0.074823235634955,-0.0906412271032149,1.5457513671620133,-3.069943582684834e-05,-0.10967768107284356,0.26354204573581136,0.26354204573581136,0.15999999999999895,0.8254878936022385,-4.745369490045331e-05,0.017946348676500214,0.09994804301132755,0.0,0.00018115218137270273,-5.884961351955206e-05,-4.790878658609071e-05,0.0,0.002963725428631263,0.027388115441668387,-0.014982623247868952,-0.07255992756965916,-0.08718066724544142,1.5159909189385012,2.0701693927252188e-05,-0.10590894630527761,0.2603331540933488,0.2603331540933488,0.15999999999999895,0.8322937855634873,3.1383580000358635e-05,6.329140932087238e-05,3.2673830988205754e-05
1789540782.8838043,True,0.018917633766743575,0.09993598888491699,0.0,0.0004338763468335916,-0.0001617002072226037,-0.00010395345979714865,0.0,0.0029059382836753903,0.026581022312589644,-0.016011695483068186,-0.07335496657232735,-0.0883921949369928,1.5264262208221855,5.065208529514496e-05,-0.10840681429082803,0.2644642766269027,0.2644642766269027,0.1600000000000075,0.8298805864546729,7.731667113383112e-05,0.01898335198024121,0.0999679375462842,0.0,-0.00025527187157237883,0.00010908722640958976,5.3905218550781564e-05,0.0,0.0030619632164998354,0.027700025439466494,-0.015921388763741374,-0.07226791210681771,-0.08673511409460673,1.5121034869378986,-2.8940055721886853e-05,-0.10663685004928344,0.2622239381486084,0.2622239381486084,0.15999999999999895,0.8332024793094888,-4.3760359169242194e-05,0.018939982967329256,0.09994598098910064,0.0,0.00018729907425940004,-6.172938367939117e-05,-4.907523092123682e-05,0.0,0.0034550615705268104,0.03003208349915852,-0.015484921396802446,-0.06991389748994212,-0.08321416603235367,1.4826204225756612,1.990419681014788e-05,-0.10257031777835672,0.25813678389077893,0.25813678389077893,0.15999999999999895,0.8401682168245199,2.9510368685690576e-05,6.571821349763557e-05,3.194866136721486e-05
1789540782.8937535,True,0.019914128957894493,0.09993430054381318,0.0,0.00044321422049450166,-0.0001683293158414936,-0.00010455286932889993,0.0,0.003721924106727968,0.031813372945153025,-0.016192204851166524,-0.06812092759866015,-0.08057715574216079,1.4609867245326849,4.476446528446027e-05,-0.10081741180611895,0.25781908651451924,0.25781908651451924,0.1600000000000075,0.845412412131307,6.54002895114007e-05,0.019982195435953268,0.09996542829141025,0.0,-0.0002569766255599163,0.00011302033652103513,5.259841326289705e-05,0.0,0.003564911233273396,0.030552266203403844,-0.01641728420267987,-0.06941316208800641,-0.08247029492751451,1.4763776942682851,-2.692431720024544e-05,-0.10299190018086435,0.25973878400060135,0.25973878400060135,0.15999999999999895,0.8416747163207747,-3.975046134784629e-05,0.019937241577491008,0.09994395762574443,0.0,0.0001932668962465904,-6.459284241589204e-05,-5.017254338694904e-05,0.0,0.003806265915151438,0.03287977383470851,-0.01613097566233957,-0.06706418379103592,-0.07903849883204715,1.4484817207066671,1.892912788577629e-05,-0.09920221840997162,0.2558375342726011,0.2558375342726011,0.15999999999999895,0.8485002218165092,2.7418495731465796e-05,6.806647805877516e-05,3.1127747597073374e-05
1789540782.9038084,True,0.0209101534928036,0.0999327058497663,0.0,0.0004518121205990002,-0.0001747756722181401,-0.00010492660200918655,0.0,0.003721924106727968,0.031813372945153025,-0.017188229386075633,-0.06811933290461328,-0.08057506122986262,1.4609764380931278,4.56311236661733e-05,-0.10206034796245717,0.2607432358098721,0.2607432358098721,0.1600000000000075,0.845414596835168,6.66659965199929e-05,0.020980462509174687,0.09996290640525884,0.0,-0.00025805707550892497,0.00011677997192885078,5.1111240631437904e-05,0.0,0.003917645972396114,0.03324272148561873,-0.017062816536778574,-0.06672018491964012,-0.07853825800536894,1.4443812945721437,-2.5018510864297002e-05,-0.09986677867634217,0.25768303725960473,0.25768303725960473,0.15999999999999895,0.8495246344154853,-3.6136269110440543e-05,0.020933991553616922,0.09994199572011996,0.0,0.00019897943268453456,-6.741330205610672e-05,-5.118157077799377e-05,0.0,0.004368259601691467,0.0356962537396517,-0.016565731951925455,-0.06424574198046826,-0.07500183280742982,1.4164510336047516,1.7911457252324358e-05,-0.09570899774733664,0.2527114667699,0.2527114667699,0.15999999999999895,0.8565889602381017,2.537070213842216e-05,7.030901637108608e-05,3.0200555492548853e-05
1789540782.913749,True,0.0219178304272575,0.09993110640456293,0.0,0.0004603582595608406,-0.00018124523954853798,-0.00010526582697620022,0.0,0.004659593828198973,0.03737393070530744,-0.017258236599058528,-0.0625571756992555,-0.07262698635086826,1.3980913214394068,3.932434887724354e-05,-0.09419978209969142,0.25227241752349927,0.25227241752349927,0.15999999999999895,0.8613489123317813,5.497903088652967e-05,0.021990359516061656,0.09996034623711707,0.0,-0.00025895669044172524,0.0001205040801059605,4.956416637703909e-05,0.0,0.0044841783871833844,0.036039883759249686,-0.017506181128878272,-0.06392046247786738,-0.07453936455022495,1.4127705174672285,-2.307652862340034e-05,-0.09642209096132279,0.2546346516557164,0.2546346516557164,0.15999999999999895,0.8575396753590178,-3.260183928462861e-05,0.021942384524759852,0.09994002190329417,0.0,0.00020470439285436302,-7.026891720601624e-05,-5.217769769670991e-05,0.0,0.004776338916186131,0.03871371258762824,-0.01716604560857372,-0.061226309315665924,-0.07077473360754392,1.3839372461678063,1.6759397406320105e-05,-0.09223229061826108,0.24949246474780767,0.24949246474780767,0.15999999999999895,0.865087103756188,2.3193954293934523e-05,7.252908880415673e-05,2.923983255413709e-05
1789540782.9237497,True,0.02290291859977485,0.0999297570971166,0.0,0.00046710261667878904,-0.00018717111197283847,-0.00010510688497090411,0.0,0.004659593828198973,0.03737393070530744,-0.018243324771575878,-0.06255582639180916,-0.07262526104123102,1.398083149828772,3.9899035537880586e-05,-0.09542941700570086,0.2553044489787446,0.2553044489787446,0.15999999999999895,0.8613507957829548,5.5782169279930204e-05,0.022977418530741235,0.09995783887783168,0.0,-0.00025859767448063004,0.0001238162609561444,4.768580971462044e-05,0.0,0.004888782124757948,0.038943514437084215,-0.018088636405983287,-0.06101432444074746,-0.07047959326803244,1.3816412800336428,-2.102543557830704e-05,-0.09309038877551154,0.2515831053277649,0.2515831053277649,0.15999999999999895,0.8657019941745583,-2.9049609725677034e-05,0.022928102200751477,0.09993823484883213,0.0,0.00020973684308213104,-7.294090371999604e-05,-5.296917588624024e-05,0.0,0.0054249204240385054,0.041698105907604296,-0.01750318177671297,-0.058240128941227834,-0.0666880865618235,1.3535079093828528,1.5556782353270023e-05,-0.08856706378271471,0.2452208152189006,0.2452208152189006,0.15999999999999895,0.8733213373461548,2.1056227959698565e-05,7.449993096638602e-05,2.8081780715075166e-05
1789540782.9337513,True,0.023909872727043344,0.0999283123097623,0.0,0.00047444201810578,-0.00019329329753759936,-0.0001051037489300577,0.0,0.005730322713791349,0.04325417480622087,-0.018179550013251996,-0.05667413750354144,-0.06458148163201888,1.338238815465285,3.334505692281079e-05,-0.08730591914858388,0.24470811057924083,0.24470811057924083,0.15999999999999895,0.8775601932836882,4.462364947800481e-05,0.023986391395475443,0.09995528036220064,0.0,-0.0002584940195254502,0.00012720926667814103,4.5876097059138754e-05,0.0,0.005535353342328091,0.04193542113460633,-0.01845103805314735,-0.05801985922759431,-0.06638849436793247,1.3512578714023284,-1.9028487209005207e-05,-0.08945229193436666,0.24741408534199258,0.24741408534199258,0.15999999999999895,0.8739444956537463,-2.571239312204681e-05,0.0239357007972294,0.09993637231757983,0.0,0.00021502157561208103,-7.571280889808515e-05,-5.3818031939894406e-05,0.0,0.005880035121584286,0.04486787181947861,-0.018055665675645115,-0.055068500498101226,-0.06244435027334767,1.3229588747807688,1.4275543783207226e-05,-0.08501393236790405,0.24098441541279672,0.24098441541279672,0.15999999999999895,0.8818812311608825,1.888595734031543e-05,7.651866843209898e-05,2.6968052438333667e-05
1789540782.943751,True,0.024901593657801518,0.09992705010150317,0.0,0.00048046450175270774,-0.00019900440401521554,-0.00010474362646139822,0.0,0.005730322713791349,0.04325417480622087,-0.01917127094401017,-0.0566728752952823,-0.06457991121490779,1.3382316523723823,3.3767058455820686e-05,-0.0885439998949205,0.24790839205535792,0.24790839205535792,0.15999999999999895,0.8775619883819196,4.518814643308774e-05,0.02497993712567771,0.09995276493363346,0.0,-0.000257462704768507,0.00013028169332670106,4.383104446774311e-05,0.0,0.005990195182181233,0.04495761235929318,-0.018989741943496476,-0.05499515257434028,-0.06234590397292919,1.322211081257582,-1.7046775541617718e-05,-0.08608308140229978,0.2434598668300402,0.2434598668300402,0.16000000000000322,0.8820972841811608,-2.2539435520837665e-05,0.024927998900227198,0.09993464872129601,0.0,0.00021979512450674812,-7.834950636228608e-05,-5.451564766077721e-05,0.0,0.006608863758134558,0.04797702024450523,-0.01831913514209264,-0.05195762847679078,-0.05837336403830095,1.2946629754948429,1.3002848152458766e-05,-0.08127228296591675,0.23559741045380592,0.23559741045380592,0.16000000000000322,0.8900913855624191,1.6834306078969887e-05,7.834346787619073e-05,2.5714832130291354e-05
