topic,bag_stamp,header_stamp,robot_id,command_seq,mode,active,target_speed_ratio_left,target_speed_ratio_right,target_accel_ratio_left,target_accel_ratio_right,target_decel_ratio_left,target_decel_ratio_right,ramp_down_time,ramp_up_time,experiment_id
/agv2/derating_command,1789708202.8365557,1789708202.8364952,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708202.9365497,1789708202.9364643,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.0865242,1789708203.086455,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.1365948,1789708203.136494,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.236641,1789708203.236492,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.3366525,1789708203.336494,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.4365656,1789708203.4364953,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.5366187,1789708203.5364933,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.636505,1789708203.6364498,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.7365692,1789708203.7364907,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.8865201,1789708203.886455,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708203.9366035,1789708203.9364972,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708204.0367045,1789708204.0364618,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
/agv2/derating_command,1789708204.1365292,1789708204.1364658,2,1789708199,0,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,m2b_circle_r0p7_cw_smooth_exit_0p10_derating_0p85_window1p5_observation_range0p80_startup_v2_pilot
