topic,bag_stamp,header_stamp,frame_id,robot_localization_source_1,robot_localization_source_2,robot_localization_source_3,robot_pose_valid_1,robot_pose_valid_2,robot_pose_valid_3,robot_pose_stamp_1,robot_pose_stamp_2,robot_pose_stamp_3,robot_pose_x_1,robot_pose_x_2,robot_pose_x_3,robot_pose_y_1,robot_pose_y_2,robot_pose_y_3,robot_pose_yaw_1,robot_pose_yaw_2,robot_pose_yaw_3,support_pose_valid_1,support_pose_valid_2,support_pose_valid_3,support_pose_x_1,support_pose_x_2,support_pose_x_3,support_pose_y_1,support_pose_y_2,support_pose_y_3,support_pose_yaw_1,support_pose_yaw_2,support_pose_yaw_3,path_state_valid_1,path_state_valid_2,path_state_valid_3,s_actual_1,s_actual_2,s_actual_3,s_dot_actual_1,s_dot_actual_2,s_dot_actual_3,load_localization_source,load_pose_valid,load_pose_stamp,load_pose_x,load_pose_y,load_pose_yaw,load_path_state_valid,load_s_actual,load_s_dot_actual
/multi_agv/cooperative_state,1789391696.401973,1789391696.4011433,world,1,1,1,True,True,True,1789391696.3908074,1789391696.3924537,1789391696.3908122,0.19258882146230802,-0.18409804773876595,-0.18412726009662697,-2.347237437902107e-11,0.15000000000120323,-0.14999999999880598,-2.613641170157166e-08,1.243601666089944e-09,1.2433902796260554e-09,True,True,True,0.17475882146230803,-0.08501804773876595,-0.08504726009662697,4.4253984626000156e-10,0.15000000012441927,-0.14999999987561086,-2.613641170157166e-08,1.243601666089944e-09,1.2433902796260554e-09,True,True,True,0.001553740705420323,0.0015844926396779552,0.0015552802818169413,0.016915047638269145,0.01706402576566956,0.016913862449796223,1,True,1789391696.3908074,0.001564504542305075,2.3044941880513468e-10,-4.868816367488912e-05,True,0.001564504542305075,0.016962980808729242
/multi_agv/cooperative_state,1789391696.4116967,1789391696.4111416,world,1,1,1,True,True,True,1789391696.403001,1789391696.4046075,1789391696.402865,0.1929213495544261,-0.18375334486140638,-0.18379856783139728,-3.281849137912364e-11,0.15000000000165634,-0.14999999999837396,-3.0046157561969267e-08,1.3853886926540326e-09,1.3828231892887288e-09,True,True,True,0.17509134955442612,-0.08467334486140637,-0.08471856783139728,5.029044979507882e-10,0.15000000013892065,-0.14999999986136384,-3.0046157561969267e-08,1.3853886926540326e-09,1.3828231892887288e-09,True,True,True,0.0018862687975384185,0.0019291955170375281,0.0018839725470466274,0.018986143799975933,0.01932353815699988,0.018985307445730727,1,True,1789391696.402865,0.0018998122872075271,2.601537688949006e-10,-7.537386261609093e-05,True,0.0018998122872075271,0.01907223354642528
/multi_agv/cooperative_state,1789391696.4221358,1789391696.4211805,world,1,1,1,True,True,True,1789391696.410809,1789391696.4124937,1789391696.4108145,0.1931627305812484,-0.1835086478312982,-0.1835528235118479,-4.03984582989735e-11,0.15000000000200645,-0.1499999999980229,-3.275883608822028e-08,1.4761778466265696e-09,1.4742953524660152e-09,True,True,True,0.1753327305812484,-0.08442864783129819,-0.0844728235118479,5.436915891539939e-10,0.15000000014826614,-0.14999999985194973,-3.275883608822028e-08,1.4761778466265696e-09,1.4742953524660152e-09,True,True,True,0.002127649824360699,0.0021738925471457074,0.002129716866596004,0.021371854404998298,0.021664554939366913,0.02137081130741221,1,True,1789391696.410809,0.0021437530793674735,2.800026691961211e-10,-7.362879562713855e-05,True,0.0021437530793674735,0.02150190889450402
/multi_agv/cooperative_state,1789391696.431912,1789391696.4311411,world,1,1,1,True,True,True,1789391696.4228418,1789391696.4244845,1789391696.422857,0.19355836953048,-0.18310121368082893,-0.1831450045879928,-5.4232270832608186e-11,0.15000000000263683,-0.1499999999973926,-3.715770224843595e-08,1.6182131190589644e-09,1.6168066885313692e-09,True,True,True,0.17572836953048002,-0.08402121368082893,-0.08406500458799279,6.082895602570047e-10,0.15000000016296938,-0.1499999998371994,-3.715770224843595e-08,1.6182131190589644e-09,1.6168066885313692e-09,True,True,True,0.0025232887735923085,0.0025813266976149806,0.0025375357904511148,0.02367352040730497,0.02412743138533074,0.023869630806377943,1,True,1789391696.4228418,0.0025473837538861344,3.1135318397294405e-10,-7.298906480519172e-05,True,0.0025473837538861344,0.023904951200561905
/multi_agv/cooperative_state,1789391696.4424002,1789391696.4413052,world,1,1,1,True,True,True,1789391696.4308047,1789391696.4324803,1789391696.430812,0.1938497788344276,-0.18280649209399769,-0.18285379394878443,-6.552248575588119e-11,0.15000000000312755,-0.1499999999969082,-4.032928790920209e-08,1.7119257122999443e-09,1.7100769689193385e-09,True,True,True,0.17601977883442763,-0.08372649209399768,-0.08377379394878443,6.535487176651918e-10,0.15000000017274515,-0.14999999982747375,-4.032928790920208e-08,1.7119257122999443e-09,1.7100769689193385e-09,True,True,True,0.002814698077539918,0.0028760482844462196,0.002828746429659477,0.02625795288193652,0.02667381456905484,0.026417304818183066,1,True,1789391696.4308047,0.0028398309305485425,3.329400366484902e-10,-7.884121907522117e-05,True,0.0028398309305485425,0.0264766500829662
/multi_agv/cooperative_state,1789391696.4519942,1789391696.451177,world,1,1,1,True,True,True,1789391696.4428391,1789391696.444481,1789391696.4428499,0.19432902565134405,-0.18232572348441314,-0.18237451590227877,-8.609791695467237e-11,0.1500000000039856,-0.1499999999960536,-4.553641019811038e-08,1.8576509219769832e-09,1.856111264686433e-09,True,True,True,0.17649902565134407,-0.08324572348441314,-0.08329451590227877,7.258162768776354e-10,0.15000000018804166,-0.1499999998121501,-4.553641019811038e-08,1.8576509219769832e-09,1.856111264686433e-09,True,True,True,0.0032939448944563662,0.0033568168940307647,0.003308024476165141,0.02897096663703319,0.02935148739353169,0.029096600890734653,1,True,1789391696.4428391,0.0033195954215507564,3.6723594535395254e-10,-8.13256830290899e-05,True,0.0033195954215507564,0.029152158923470464
/multi_agv/cooperative_state,1789391696.4623294,1789391696.4612985,world,1,1,1,True,True,True,1789391696.4508076,1789391696.4524837,1789391696.4508116,0.19466902710692388,-0.1819813691936568,-0.1820333048906884,-1.022062167708479e-10,0.15000000000464192,-0.1499999999954039,-4.9217888875574545e-08,1.954050699026766e-09,1.951980355130445e-09,True,True,True,0.1768390271069239,-0.08290136919365679,-0.08295330489068839,7.753487418806458e-10,0.15000000019824927,-0.14999999980200168,-4.9217888875574545e-08,1.954050699026766e-09,1.951980355130445e-09,True,True,True,0.003633946350036187,0.003701171184787113,0.0036492354877555163,0.03171049041299717,0.03208708027493091,0.031848537290161884,1,True,1789391696.4508076,0.0036614510075262765,3.9053210665009273e-10,-8.656525717061587e-05,True,0.0036614510075262765,0.03190917549284877
/multi_agv/cooperative_state,1789391696.472458,1789391696.4711814,world,1,1,1,True,True,True,1789391696.4628623,1789391696.4644744,1789391696.4628623,0.1952241066358657,-0.1814250953192617,-0.18147676489865625,-1.3121111841839878e-10,0.15000000000577063,-0.14999999999427563,-5.528930380194197e-08,2.1041040021430035e-09,2.1025869934021557e-09,True,True,True,0.17739410663586574,-0.08234509531926171,-0.08239676489865624,8.545971683702259e-10,0.15000000021424525,-0.1499999997859513,-5.528930380194197e-08,2.1041040021430035e-09,2.1025869934021557e-09,True,True,True,0.0041890258789780335,0.004257445059182194,0.004205775479787658,0.03457775246393506,0.03494802000095117,0.0347155262342361,1,True,1789391696.4628623,0.004217415472649302,4.2763037555141247e-10,-8.612179089688762e-05,True,0.004217415472649302,0.034754484980870366
/multi_agv/cooperative_state,1789391696.4817977,1789391696.4811938,world,1,1,1,True,True,True,1789391696.4708045,1789391696.4725127,1789391696.4708107,0.1956149479619103,-0.18102719627197741,-0.1810847641081288,-1.5365991712905544e-10,0.15000000000662767,-0.14999999999343216,-5.958492899083012e-08,2.203650151244574e-09,2.2009079003737497e-09,True,True,True,0.17778494796191036,-0.08194719627197741,-0.08200476410812879,9.087393667774448e-10,0.15000000022496532,-0.1499999997753662,-5.958492899083012e-08,2.203650151244574e-09,2.2009079003737497e-09,True,True,True,0.004579867205022653,0.004655344106466496,0.004597776270315118,0.037504344965830154,0.03785851723534932,0.037636062979784876,1,True,1789391696.4708045,0.004610995860601421,4.527794898236236e-10,-9.595369951385414e-05,True,0.004610995860601421,0.03770697628338923
/multi_agv/cooperative_state,1789391696.491618,1789391696.4911401,world,1,1,1,True,True,True,1789391696.482843,1789391696.4845479,1789391696.482843,0.1962345422856901,-0.1803906422638396,-0.1804641289045134,-1.9270773568556348e-10,0.1500000000080797,-0.14999999999201852,-6.64882664480615e-08,2.358568007565509e-09,2.353634176444075e-09,True,True,True,0.17840454228569014,-0.0813106422638396,-0.08138412890451341,9.927780550833718e-10,0.15000000024176663,-0.14999999975882045,-6.64882664480615e-08,2.358568007565509e-09,2.353634176444075e-09,True,True,True,0.005199461528802438,0.005291898114604303,0.0052184114739304965,0.040297049143625835,0.040865078106306504,0.040425028151734835,1,True,1789391696.482843,0.005236590372445745,4.91908079080228e-10,-0.00012248941658534861,True,0.005236590372445745,0.040564192251498654
