topic,bag_stamp,header_stamp,serial_receive_stamp,robot_id,feedback_seq,command_seq_applied,packet_seq,wheel_left_raw,wheel_right_raw,wheel_left_applied,wheel_right_applied,wheel_left_firmware_target_nominal,wheel_right_firmware_target_nominal,wheel_left_firmware_feedback_nominal,wheel_right_firmware_feedback_nominal,wheel_left_actual,wheel_right_actual,linear_velocity_actual,angular_velocity_actual,battery_voltage,control_loop_overrun,speed_limit_active_left,speed_limit_active_right,accel_limit_active_left,accel_limit_active_right,decel_limit_active_left,decel_limit_active_right
/agv1/chassis_feedback,1789378592.4118037,1789378592.4116404,1789378592.4116392,1,173,157,428,0.037944420182856736,0.03794436813127369,0.037944420182856736,0.03794436813127369,0.035193978930427916,0.03495722715702447,0.03420243228070861,0.033990938846194946,0.03678910576588291,0.03678905729618185,0.03678908153103238,-3.5775131956999055e-07,0.0,False,False,False,True,True,False,False
/agv2/chassis_feedback,1789378592.4131565,1789378592.4129472,1789378592.4129424,2,170,157,424,0.03794274056435401,0.03794274204351125,0.03794274056435401,0.03794274204351125,0.03444798665370458,0.03422739925275018,0.03346193885333856,0.033387187960738036,0.03678970193621394,0.036789703563149416,0.03678970274968168,1.1680665727210225e-08,0.0,False,False,False,True,True,False,False
/agv3/chassis_feedback,1789378592.4176683,1789378592.4175403,1789378592.4175396,3,168,158,419,0.04040287652725888,0.04040287811296822,0.04040287652725888,0.04040287811296822,0.03688420164652834,0.036696637944470534,0.033926166162216616,0.03367611973570955,0.03703209700541019,0.03703209846209841,0.0370320977337543,1.064808437128885e-08,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789378592.4197636,1789378592.4196475,1789378592.4196463,1,174,158,430,0.038998493926727246,0.03899843792446324,0.038998493926727246,0.03899843792446324,0.03617164702903432,0.03592831612264926,0.03527651555310275,0.03505837853696487,0.037944420182856736,0.03794436813127369,0.037944394157065214,-3.841889286095076e-07,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789378592.421147,1789378592.420941,1789378592.4209387,2,171,158,426,0.038996811561339155,0.03899681321932807,0.038996811561339155,0.03899681321932807,0.03540497139165769,0.035178256071008725,0.035469407341303036,0.03539017188840979,0.03899681156133916,0.03899681321932806,0.03899681239033361,1.1903615456808435e-08,0.0,False,False,False,False,False,False,False
/agv3/chassis_feedback,1789378592.425938,1789378592.4256072,1789378592.4256067,3,169,158,421,0.04040287652725888,0.04040287811296822,0.04040287652725888,0.04040287811296822,0.03688420164652834,0.036696637944470534,0.037014233957505895,0.03674142750490241,0.04040287652725888,0.04040287811296823,0.04040287732011355,1.1591201665389502e-08,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789378592.4317536,1789378592.431642,1789378592.4316404,1,175,159,433,0.04450380272223492,0.044503742087361006,0.04450380272223492,0.044503742087361006,0.041277897719409457,0.04100021948193363,0.039959923859097954,0.03971282910078777,0.04298202692672724,0.042981970924463236,0.04298199892559524,-4.1334861593637643e-07,0.0,False,False,False,True,True,False,False
/agv2/chassis_feedback,1789378592.4330807,1789378592.432945,1789378592.4329407,2,172,159,429,0.044605562913256326,0.04460556440947291,0.044605562913256326,0.04460556440947291,0.04049712311399019,0.04023779989823866,0.039125914614529925,0.039038510699480736,0.04301695556133915,0.04301695721932806,0.04301695639033361,1.1903615456808435e-08,0.0,False,False,False,True,True,False,False
/agv3/chassis_feedback,1789378592.437948,1789378592.4376132,1789378592.4376128,3,170,160,424,0.04710800158280977,0.04710800320816885,0.04710800158280977,0.04710800320816885,0.04300537929206732,0.04278668794791284,0.039923185327502136,0.03962893878341494,0.04357814156612714,0.0435781430429984,0.04357814230456277,1.0795618218052491e-08,0.0,False,False,False,False,False,False,False
/agv1/chassis_feedback,1789378592.4398003,1789378592.4396415,1789378592.4396405,1,176,160,435,0.045569261006040536,0.04556919567573021,0.045569261006040536,0.04556919567573021,0.04226612513758585,0.041981796062285,0.041374702297136016,0.04111885671708468,0.04450380272223492,0.044503742087361006,0.04450377240479796,-4.4754157093758985e-07,0.0,False,False,False,False,False,False,False
/agv2/chassis_feedback,1789378592.4412143,1789378592.440938,1789378592.4409359,2,173,160,431,0.045671004881661266,0.04567100657815489,0.045671004881661266,0.04567100657815489,0.041464431488714995,0.041198914264890786,0.04153989546776819,0.04144709887003033,0.045671004881661266,0.0456710065781549,0.04567100572990808,1.2180061998115789e-08,0.0,False,False,False,False,False,False,False
