topic,bag_stamp,header_stamp,frame_id,child_frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_x,linear_y,angular_z
/agv1/odom,1789378592.4118192,1789378592.4116404,agv1/odom,agv1/base_link,0.0025092547215295998,-4.955228366753621e-11,0.05969,0.0,0.0,-1.718400066685888e-08,0.9999999999999999,0.03678908153103238,0.0,-3.5775131956999055e-07
/agv2/odom,1789378592.4131632,1789378592.4129472,agv2/odom,agv2/base_link,0.0025092770262654055,2.3201126783477258e-12,0.05969,0.0,0.0,7.355265285724499e-10,1.0,0.03678970274968168,0.0,1.1680665727210225e-08
/agv3/odom,1789378592.4176772,1789378592.4175403,agv3/odom,agv3/base_link,0.0027208794559035426,2.6997585103886685e-12,0.05969,0.0,0.0,7.714189287355566e-10,1.0,0.0370320977337543,0.0,1.064808437128885e-08
/agv1/odom,1789378592.4197907,1789378592.4196475,agv1/odom,agv1/base_link,0.00281307055277398,-6.046111822425518e-11,0.05969,0.0,0.0,-1.872207611164356e-08,0.9999999999999998,0.037944394157065214,0.0,-3.841889286095076e-07
/agv2/odom,1789378592.421164,1789378592.420941,agv2/odom,agv2/base_link,0.00281690832332456,2.786209616143292e-12,0.05969,0.0,0.0,7.80563835789394e-10,1.0,0.03899681239033361,0.0,1.1903615456808435e-08
/agv3/odom,1789378592.425945,1789378592.4256072,agv3/odom,agv3/base_link,0.0030468068006549954,3.21784951369866e-12,0.05969,0.0,0.0,8.181715305255466e-10,1.0,0.04040287732011355,0.0,1.1591201665389502e-08
/agv1/odom,1789378592.4318197,1789378592.431642,agv1/odom,agv1/base_link,0.0032968329171503196,-7.980076140666846e-11,0.05969,0.0,0.0,-2.1200941002774698e-08,0.9999999999999998,0.04298199892559524,0.0,-4.1334861593637643e-07
/agv2/odom,1789378592.4331045,1789378592.432945,agv2/odom,agv2/base_link,0.003300980161304142,3.5772515590602276e-12,0.05969,0.0,0.0,8.519982497290357e-10,1.0,0.04301695639033361,0.0,1.1903615456808435e-08
/agv3/odom,1789378592.4379606,1789378592.4376132,agv3/odom,agv3/base_link,0.0035573027963703274,4.088195928744582e-12,0.05969,0.0,0.0,8.845690846470688e-10,1.0,0.04357814230456277,0.0,1.0795618218052491e-08
/agv1/odom,1789378592.439811,1789378592.4396415,agv1/odom,agv1/base_link,0.0036528850367484986,-9.55354731457776e-11,0.05969,0.0,0.0,-2.299121759641309e-08,0.9999999999999998,0.04450377240479796,0.0,-4.4754157093758985e-07
/agv2/odom,1789378592.44122,1789378592.440938,agv2/odom,agv2/base_link,0.0036618872344232876,4.208354782140571e-12,0.05969,0.0,0.0,8.978269239179326e-10,1.0,0.04567100572990808,0.0,1.2180061998115789e-08
/agv3/odom,1789378592.445842,1789378592.4456024,agv3/odom,agv3/base_link,0.0039336477795638486,4.7718630710474576e-12,0.05969,0.0,0.0,9.320277882807204e-10,1.0,0.04710800239548931,0.0,1.188103293609733e-08
/agv1/odom,1789378592.45194,1789378592.451643,agv1/odom,agv1/base_link,0.004215780444829712,-1.230783907093174e-10,0.05969,0.0,0.0,-2.5884653975793978e-08,0.9999999999999997,0.04957748134088537,0.0,-4.821982437998399e-07
