stamp,evaluation_active,agv1_wheel_left_raw,agv1_wheel_left_applied,agv1_wheel_left_actual,agv1_wheel_left_firmware_target_nominal,agv1_wheel_left_firmware_feedback_nominal,agv1_wheel_left_reported_limit,agv1_wheel_left_speed_limit_active,agv1_wheel_left_accel_limit_active,agv1_wheel_left_decel_limit_active,agv1_wheel_right_raw,agv1_wheel_right_applied,agv1_wheel_right_actual,agv1_wheel_right_firmware_target_nominal,agv1_wheel_right_firmware_feedback_nominal,agv1_wheel_right_reported_limit,agv1_wheel_right_speed_limit_active,agv1_wheel_right_accel_limit_active,agv1_wheel_right_decel_limit_active,agv1_wheel_left_pre_limit,agv1_wheel_right_pre_limit,agv1_wheel_left_fleet_scaled,agv1_wheel_right_fleet_scaled,agv2_wheel_left_raw,agv2_wheel_left_applied,agv2_wheel_left_actual,agv2_wheel_left_firmware_target_nominal,agv2_wheel_left_firmware_feedback_nominal,agv2_wheel_left_reported_limit,agv2_wheel_left_speed_limit_active,agv2_wheel_left_accel_limit_active,agv2_wheel_left_decel_limit_active,agv2_wheel_right_raw,agv2_wheel_right_applied,agv2_wheel_right_actual,agv2_wheel_right_firmware_target_nominal,agv2_wheel_right_firmware_feedback_nominal,agv2_wheel_right_reported_limit,agv2_wheel_right_speed_limit_active,agv2_wheel_right_accel_limit_active,agv2_wheel_right_decel_limit_active,agv2_wheel_left_pre_limit,agv2_wheel_right_pre_limit,agv2_wheel_left_fleet_scaled,agv2_wheel_right_fleet_scaled,agv3_wheel_left_raw,agv3_wheel_left_applied,agv3_wheel_left_actual,agv3_wheel_left_firmware_target_nominal,agv3_wheel_left_firmware_feedback_nominal,agv3_wheel_left_reported_limit,agv3_wheel_left_speed_limit_active,agv3_wheel_left_accel_limit_active,agv3_wheel_left_decel_limit_active,agv3_wheel_right_raw,agv3_wheel_right_applied,agv3_wheel_right_actual,agv3_wheel_right_firmware_target_nominal,agv3_wheel_right_firmware_feedback_nominal,agv3_wheel_right_reported_limit,agv3_wheel_right_speed_limit_active,agv3_wheel_right_accel_limit_active,agv3_wheel_right_decel_limit_active,agv3_wheel_left_pre_limit,agv3_wheel_right_pre_limit,agv3_wheel_left_fleet_scaled,agv3_wheel_right_fleet_scaled
1789645475.5894585,True,0.11014561795032637,0.11014561795032637,0.118452250704345,0.10216159684986127,0.11012377166748047,0.16,False,False,False,0.09382389342448372,0.09382389342448372,0.10848420236202942,0.08643768012815864,0.10023306274414062,0.16,False,False,False,0.1101884481134619,0.09382182427433658,0.1101884481134619,0.09382182427433658,0.1340982183130234,0.1340982183130234,0.1352507391653142,0.12174696835347694,0.12301681518554687,0.16,False,False,False,0.11444391066015587,0.11444391066015587,0.147546221574914,0.10323759462927666,0.13390032958984374,0.16,False,False,False,0.134603384902754,0.11476264131681051,0.134603384902754,0.11476264131681051,0.0899907244742717,0.0899907244742717,0.08360981673481842,0.08215345819713603,0.07659735107421875,0.16,False,False,False,0.07280767090882082,0.07280767090882082,0.07050294836506858,0.06612887159797617,0.0641137237548828,0.16,False,False,False,0.08971097856991583,0.07274682987898565,0.08971097856991583,0.07274682987898565
1789645475.5994554,True,0.1101884481134619,0.1101884481134619,0.12300428768722621,0.10220132242352176,0.11435575103759765,0.16,False,False,False,0.09382182427433658,0.09382182427433658,0.10999450516129304,0.08643577387025325,0.10162849426269531,0.16,False,False,False,0.11034080862184927,0.09343908617406006,0.11034080862184927,0.09343908617406006,0.1340982183130234,0.1340982183130234,0.1352507391653142,0.12174696835347694,0.12301681518554687,0.16,False,False,False,0.11444391066015587,0.11444391066015587,0.147546221574914,0.10323759462927666,0.13390032958984374,0.16,False,False,False,0.13519347580923496,0.11504870814434315,0.13519347580923496,0.11504870814434315,0.0899907244742717,0.0899907244742717,0.0732677679324837,0.08215345819713603,0.06712270355224609,0.16,False,False,False,0.07280767090882082,0.07280767090882082,0.04844441761717278,0.06612887159797617,0.044054214477539065,0.16,False,False,False,0.09057933711310302,0.07298153988305796,0.09057933711310302,0.07298153988305796
1789645475.6094894,True,0.11034080862184927,0.11034080862184927,0.0931817547771059,0.10234263892002304,0.08663006591796875,0.16,False,False,False,0.09343908617406006,0.09343908617406006,0.07390566527613465,0.08608316653029897,0.06828451538085938,0.16,False,False,False,0.11008642434102386,0.09316502673448121,0.11008642434102386,0.09316502673448121,0.13519347580923496,0.13519347580923496,0.12233242914498894,0.12274134606712347,0.11126701354980469,0.16,False,False,False,0.11504870814434315,0.11504870814434315,0.0935578710828768,0.10378317051134123,0.08490512084960937,0.16,False,False,False,0.13493863036679754,0.11482975563542627,0.13493863036679754,0.11482975563542627,0.09057933711310302,0.09057933711310302,0.09938767019202506,0.08269080873077196,0.09105189514160156,0.16,False,False,False,0.07298153988305796,0.07298153988305796,0.07751218066149067,0.06628679120903748,0.07048775482177734,0.16,False,False,False,0.09099156111404472,0.07355462735405507,0.09099156111404472,0.07355462735405507
1789645475.6194901,True,0.11008642434102386,0.11008642434102386,0.09630172693553495,0.10210669395165992,0.08953067016601562,0.16,False,False,False,0.09316502673448121,0.09316502673448121,0.06708001765863077,0.0858306822077049,0.061978015899658206,0.16,False,False,False,0.11043038356722086,0.0936745916160399,0.11043038356722086,0.0936745916160399,0.13519347580923496,0.13519347580923496,0.12233242914498894,0.12274134606712347,0.11126701354980469,0.16,False,False,False,0.11504870814434315,0.11504870814434315,0.0935578710828768,0.10378317051134123,0.08490512084960937,0.16,False,False,False,0.13488747389331096,0.11496671674335858,0.13488747389331096,0.11496671674335858,0.09057933711310302,0.09057933711310302,0.11002258496746925,0.08269080873077196,0.10079484558105468,0.16,False,False,False,0.07298153988305796,0.07298153988305796,0.09204557977598886,0.06628679120903748,0.08370408630371094,0.16,False,False,False,0.09077289339675208,0.07354777600931554,0.09077289339675208,0.07354777600931554
1789645475.6294582,True,0.11043038356722086,0.11043038356722086,0.10583117107831508,0.10242572093115695,0.09839009094238281,0.16,False,False,False,0.0936745916160399,0.0936745916160399,0.08497501504539277,0.08630013198887566,0.07851194763183594,0.16,False,False,False,0.11046099472530183,0.09394568085001534,0.11046099472530183,0.09394568085001534,0.13488747389331096,0.13488747389331096,0.14909436077210117,0.12246352876244355,0.1356082305908203,0.16,False,False,False,0.11496671674335858,0.11496671674335858,0.14482431555974606,0.10370920768562945,0.13143016052246093,0.16,False,False,False,0.13545570681814978,0.115346170115663,0.13545570681814978,0.115346170115663,0.09077289339675208,0.09077289339675208,0.09934311612269486,0.08286750825342223,0.09101107788085938,0.16,False,False,False,0.07354777600931554,0.07354777600931554,0.07816566266331795,0.0668010853159636,0.07108201599121093,0.16,False,False,False,0.08963643905444307,0.07302192797017654,0.08963643905444307,0.07302192797017654
1789645475.6394603,True,0.11046099472530183,0.11046099472530183,0.12575385608924303,0.10245411320721087,0.11691199493408203,0.16,False,False,False,0.09394568085001534,0.09394568085001534,0.10473438199164094,0.08654987993300055,0.09676844787597656,0.16,False,False,False,0.11060208635048326,0.09413303477476868,0.11060208635048326,0.09413303477476868,0.13488747389331096,0.13488747389331096,0.14909436077210117,0.12246352876244355,0.1356082305908203,0.16,False,False,False,0.11496671674335858,0.11496671674335858,0.14482431555974606,0.10370920768562945,0.13143016052246093,0.16,False,False,False,0.1352202944474745,0.11508506464136885,0.1352202944474745,0.11508506464136885,0.09077289339675208,0.09077289339675208,0.08240545778184699,0.08286750825342223,0.07549400329589843,0.16,False,False,False,0.07354777600931554,0.07354777600931554,0.0536875093241729,0.0668010853159636,0.04882215881347656,0.16,False,False,False,0.08946932558607645,0.07303427989724207,0.08946932558607645,0.07303427989724207
1789645475.6494844,True,0.11060208635048326,0.11060208635048326,0.10738626614727566,0.10258497765737155,0.09983584594726562,0.16,False,False,False,0.09413303477476868,0.09413303477476868,0.10733815187865693,0.08672248456522696,0.09917417907714844,0.16,False,False,False,0.11033162735622336,0.09389508731754757,0.11033162735622336,0.09389508731754757,0.1352202944474745,0.1352202944474745,0.12029911246317128,0.12276569454797658,0.10941761779785156,0.16,False,False,False,0.11508506464136885,0.11508506464136885,0.10447205257969736,0.10381596699024892,0.09480989837646485,0.16,False,False,False,0.13481752954870274,0.11473442611085008,0.13481752954870274,0.11473442611085008,0.08963643905444307,0.08963643905444307,0.0777620826434325,0.08183002739248607,0.07124007415771484,0.16,False,False,False,0.07302192797017654,0.07302192797017654,0.07904273851848771,0.06632347441279628,0.07187960815429688,0.16,False,False,False,0.08972304375454945,0.07343744116855913,0.08972304375454945,0.07343744116855913
1789645475.6594875,True,0.11033162735622336,0.11033162735622336,0.09255482738054634,0.1023341231681039,0.0860472183227539,0.16,False,False,False,0.09389508731754757,0.09389508731754757,0.07714017167242311,0.08650326933716632,0.07127301025390625,0.16,False,False,False,0.11033162735622336,0.09389508731754757,0.11033162735622336,0.09389508731754757,0.1352202944474745,0.1352202944474745,0.12029911246317128,0.12276569454797658,0.10941761779785156,0.16,False,False,False,0.11508506464136885,0.11508506464136885,0.10447205257969736,0.10381596699024892,0.09480989837646485,0.16,False,False,False,0.13481752954870274,0.11473442611085008,0.13481752954870274,0.11473442611085008,0.08946932558607645,0.08946932558607645,0.09869914742753642,0.08167746778795082,0.0904211196899414,0.16,False,False,False,0.07303427989724207,0.07303427989724207,0.0786982071620147,0.06633469327186302,0.07156629943847656,0.16,False,False,False,0.08972304375454945,0.07343744116855913,0.08972304375454945,0.07343744116855913
1789645475.6694896,True,0.10981624862997097,0.10981624862997097,0.09852145777709005,0.10185610221151771,0.09159432983398437,0.16,False,False,False,0.0934169724000933,0.0934169724000933,0.0740387917686264,0.08606279364604957,0.06840751647949218,0.16,False,False,False,0.11009876311413676,0.09375617668872312,0.11009876311413676,0.09375617668872312,0.13444671983546067,0.13444671983546067,0.14665364930883387,0.12206337079608261,0.13338829040527345,0.16,False,False,False,0.11458750828579742,0.11458750828579742,0.1441198667453563,0.10336713121519193,0.13079086303710938,0.16,False,False,False,0.13468071771402934,0.11494714925930744,0.13468071771402934,0.11494714925930744,0.08919487453628566,0.08919487453628566,0.11419097208750652,0.08142691860104441,0.1046136245727539,0.16,False,False,False,0.07353205221601561,0.07353205221601561,0.060971269333216366,0.06678680389897573,0.055445838928222656,0.16,False,False,False,0.08883955634075491,0.07338600491161798,0.08883955634075491,0.07338600491161798
1789645475.6794853,True,0.11009876311413676,0.11009876311413676,0.11166933859815557,0.102118138335811,0.10381777191162109,0.16,False,False,False,0.09375617668872312,0.09375617668872312,0.08145532960527009,0.08637529433994033,0.07525996398925781,0.16,False,False,False,0.11051766585861271,0.09402768997628204,0.11051766585861271,0.09402768997628204,0.13444671983546067,0.13444671983546067,0.14665364930883387,0.12206337079608261,0.13338829040527345,0.16,False,False,False,0.11458750828579742,0.11458750828579742,0.1441198667453563,0.10336713121519193,0.13079086303710938,0.16,False,False,False,0.13430488043371797,0.1147012672649475,0.13430488043371797,0.1147012672649475,0.08919487453628566,0.08919487453628566,0.09354694816164401,0.08142691860104441,0.08570104217529297,0.16,False,False,False,0.07353205221601561,0.07353205221601561,0.05649501703862612,0.06678680389897573,0.05137524032592773,0.16,False,False,False,0.08864406739664894,0.07326332102824636,0.08864406739664894,0.07326332102824636
