stamp,localization_valid,load_s_actual,load_s_dot_actual,load_pose_x,load_pose_y,load_pose_yaw,equivalent_load_pose_x,equivalent_load_pose_y,equivalent_load_pose_yaw,measured_load_source_frame,measured_load_alignment_status,measured_load_pose_x,measured_load_pose_y,measured_load_pose_yaw,measured_load_pose_valid,load_x_reference,load_y_reference,load_yaw_reference,load_s_reference,load_velocity_reference,evaluation_active,agv1_robot_pose_x,agv1_robot_pose_y,agv1_robot_pose_yaw,agv1_support_pose_x,agv1_support_pose_y,agv1_support_pose_yaw,agv1_s_actual,agv1_s_initial_offset,agv1_s_tracking_actual,agv1_s_origin_aligned_actual,agv1_s_dot_actual,agv1_s_execute_reference,agv1_s_dot_execute_reference,agv1_support_reference_x,agv1_support_reference_y,agv1_support_reference_yaw,agv2_robot_pose_x,agv2_robot_pose_y,agv2_robot_pose_yaw,agv2_support_pose_x,agv2_support_pose_y,agv2_support_pose_yaw,agv2_s_actual,agv2_s_initial_offset,agv2_s_tracking_actual,agv2_s_origin_aligned_actual,agv2_s_dot_actual,agv2_s_execute_reference,agv2_s_dot_execute_reference,agv2_support_reference_x,agv2_support_reference_y,agv2_support_reference_yaw,agv3_robot_pose_x,agv3_robot_pose_y,agv3_robot_pose_yaw,agv3_support_pose_x,agv3_support_pose_y,agv3_support_pose_yaw,agv3_s_actual,agv3_s_initial_offset,agv3_s_tracking_actual,agv3_s_origin_aligned_actual,agv3_s_dot_actual,agv3_s_execute_reference,agv3_s_dot_execute_reference,agv3_support_reference_x,agv3_support_reference_y,agv3_support_reference_yaw
1789388766.0833147,True,0.0006950671867034056,0.008742529772582476,0.0006950671867034056,1.3761525253071684e-10,0.00010699843531031717,nan,nan,nan,,missing_or_inconsistent_frame,nan,nan,nan,False,nan,nan,nan,nan,nan,True,0.19176025568569247,-5.843748512130055e-12,-1.494219992181911e-08,0.17393025568569248,2.6057567609390465e-10,-1.494219992181911e-08,0.000725174928804771,nan,0.0005990124830590832,nan,0.00930238907023721,0.010002418637196864,0.011029692640257523,nan,nan,nan,-0.18503462927690437,0.15000000000026353,7.45140393831889e-10,-0.08595462927690437,0.15000000007409203,7.45140393831889e-10,0.0006479111015395477,nan,0.0005338047290470635,nan,0.00839112958074455,0.010002418637196864,0.010274869082688855,nan,nan,nan,-0.184970424848678,-0.14999999999968863,7.858971251550884e-10,-0.08589042484867801,-0.14999999992182195,7.858971251550884e-10,0.0007121155297658908,nan,0.0005363205628620834,nan,0.00883993451735222,0.010002418637196864,0.010689756436911564,nan,nan,nan
1789388766.0933492,True,0.0008783662991998138,0.011210736834603125,0.0008783662991998138,1.628049824582048e-10,-3.012473508481995e-06,0.0008783662991998133,1.6280498245820656e-10,-3.012473508501265e-06,,missing_or_inconsistent_frame,nan,nan,nan,False,0.011007758135860319,0.0,0.0,0.011007758135860319,0.10000041763812094,True,0.19197736082496292,-9.42807385034593e-12,-1.807705851675223e-08,0.17414736082496293,3.1288587950334633e-10,-1.807705851675223e-08,0.0009422800680752384,nan,0.000725174928804771,nan,0.011066281707592494,0.011007758135860319,0.012719637949981894,0.18421283889274803,0.0,0.0,-0.1848352269249121,0.15000000000042635,8.840692622413826e-10,-0.08575522692491211,0.15000000008801992,8.840692622413826e-10,0.0008473134535318038,nan,0.0006479111015395477,nan,0.01006899235691934,0.011007758135860319,0.011817545475050907,-0.07559478224258359,0.15,0.0,-0.1848370350024515,-0.1499999999995774,8.789515781870705e-10,-0.08575703500245149,-0.14999999991249086,8.789515781870705e-10,0.000845505375992415,nan,0.0007121155297658908,nan,0.010390221482315663,0.011007758135860319,0.01226109943507794,-0.07559478224258359,-0.15,0.0
1789388766.1033015,True,0.0010600009965089363,0.012180762750401402,0.0010600009965089363,1.8252305223284802e-10,0.00013427981468565407,0.0010600009965089322,1.825230522323045e-10,0.00013427981468565407,,missing_or_inconsistent_frame,nan,nan,nan,False,0.012003931996244735,0.0,0.0,0.012003931996244735,0.10000041763812094,True,0.19214111242531184,-1.2567511376379646e-11,-2.0266841982419244e-08,0.17431111242531186,3.4879028117015544e-10,-2.0266841982419247e-08,0.0011060316684241669,0.0,0.0009422800680752384,0.0011060316684241669,0.012937252121640923,0.012003931996244735,0.014480601409619437,0.18520901275313245,0.0,0.0,-0.18468584387144296,0.1500000000005656,9.772063158663968e-10,-0.08560584387144296,0.1500000000973872,9.772063158663968e-10,0.0009966965070009489,0.0,0.0008473134535318038,0.0009966965070009489,0.011779717224503215,0.012003931996244735,0.013494298569116993,-0.07459860838219917,0.15,0.0,-0.1846052655643422,-0.14999999999935723,1.016843942380774e-09,-0.0855252655643422,-0.14999999989860832,1.016843942380774e-09,0.0010772748141017114,0.0,0.000845505375992415,0.0010772748141017114,0.012186829349508212,0.012003931996244735,0.013811903387523706,-0.07459860838219917,-0.15,0.0
1789388766.1134574,True,0.0012977023707063848,0.015202345657290357,0.0012977023707063848,2.0906385881769178e-10,7.968670096723844e-06,0.0012977023707063807,2.0906385881765955e-10,7.968670096704574e-06,,missing_or_inconsistent_frame,nan,nan,nan,False,0.012003931996244735,0.0,0.0,0.012003931996244735,0.10000041763812094,True,0.19241714374705182,-1.8643804846114207e-11,-2.375927410369627e-08,0.17458714374705184,4.0498405242279023e-10,-2.375927410369627e-08,0.0013820629901641263,0.0,0.0009422800680752384,0.0013820629901641263,0.014948829570909303,0.012003931996244735,0.014480601409619437,0.18520901275313245,0.0,0.0,-0.18442940933100221,0.15000000000083447,1.1166441105103786e-09,-0.08534940933100221,0.15000000011147158,1.1166441105103786e-09,0.0012531310474416986,0.0,0.0008473134535318038,0.0012531310474416986,0.013698332315127563,0.012003931996244735,0.013494298569116993,-0.07459860838219917,0.15,0.0,-0.18442462730393058,-0.1499999999991652,1.1092162743864264e-09,-0.08534462730393058,-0.14999999988926405,1.1092162743864264e-09,0.0012579130745133285,0.0,0.000845505375992415,0.0012579130745133285,0.014259966698522999,0.012003931996244735,0.013811903387523706,-0.07459860838219917,-0.15,0.0
1789388766.123406,True,0.0015247279321568645,0.016184325445439393,0.0015247279321568645,2.297237862965077e-10,0.00017854920219683698,0.0015247279321568621,2.2972378629609474e-10,0.00017854920219683698,,missing_or_inconsistent_frame,nan,nan,nan,False,0.014003063225652264,0.0,0.0,0.014003063225652264,0.09999968133296722,True,0.19262119116516138,-2.3741547357270843e-11,-2.6206979253373675e-08,0.1747911911651614,4.4352889273038164e-10,-2.6206979253373675e-08,0.0015861104082736965,0.0,0.0013820629901641263,0.0015861104082736965,0.017064270659630343,0.014003063225652264,0.018359360054289862,0.18720814398253996,0.0,0.0,-0.18424207775187124,0.1500000000010526,1.2093996915041316e-09,-0.08516207775187123,0.1500000001208799,1.2093996915041316e-09,0.0014404626265726724,0.0,0.0012531310474416986,0.0014404626265726724,0.0156422947962804,0.014003063225652264,0.017124547851300333,-0.07259947715279164,0.15,0.0,-0.18413492961681968,-0.1499999999988234,1.2473351240771535e-09,-0.08505492961681968,-0.14999999987523743,1.2473351240771535e-09,0.0015476107616242294,0.0,0.0012579130745133285,0.0015476107616242294,0.016240747219174373,0.014003063225652264,0.017680040505848184,-0.07259947715279164,-0.15,0.0
1789388766.1334262,True,0.0018187053888127174,0.019712319205100456,0.0018187053888127174,2.581032517349445e-10,1.9657416421663623e-05,0.0018187053888127133,2.5810325173486494e-10,1.9657416421663623e-05,,missing_or_inconsistent_frame,nan,nan,nan,False,0.015005716530516546,0.0,0.0,0.015005716530516546,0.09999968133296722,True,0.19296462431879977,-3.3425868535776645e-11,-3.019014549465737e-08,0.17513462431879978,5.048644256339642e-10,-3.019014549465737e-08,0.0019295435619120851,0.0,0.0015861104082736965,0.0019295435619120851,0.01932342412747632,0.015005716530516546,0.020571454730142293,0.18821079728740425,0.0,0.0,-0.183925152974296,0.15000000000145847,1.3494649842016315e-09,-0.08484515297429601,0.15000000013516346,1.3494649842016315e-09,0.001757387404147898,0.0,0.0014404626265726724,0.001757387404147898,0.017804813854748282,0.015005716530516546,0.019168706605456432,-0.07159682384792736,0.15,0.0,-0.18391335517806573,-0.1499999999985367,1.3405183629799922e-09,-0.08483335517806573,-0.14999999986571813,1.3405183629799922e-09,0.0017691852003781762,0.0,0.0015476107616242294,0.0017691852003781762,0.018522635886454513,0.015005716530516546,0.01975780819680106,-0.07159682384792736,-0.15,0.0
1789388766.143376,True,0.002094422328633651,0.02062874767121131,0.002094422328633651,2.7973644697784333e-10,0.00022817030089584994,0.002094422328633647,2.7973644697691973e-10,0.00022817030089584994,,missing_or_inconsistent_frame,nan,nan,nan,False,0.015005716530516546,0.0,0.0,0.015005716530516546,0.09999968133296722,True,0.19320723982801685,-4.108089660473561e-11,-3.2914048375687344e-08,0.17537723982801687,5.457765859337695e-10,-3.2914048375687344e-08,0.002172159071129164,0.0,0.0015861104082736965,0.002172159071129164,0.021650611283308332,0.015005716530516546,0.020571454730142293,0.18821079728740425,0.0,0.0,-0.18369545264299655,0.15000000000177952,1.4433916284417592e-09,-0.08461545264299655,0.15000000014479076,1.4433916284417592e-09,0.0019870877354473517,0.0,0.0014404626265726724,0.0019870877354473517,0.01996511963910385,0.015005716530516546,0.019168706605456432,-0.07159682384792736,0.15,0.0,-0.18355852019911947,-0.1499999999980357,1.4803966941201452e-09,-0.08447852019911947,-0.149999999851358,1.4803966941201452e-09,0.0021240201793244293,0.0,0.0015476107616242294,0.0021240201793244293,0.020718853184360602,0.015005716530516546,0.01975780819680106,-0.07159682384792736,-0.15,0.0
1789388766.153451,True,0.002447380488773067,0.02464273049658633,0.002447380488773067,3.101125560061816e-10,3.4109310643465156e-05,0.002447380488773065,3.101125560061027e-10,3.4109310643465156e-05,,missing_or_inconsistent_frame,nan,nan,nan,False,0.01602391638583894,0.0,0.0,0.01602391638583894,0.09999968133296722,True,0.19362014064757052,-5.561254278609855e-11,-3.7474022995809264e-08,0.17579014064757054,6.125492872291804e-10,-3.7474022995809264e-08,0.002585059890682825,0.0,0.0019295435619120851,0.002585059890682825,0.024115449434137536,0.01602391638583894,0.0229006816695252,0.18922899714272665,0.0,0.0,-0.18331423618888962,0.15000000000235716,1.5852839041485822e-09,-0.08423423618888962,0.1500000001594271,1.5852839041485822e-09,0.0023683041895542923,0.0,0.001757387404147898,0.0023683041895542923,0.02233008007745425,0.01602391638583894,0.021404892127603447,-0.07057862399260496,0.15,0.0,-0.18329376299236183,-0.1499999999976313,1.5744103798454034e-09,-0.08421376299236183,-0.14999999984163873,1.5744103798454034e-09,0.002388777386082075,0.0,0.0017691852003781762,0.002388777386082075,0.023216662758806787,0.01602391638583894,0.02211348351034681,-0.07057862399260496,-0.15,0.0
1789388766.1633306,True,0.0027764341431644373,0.025544494716753442,0.0027764341431644373,3.33239454559778e-10,0.0002833817358273086,0.002776434143164442,3.332394545610889e-10,0.0002833817358273086,,missing_or_inconsistent_frame,nan,nan,nan,False,0.018004468723913484,0.0,0.0,0.018004468723913484,0.09999776522258712,True,0.19391023952115694,-6.693995297638182e-11,-4.061942204813817e-08,0.17608023952115695,6.573043421419214e-10,-4.061942204813816e-08,0.002875158764269244,0.0,0.002585059890682825,0.002875158764269244,0.02668213128748804,0.018004468723913484,0.027582629579325356,0.19120954948080118,0.0,0.0,-0.18304050701678756,0.15000000000280445,1.6804135860581937e-09,-0.08396050701678756,0.15000000016929982,1.6804135860581937e-09,0.0026420333616563397,0.0,0.0023683041895542923,0.0026420333616563397,0.024706769676078523,0.018004468723913484,0.025826997200230448,-0.06859807165453043,0.15,0.0,-0.1828704300748762,-0.14999999999693422,1.7162737897535862e-09,-0.08379043007487619,-0.1499999998268858,1.7162737897535862e-09,0.002812110303567713,0.0,0.002388777386082075,0.002812110303567713,0.025636266817326787,0.018004468723913484,0.02670103334962073,-0.06859807165453043,-0.15,0.0
1789388766.1733313,True,0.0031931368082977196,0.030019811912792897,0.0031931368082977196,3.6597864553918856e-10,5.509043386447095e-05,0.003193136808297721,3.659786455392523e-10,5.509043386447095e-05,,missing_or_inconsistent_frame,nan,nan,nan,False,0.019006208736753637,0.0,0.0,0.019006208736753637,0.09999776522258712,True,0.19439576935552844,-8.794046886087003e-11,-4.588614110900834e-08,0.17656576935552845,7.302094271127484e-10,-4.588614110900834e-08,0.003360688598640757,0.0,0.002875158764269244,0.003360688598640757,0.029347825845832995,0.019006208736753637,0.030227289883954157,0.19221128949364133,0.0,0.0,-0.1825897142739089,0.15000000000359495,1.8254588951549522e-09,-0.08350971427390891,0.1500000001844614,1.8254588951549522e-09,0.0030928261045350047,0.0,0.0026420333616563397,0.0030928261045350047,0.027289488263702335,0.019006208736753637,0.028287266112048237,-0.06759633164169027,0.15,0.0,-0.1825566446567265,-0.14999999999638047,1.8131367518492425e-09,-0.0834766446567265,-0.1499999998167349,1.8131367518492425e-09,0.0031258957217174116,0.0,0.002812110303567713,0.0031258957217174116,0.028337884041494246,0.019006208736753637,0.029198834445446725,-0.06759633164169027,-0.15,0.0
