stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_risk_inner_upper,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_risk_inner_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_risk_inner_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi
1789388766.0833147,0.10000041763812094,0.10000041763812094,-0.009999999999999998,0.107,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789388766.0933492,0.10000041763812094,0.10000041763812094,-0.009999999999999998,0.107,True,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789388766.1033015,0.10000041763812094,0.10000041763812094,-0.009999999999999998,0.107,True,True,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.012028371045186044,0.10000059962676233,0.0,-9.360379614089044e-06,8.481605145438387e-07,0.0,-0.015,0.112,1.0,0.0,0.0,0.012027753532345158,0.1000001858610578,0.0,-4.60350279278543e-07,-6.138003723760166e-07,0.0,-0.015,0.112,1.0,0.0,0.0,0.012028156051463042,0.10000046742654266,0.0,-6.2766173658601064e-06,2.9481017886426323e-07,0.0
1789388766.1134574,0.10000041763812094,0.10000041763812094,-0.009999999999999998,0.107,True,True,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.012028371045186044,0.10000059962676233,0.0,-9.360379614089044e-06,8.481605145438387e-07,0.0,-0.015,0.112,1.0,0.0,0.0,0.012027753532345158,0.1000001858610578,0.0,-4.60350279278543e-07,-6.138003723760166e-07,0.0,-0.015,0.112,1.0,0.0,0.0,0.012028156051463042,0.10000046742654266,0.0,-6.2766173658601064e-06,2.9481017886426323e-07,0.0
1789388766.123406,0.09999968133296722,0.09999968133296722,-0.009999999999999998,0.107,True,True,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.01610055493330379,0.0999990645487311,0.0,2.525345300532985e-05,1.1191526425979868e-06,0.0,-0.015,0.112,1.0,0.0,0.0,0.01610088369471807,0.10000042257877223,0.0,-1.0200319587698459e-06,-6.95331189390358e-07,0.0,-0.015,0.112,1.0,0.0,0.0,0.016100674046579104,0.09999955687139836,0.0,1.5992342590459736e-05,4.796325618429409e-07,0.0
1789388766.1334262,0.09999968133296722,0.09999968133296722,-0.009999999999999998,0.107,True,True,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.01610055493330379,0.0999990645487311,0.0,2.525345300532985e-05,1.1191526425979868e-06,0.0,-0.015,0.112,1.0,0.0,0.0,0.01610088369471807,0.10000042257877223,0.0,-1.0200319587698459e-06,-6.95331189390358e-07,0.0,-0.015,0.112,1.0,0.0,0.0,0.016100674046579104,0.09999955687139836,0.0,1.5992342590459736e-05,4.796325618429409e-07,0.0
1789388766.143376,0.09999968133296722,0.09999968133296722,-0.009999999999999998,0.107,True,True,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.16000000000000322,0.16000000000000322,0.107,-0.16000000000000322,0.16000000000000322,-0.015,0.112,1.0,0.0,0.0,0.01610055493330379,0.0999990645487311,0.0,2.525345300532985e-05,1.1191526425979868e-06,0.0,-0.015,0.112,1.0,0.0,0.0,0.01610088369471807,0.10000042257877223,0.0,-1.0200319587698459e-06,-6.95331189390358e-07,0.0,-0.015,0.112,1.0,0.0,0.0,0.016100674046579104,0.09999955687139836,0.0,1.5992342590459736e-05,4.796325618429409e-07,0.0
1789388766.153451,0.09999968133296722,0.09999968133296722,-0.009999999999999998,0.107,True,True,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.16000000000000322,0.16000000000000322,0.107,-0.16000000000000322,0.16000000000000322,-0.015,0.112,1.0,0.0,0.0,0.01610055493330379,0.0999990645487311,0.0,2.525345300532985e-05,1.1191526425979868e-06,0.0,-0.015,0.112,1.0,0.0,0.0,0.01610088369471807,0.10000042257877223,0.0,-1.0200319587698459e-06,-6.95331189390358e-07,0.0,-0.015,0.112,1.0,0.0,0.0,0.016100674046579104,0.09999955687139836,0.0,1.5992342590459736e-05,4.796325618429409e-07,0.0
1789388766.1633306,0.09999776522258712,0.09999776522258712,-0.009999999999999998,0.107,True,True,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.020095500140209034,0.0999961165416186,0.0,7.622658126925918e-05,-2.6873394438409188e-06,0.0,-0.015,0.112,1.0,0.0,0.0,0.020098606416535186,0.09999981019806543,0.0,5.384095532467992e-07,2.2237374149997047e-06,0.0,-0.015,0.112,1.0,0.0,0.0,0.02009659025559433,0.09999736892807734,0.0,4.978597775769886e-05,-7.598828311333738e-07,0.0
1789388766.1733313,0.09999776522258712,0.09999776522258712,-0.009999999999999998,0.107,True,True,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,0.107,-0.15999999999999895,0.15999999999999895,-0.015,0.112,1.0,0.0,0.0,0.020095500140209034,0.0999961165416186,0.0,7.622658126925918e-05,-2.6873394438409188e-06,0.0,-0.015,0.112,1.0,0.0,0.0,0.020098606416535186,0.09999981019806543,0.0,5.384095532467992e-07,2.2237374149997047e-06,0.0,-0.015,0.112,1.0,0.0,0.0,0.02009659025559433,0.09999736892807734,0.0,4.978597775769886e-05,-7.598828311333738e-07,0.0
