stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper
1788866348.4780364,0.0,0.0,0.0,0.0,True,False,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,nan,nan,-0.2,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,nan,nan
1788866348.4880376,7.787885013670205e-07,7.787885013670205e-07,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.1499999999999911,0.1499999999999911,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.15000000000000718,0.15000000000000718,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.15000000000000718,0.15000000000000718
1788866348.4980364,6.20840755923794e-06,6.20840755923794e-06,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.14999999999999222,0.14999999999999222,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.15000000000000832,0.15000000000000832,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.15000000000000832,0.15000000000000832
1788866348.5081892,2.0651557492337873e-05,2.0651557492337873e-05,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.1500000000000001,0.1500000000000001,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.1500000000000001,0.1500000000000001,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.1500000000000001,0.1500000000000001
1788866348.5180738,4.822566915443237e-05,4.822566915443237e-05,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.14999999999999516,0.14999999999999516,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.1500000000000032,0.1500000000000032,-0.015,0.095,1.0,0.0,0.0,0.00318735392,0.08,0.0,0.0,0.0,0.0,-0.1500000000000032,0.1500000000000032
1788866348.5280502,9.277254358664106e-05,9.277254358664106e-05,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.006390677246521738,0.08000066022202898,0.0,-1.3742479999999991e-05,0.0,0.0,-0.14999999999999977,0.14999999999999977,-0.015,0.095,1.0,0.0,0.0,0.006390182080000001,0.08,0.0,0.0,0.0,0.0,-0.14999999999999977,0.14999999999999977,-0.015,0.095,1.0,0.0,0.0,0.00639050393823913,0.08000042914431885,0.0,-8.932612000000003e-06,0.0,0.0,-0.14999999999999977,0.14999999999999977
1788866348.5380728,0.00015773887309431992,0.00015773887309431992,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.006390677246521738,0.08000066022202898,0.0,-1.3742479999999991e-05,0.0,0.0,-0.15000000000000113,0.15000000000000113,-0.015,0.095,1.0,0.0,0.0,0.006390182080000001,0.08,0.0,0.0,0.0,0.0,-0.15000000000000113,0.15000000000000113,-0.015,0.095,1.0,0.0,0.0,0.00639050393823913,0.08000042914431885,0.0,-8.932612000000003e-06,0.0,0.0,-0.15000000000000113,0.15000000000000113
1788866348.548187,0.00024654697826306506,0.00024654697826306506,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.006390677246521738,0.08000066022202898,0.0,-1.3742479999999991e-05,0.0,0.0,-0.15000000000000285,0.15000000000000285,-0.015,0.095,1.0,0.0,0.0,0.006390182080000001,0.08,0.0,0.0,0.0,0.0,-0.15000000000000285,0.15000000000000285,-0.015,0.095,1.0,0.0,0.0,0.00639050393823913,0.08000042914431885,0.0,-8.932612000000003e-06,0.0,0.0,-0.15000000000000285,0.15000000000000285
1788866348.5580604,0.00036338470166153087,0.00036338470166153087,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.006390677246521738,0.08000066022202898,0.0,-1.3742479999999991e-05,0.0,0.0,-0.14999999999999383,0.14999999999999383,-0.015,0.095,1.0,0.0,0.0,0.006390182080000001,0.08,0.0,0.0,0.0,0.0,-0.15000000000000976,0.15000000000000976,-0.015,0.095,1.0,0.0,0.0,0.00639050393823913,0.08000042914431885,0.0,-8.932612000000003e-06,0.0,0.0,-0.15000000000000976,0.15000000000000976
1788866348.5681098,0.0005071416124215391,0.0005071416124215391,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.0095545319351561,0.08000108520521745,0.0,-1.7061180330438585e-05,1.505306226062819e-06,0.0,-0.1499999999999882,0.1499999999999882,-0.015,0.095,1.0,0.0,0.0,0.009553432594840209,0.08000031704611328,0.0,-8.170247608662792e-07,-1.0893663478228621e-06,0.0,-0.15000000000000402,0.15000000000000402,-0.015,0.095,1.0,0.0,0.0,0.00955414913961045,0.08000083787417622,0.0,-1.1431184531522257e-05,5.232259579872335e-07,0.0,-0.15000000000000402,0.15000000000000402
