stamp,evaluation_active,m2b_agv1_z,m2b_agv1_upsilon,m2b_agv1_phi,m2b_agv1_reference_acceleration,m2b_agv1_zeta_z,m2b_agv1_zeta_v,m2b_agv1_zeta_phi,m2b_agv1_debug_s_actual,m2b_agv1_debug_s_dot_actual,m2b_agv1_position_error,m2b_agv1_velocity_error,m2b_agv1_psi,m2b_agv1_gamma,m2b_agv1_gamma_inverse_upsilon,m2b_agv1_composite_error,m2b_agv1_channel_input_raw,m2b_agv1_channel_input_limited,m2b_agv1_reported_capability,m2b_agv1_delta_inverse,m2b_agv1_mapping_zeta,m2b_agv2_z,m2b_agv2_upsilon,m2b_agv2_phi,m2b_agv2_reference_acceleration,m2b_agv2_zeta_z,m2b_agv2_zeta_v,m2b_agv2_zeta_phi,m2b_agv2_debug_s_actual,m2b_agv2_debug_s_dot_actual,m2b_agv2_position_error,m2b_agv2_velocity_error,m2b_agv2_psi,m2b_agv2_gamma,m2b_agv2_gamma_inverse_upsilon,m2b_agv2_composite_error,m2b_agv2_channel_input_raw,m2b_agv2_channel_input_limited,m2b_agv2_reported_capability,m2b_agv2_delta_inverse,m2b_agv2_mapping_zeta,m2b_agv3_z,m2b_agv3_upsilon,m2b_agv3_phi,m2b_agv3_reference_acceleration,m2b_agv3_zeta_z,m2b_agv3_zeta_v,m2b_agv3_zeta_phi,m2b_agv3_debug_s_actual,m2b_agv3_debug_s_dot_actual,m2b_agv3_position_error,m2b_agv3_velocity_error,m2b_agv3_psi,m2b_agv3_gamma,m2b_agv3_gamma_inverse_upsilon,m2b_agv3_composite_error,m2b_agv3_channel_input_raw,m2b_agv3_channel_input_limited,m2b_agv3_reported_capability,m2b_agv3_delta_inverse,m2b_agv3_mapping_zeta,m2b_delta_z,m2b_delta_w
1789558327.2329087,True,3.2474070730414307e-07,2.6129108999247243e-05,0.0,-0.00011032485610563945,5.42271530676905e-07,4.713287716625545e-05,-0.0011961431420282513,-0.0026698683044142253,0.0,-0.0026701930451215293,-2.6129108999247243e-05,-2.6132347363165057e-05,1.0002478981554324,-3.6251898439266955e-12,-0.0033638736537650767,0.01183988879606353,0.01183988879606353,0.1599999999999923,0.9998760783379768,-3.626088521802097e-12,8.25398719588914e-08,1.0864136361461526e-06,0.0009124013250000002,0.0010300755175986556,-4.876724412152639e-07,-5.031924208322999e-05,0.0018248026500000004,0.0022997971349421123,0.0,0.0022997145950701533,-1.0864136361461526e-06,-1.0864192349630188e-06,1.0000103070125896,5.853081551838191e-14,0.0028735568246027287,-0.009170445339760826,-0.009170445339760826,0.16000000000000944,0.9999948465411086,5.853141879623435e-14,3.280114778289036e-07,2.6362960356275053e-05,0.0,-9.383593099990251e-05,4.4696097576936523e-07,4.0095852065524035e-05,-0.0010968335060683634,-0.00011933405224118232,0.0,-0.00011966206371901122,-2.6362960356275053e-05,-2.6366256943181834e-05,1.0002501168640399,-3.138807000580033e-12,-0.00017594383659194586,0.0005424512793597491,0.0005424512793597491,0.16000000000000944,0.9998749694765592,-3.1395920691438443e-12,2.454716058700122e-07,2.52765467201289e-05
1789558327.242911,True,5.954452814855674e-07,3.415283057353404e-05,0.0,-0.00013698314937919798,9.954831756598426e-07,5.8355730777632844e-05,-0.0013483145709958426,-0.0026698683044142253,0.0,-0.002670463749695711,-3.415283057353404e-05,-3.415836306100822e-05,1.0003240253234482,-7.689379291961601e-12,-0.003372238050180647,0.011845511128771942,0.011845511128771942,0.15999999999999306,0.9998380341744041,-7.691870845573794e-12,1.2872278921210347e-07,2.1830273031892646e-06,0.0009124013250000002,0.0010632583591585827,-9.411585812408611e-07,-6.434578633087056e-05,0.0018248026500000004,0.0022997971349421123,0.0,0.0022996684121529003,-2.1830273031892646e-06,-2.1830499091460973e-06,1.0000207108179866,2.4393668344281564e-13,0.002872402465281979,-0.009132553071473145,-0.009132553071473145,0.16000000000001022,0.9999896447824038,2.4394173557106667e-13,6.031588781795006e-07,3.455901036371503e-05,0.0,-0.00011810643836435496,8.333263186555916e-07,5.032701012691956e-05,-0.001195744934897298,-0.00011933405224118232,0.0,-0.00011993721111936182,-3.455901036371503e-05,-3.456467522330877e-05,1.0003278790941281,-6.788362123552459e-12,-0.00018448618912251106,0.0005521271503049591,0.0005521271503049591,0.16000000000001022,0.9998361084096079,-6.790587885576143e-12,4.744360889673971e-07,3.2375983060525766e-05
1789558327.2529092,True,9.426296050530188e-07,4.2022511367243396e-05,0.0,-0.00015852491446703313,1.5456646154064131e-06,6.732974999075046e-05,-0.0015283587411322956,-0.002656126832127334,0.0,-0.002657069461732387,-4.2022511367243396e-05,-4.203088708049471e-05,1.0003986921991568,-1.3470866446555718e-11,-0.0033633677142459783,0.011795038633551207,0.011795038633551207,0.15999999999998935,0.999800724804231,-1.3476237175923843e-11,1.9253825558982004e-07,3.5516246227076204e-06,0.0009124013250000002,0.0010946572259274668,-1.5149079641421865e-06,-7.75436513783371e-05,0.0018248026500000004,0.002289313874963412,0.0,0.002289121336707822,-3.5516246227076204e-06,-3.551684457951981e-06,1.000033695022382,6.647308720363158e-13,0.0028578499864268256,-0.009048731696786048,-0.009048731696786048,0.16000000000000644,0.9999831529954114,6.647532701579271e-13,9.57354870268808e-07,4.262438925650895e-05,0.0,-0.0001388995997587547,1.3109480100171822e-06,5.901672518569402e-05,-0.0013127736454859925,-0.00012377431102233993,0.0,-0.00012473166589260874,-4.262438925650895e-05,-4.263300660042405e-05,1.00040440281575,-1.2143629814876153e-11,-0.00019854758896618497,0.0005848005563097853,0.0005848005563097853,0.16000000000000644,0.9997978715412718,-1.2148540732966714e-11,7.64816614678988e-07,3.9072764633801325e-05
1789558327.2629035,True,1.3605267892902016e-06,4.961886935021958e-05,0.0,-0.00017360774055649546,2.1623822276457113e-06,7.34937109561411e-05,-0.001734756238526571,-0.002656126832127341,0.0,-0.0026574873589166313,-4.961886935021958e-05,-4.963054665469543e-05,1.000470766947303,-2.0566545620235067e-11,-0.0033714897453004846,0.011811232692543592,0.011811232692543592,0.15999999999999645,0.9997647153766591,-2.0576227670133272e-11,2.769431839114355e-07,5.2529530276334226e-06,0.0009124013250000002,0.001123372212428621,-2.191591869629208e-06,-8.953503915172349e-05,0.0018248026500000004,0.0022893138749634015,0.0,0.00228903693177949,-5.2529530276334226e-06,-5.253083918092287e-06,1.0000498359753385,1.492232014558885e-12,0.00285604308080627,-0.009012654827324948,-0.009012654827324948,0.160000000000005,0.999975083120524,1.4923063813967618e-12,1.3849514481618777e-06,5.042207585677077e-05,0.0,-0.00015507039786481178,1.8573439467011586e-06,6.56845061588539e-05,-0.0014469320187922715,-0.00012377431102233993,0.0,-0.0001251592624705018,-5.042207585677077e-05,-5.0434134248169546e-05,1.000478387889142,-1.896990411320451e-11,-0.0002068832123362968,0.0006016533802776227,0.0006016533802776227,0.160000000000005,0.9997609081313968,-1.897897908559045e-11,1.1080082642504422e-06,4.5169122829137344e-05
1789558327.2729113,True,1.8469994367615537e-06,5.7049722397244816e-05,0.0,-0.00018219693722274484,2.8178751853221087e-06,7.684701218342487e-05,-0.0019663262776685496,-0.002655038562376269,0.0,-0.0026568855618130304,-5.7049722397244816e-05,-5.7065158839903866e-05,1.0005412724536782,-2.853067206390432e-11,-0.003378172111106192,0.01182875421236265,0.01182875421236265,0.16000000000000197,0.9997294944415672,-2.8546114930777436e-11,3.861384033273708e-07,7.240891243808424e-06,0.0009124013250000002,0.001150065206217586,-2.9584926798910752e-06,-0.00010061095621827286,0.0018248026500000004,0.002252762403746042,0.0,0.0022523762653427148,-7.240891243808424e-06,-7.2411399477517335e-06,1.0000686961424405,2.9027048208237114e-12,0.002808229191730642,-0.008815128294842687,-0.008815128294842687,0.16000000000000197,0.9999656540344333,2.9029042254475456e-12,1.883770049784263e-06,5.80430163086449e-05,0.0,-0.00016660224923187173,2.452128952838781e-06,7.033373173978716e-05,-0.001597452544234558,-0.00011619205138046346,0.0,-0.00011807582143024773,-5.80430163086449e-05,-5.805899491631379e-05,1.0005506971174551,-2.7004741840427468e-11,-0.00020565377170412346,0.0005891265680722323,0.0005891265680722323,0.16000000000000197,0.9997247866985653,-2.701961327391661e-11,1.4976316464568922e-06,5.080212506483648e-05
1789558327.2828593,True,2.4017049419252114e-06,6.441983256724946e-05,0.0,-0.00018437300259743303,3.485265988882959e-06,7.743810038431926e-05,-0.0022207351892949605,-0.002655038562376269,0.0,-0.002657440267318194,-6.441983256724946e-05,-6.443951463326918e-05,1.0006112026737097,-3.681001329057428e-11,-0.0033862398487810117,0.01185757992802071,0.01185757992802071,0.16000000000000228,0.9996945652658662,-3.683251166911677e-11,5.239763425000773e-07,9.479017478808223e-06,0.0009124013250000002,0.0011753431256785046,-3.806968291666786e-06,-0.00011103668415983275,0.0018248026500000004,0.002252762403746035,0.0,0.002252238427403535,-9.479017478808223e-06,-9.479443687834737e-06,1.0000899300099986,5.083668597916694e-12,0.0028058185905665838,-0.0087800511065309,-0.0087800511065309,0.16000000000000228,0.9999550386034721,5.084125772284534e-12,2.4532160347417294e-06,6.557488655019975e-05,0.0,-0.00017354172143224723,3.07561584823778e-06,7.299456086012433e-05,-0.0017628183367917247,-0.00011619205138046346,0.0,-0.00011864526741520519,-6.557488655019975e-05,-6.55952806828885e-05,1.0006221623309037,-3.590071257567854e-11,-0.00021390186495189498,0.0006147749699348752,0.0006147749699348752,0.16000000000000228,0.9996890914639524,-3.5923048646695734e-11,1.9292396922416522e-06,5.609586907139153e-05
1789558327.2929099,True,3.022494152284156e-06,7.174282971036779e-05,0.0,-0.0001795958912192454,4.134846454196883e-06,7.505019862814734e-05,-0.0024970247839569476,-0.002657505417704993,0.0,-0.0026605279118572774,-7.174282971036779e-05,-7.17672403920952e-05,1.0006806869090294,-4.4468111782389116e-11,-0.0033974271302136916,0.01190440484571856,0.01190440484571856,0.15999999999999592,0.999659863168849,-4.4498380643948646e-11,6.931164031915373e-07,1.1974856540902254e-05,0.0009124013250000002,0.0011991807461466152,-4.726836367113072e-06,-0.00012080663435516972,0.0018248026500000004,0.002252762403746035,0.0,0.0022520692873428433,-1.1974856540902254e-05,-1.1975536736323203e-05,1.000113609001479,8.277506780413637e-12,0.0028031110724422307,-0.008745217740130012,-0.008745217740130012,0.16000000000000444,0.9999432012580376,8.278447179693696e-12,3.09057502121199e-06,7.301351772660645e-05,0.0,-0.00017541572068072728,3.7051325881260575e-06,7.347536312583753e-05,-0.0019424065733220164,-0.00011619205138046346,0.0,-0.00011928262640167544,-7.301351772660645e-05,-7.303880068894046e-05,1.0006927439338458,-4.4984657197988655e-11,-0.00022214208369103475,0.000645414662146192,0.000645414662146192,0.16000000000000444,0.9996538420388132,-4.501582004637869e-11,2.3974586180204524e-06,6.103866118570419e-05
1789558327.3029041,True,3.710979407226861e-06,7.912725278693101e-05,0.0,-0.0001681466823320368,4.739292671844394e-06,6.981818496743246e-05,-0.002792275585864138,-0.002657505417704993,0.0,-0.00266121639711222,-7.912725278693101e-05,-7.915694663005975e-05,1.0007507550341304,-5.064088719853175e-11,-0.0034056774430203346,0.011947497626846625,0.011947497626846625,0.16000000000000156,0.9996248738184974,-5.0678906099528874e-11,8.971200015808672e-07,1.4699028918055595e-05,0.0009124013250000002,0.0012221736518282676,-5.713486297965764e-06,-0.00013017913846008632,0.0018248026500000004,0.00224162939765166,0.0,0.002240732277650079,-1.4699028918055595e-05,-1.4700053784222598e-05,1.0001394544171591,1.2710766698046592e-11,0.0027862152932783763,-0.00866074247202991,-0.00866074247202991,0.16000000000000156,0.9999302814682146,1.2712539270608114e-11,3.7967468939006384e-06,8.044994350926651e-05,0.0,-0.00017239493812749474,4.320120464096074e-06,7.186009002827393e-05,-0.0021343195945616907,-0.00011619205138046346,0.0,-0.0001199887982743641,-8.044994350926651e-05,-8.048063826406579e-05,1.0007633056802911,-5.3669883425748e-11,-0.00023046663610702092,0.0006812422435371276,0.0006812422435371276,0.16000000000000156,0.999618606966081,-5.371084995262744e-11,2.8996268923197713e-06,6.575091459121092e-05
1789558327.312862,True,4.464834730262993e-06,8.655890363635654e-05,0.0,-0.000148922820000461,5.268530251038388e-06,6.128372677599812e-05,-0.0031087330287716142,-0.0026575054177049827,0.0,-0.0026619702524352455,-8.655890363635654e-05,-8.659443640132842e-05,1.000821272350899,-5.366744180305873e-11,-0.0034140572519453854,0.011998834640515604,0.011998834640515604,0.15999999999999634,0.9995896645737469,-5.371151738915506e-11,1.137610980027764e-06,1.7674166424095734e-05,0.0009124013250000002,0.0012441002215898998,-6.757947152106641e-06,-0.00013906358140537033,0.0018248026500000004,0.00224162939765166,0.0,0.002240491786671632,-1.7674166424095734e-05,-1.7675648137656798e-05,1.0001676810129705,1.8705998737416503e-11,0.002782939085201883,-0.008625538593171379,-0.008625538593171379,0.16000000000000486,0.999916172037963,1.870913537823342e-11,4.5683343818991755e-06,8.785301061720525e-05,0.0,-0.00016361006864945644,4.896466941116744e-06,6.778757816181071e-05,-0.0023400169324515495,-0.0001253439624082503,0.0,-0.00012991229679014946,-8.785301061720525e-05,-8.788961366826582e-05,1.0008335519594123,-6.073561515766381e-11,-0.00025027998465595265,0.00076356156019729,0.00076356156019729,0.16000000000000486,0.9995835338268897,-6.078624144868459e-11,3.4307234018714115e-06,7.017884419310952e-05
1789558327.3229132,True,5.295337986705949e-06,9.431280575678095e-05,0.0,-0.0001235541261735064,5.6979451714969845e-06,5.015993786599436e-05,-0.0034410630988025866,-0.0026575054177049827,0.0,-0.002662800755691689,-9.431280575678095e-05,-9.43549887833004e-05,1.0008948485778784,-5.285530114707367e-11,-0.0034228559333979117,0.01205790049807013,0.01205790049807013,0.1599999999999971,0.9995529327377026,-5.290259863813846e-11,1.4208864498465464e-06,2.0818822053132308e-05,0.0009124013250000002,0.0012665850489551218,-7.869188905516406e-06,-0.0001481535105211065,0.0018248026500000004,0.00224162939765166,0.0,0.0022402085112018136,-2.0818822053132308e-05,-2.0820877920013817e-05,1.000197516097009,2.6422848606623013e-11,0.002779439761082253,-0.008588891489194866,-0.008588891489194866,0.16000000000000558,0.9999012593566223,2.642806754455165e-11,5.41562381850355e-06,9.547834887059015e-05,0.0,-0.00015027534044486515,5.416971319812708e-06,6.17885169571867e-05,-0.002556031477971682,-0.0001253439624082503,0.0,-0.00013075958622675384,-9.547834887059015e-05,-9.552158082182748e-05,1.0009059084342447,-6.58843172989389e-11,-0.0002589710636052698,0.0008110725992610969,0.0008110725992610969,0.16000000000000558,0.9995474116857638,-6.594400245766446e-11,3.994737368657004e-06,7.465952681745785e-05
