method,category,task_time_seconds,support_error_rmse,support_error_max,rigid_fit_error_rmse,rigid_fit_error_max,pairwise_side_error_rmse,pairwise_side_error_max,equivalent_load_position_error_rmse,equivalent_load_position_error_max,equivalent_load_yaw_error_rmse,equivalent_load_yaw_error_max,native_controller_raw_peak_mps,native_controller_raw_rms_mps,native_over_0p160_duration_seconds,native_over_0p180_duration_seconds,post_candidate_b_peak_mps,post_candidate_b_over_0p160_duration_seconds,post_candidate_b_over_0p180_duration_seconds,physical_limiter_duration_seconds,post_limit_peak_mps,actual_peak_mps,wheel_margin_below_0p5_duration_seconds,wheel_margin_below_0p7_duration_seconds,robot1_progress_error_rmse,robot1_lateral_error_rmse,robot1_heading_error_rmse,robot1_velocity_error_rmse,robot2_progress_error_rmse,robot2_lateral_error_rmse,robot2_heading_error_rmse,robot2_velocity_error_rmse,robot3_progress_error_rmse,robot3_lateral_error_rmse,robot3_heading_error_rmse,robot3_velocity_error_rmse,wheel_margin_minimum,wheel_margin_mean,wheel_margin_p05,support_error_spatial_rmse,rigid_fit_error_spatial_rmse,pairwise_side_error_spatial_rmse
M1,VALID_COMPLETED,54.83006310462952,0.01831680802925981,0.027596321794039248,0.007610243295321756,0.011763479617184278,0.013695092842370603,0.01949407027119221,0.009388334645745695,0.016507547189049575,0.036240638152088514,0.06228994505000118,0.1641636200022099,0.10853414198098846,0.1299450397491455,0,0.14355255725223307,0,0,0,0.14355255725223307,0.17064816851838993,2.3502485752105713,3.860651731491089,0.0022812783952099944,0.007741538984375452,0.03999377067539144,0.002919473097949711,0.0030928975438539214,0.018068435634332015,0.1051724725713348,0.0036064351367334105,0.0028785212869735207,0.012377431164681952,0.16295142362569817,0.0034863947209072764,0.0,0.9311280977337704,0.45611819880566146,0.018524400860173103,0.0077152282087571316,0.013812003090424284
M1b,VALID_COMPLETED,53.94010257720947,0.019151793293318623,0.026300444755244956,0.008655616229964374,0.011325079239175485,0.01797325517342217,0.026006119895817414,0.009062789703684961,0.016314650853619952,0.031677550194030145,0.06075513401599331,0.19799943681687832,0.11789076194336102,4.689551115036011,1.8804540634155273,0.15291525578152254,0,0,0,0.15291525578152254,0.1810136345305949,5.590154647827148,5.829988956451416,0.0024991806106150617,0.007178439122674977,0.041540651097475276,0.002873058083534748,0.008603490265090353,0.016527623230514207,0.10938646262372066,0.00632198996416224,0.0028976497859988146,0.011441396885480385,0.1636047140183255,0.0036612589994434756,0.0,0.8191271747780184,0.0,0.019155696949539634,0.008658165770095342,0.017977585790814772
M2b,VALID_COMPLETED,53.9499249458313,0.01867996683023489,0.030219397098746003,0.007115187702371973,0.01158180120163018,0.012739036629616528,0.019019944385733123,0.009327968639451982,0.0184111488774435,0.03850995891404191,0.06653924932766264,0.1984326856971754,0.11814670102303718,4.469832181930542,1.999560832977295,0.1490202201885559,0,0,0,0.14830745590768937,0.16822379713571609,5.390117168426514,5.6898815631866455,0.002550102559059618,0.007490119049315056,0.040629858669251014,0.003612162392394447,0.001676877570990273,0.018539404312714117,0.10454102244792966,0.002935958584412958,0.0026392269799564755,0.011402711136828888,0.1640079585730342,0.003461874615101869,0.0,0.8211437638906272,0.0,0.018675214052670957,0.007115409866331597,0.01273693959497652
