topic,bag_stamp,header_stamp,frame_id,robot_localization_source_1,robot_localization_source_2,robot_localization_source_3,robot_pose_valid_1,robot_pose_valid_2,robot_pose_valid_3,robot_pose_stamp_1,robot_pose_stamp_2,robot_pose_stamp_3,robot_pose_x_1,robot_pose_x_2,robot_pose_x_3,robot_pose_y_1,robot_pose_y_2,robot_pose_y_3,robot_pose_yaw_1,robot_pose_yaw_2,robot_pose_yaw_3,support_pose_valid_1,support_pose_valid_2,support_pose_valid_3,support_pose_x_1,support_pose_x_2,support_pose_x_3,support_pose_y_1,support_pose_y_2,support_pose_y_3,support_pose_yaw_1,support_pose_yaw_2,support_pose_yaw_3,path_state_valid_1,path_state_valid_2,path_state_valid_3,s_actual_1,s_actual_2,s_actual_3,s_dot_actual_1,s_dot_actual_2,s_dot_actual_3,load_localization_source,load_pose_valid,load_pose_stamp,load_pose_x,load_pose_y,load_pose_yaw,load_path_state_valid,load_s_actual,load_s_dot_actual
/multi_agv/cooperative_state,1789455982.375837,1789455982.3757842,three_car_path,3,3,3,True,True,True,1789455982.3619783,1789455982.360572,1789455982.3634155,0.17996502582572338,-0.18164950550981085,-0.1795912066476011,-0.0019406764678931987,0.16200164753708912,-0.15822492234329888,-0.0010000106520742236,0.009234777753416967,-0.01090314688506977,True,True,True,0.16213503474091256,-0.08257373030647859,-0.08051709583569755,-0.0019228462809384767,0.1629166163118413,-0.15930518473302582,-0.0010000106520742236,0.009234777753416967,-0.01090314688506977,True,True,True,-0.011070046015975131,0.004028810071965316,0.006085444542746364,0.0,0.0,0.0,3,True,1789455982.360572,-0.0003185971337544881,0.0005628617659589976,-0.0037255280056044822,True,0.0,0.0
/multi_agv/cooperative_state,1789455982.3859456,1789455982.3858342,three_car_path,3,3,3,True,True,True,1789455982.3739364,1789455982.3685477,1789455982.3634155,0.17996502582572338,-0.18164950550981085,-0.1795912066476011,-0.0019406764678931987,0.16200164753708912,-0.15822492234329888,-0.0010000106520742236,0.009234777753416967,-0.01090314688506977,True,True,True,0.16213503474091256,-0.08257373030647859,-0.08051709583569755,-0.0019228462809384767,0.1629166163118413,-0.15930518473302582,-0.0010000106520742236,0.009234777753416967,-0.01090314688506977,True,True,True,-0.011070046015975131,0.004028810071965316,0.006085444542746364,0.0,0.0,0.0,3,True,1789455982.3634155,-0.0003185971337544881,0.0005628617659589976,-0.0037255280056044822,True,0.0,0.0
/multi_agv/cooperative_state,1789455982.395916,1789455982.3957813,three_car_path,3,3,3,True,True,True,1789455982.381999,1789455982.3805296,1789455982.3835402,0.1800834196773481,-0.1816260850894983,-0.17944102784422855,-0.0015463201235740298,0.1619231403349749,-0.1584604858716634,-0.0026298299256337643,0.00892050356859464,-0.012544715401581193,True,True,True,0.16225348133350104,-0.08255002722787602,-0.08036882384606821,-0.001499430310048391,0.162806972106567,-0.1597033836739396,-0.0026298299256337643,0.00892050356859464,-0.012544715401581192,True,True,True,-0.01095159942338667,0.004052513150567885,0.006233716532375696,0.0,0.0,0.0,3,True,1789455982.3805296,-0.00022178991348102695,0.0005347193741929989,-0.002222201892385277,True,0.0,0.0
/multi_agv/cooperative_state,1789455982.405919,1789455982.4057822,three_car_path,3,3,3,True,True,True,1789455982.381999,1789455982.3805296,1789455982.3835402,0.1800834196773481,-0.1816260850894983,-0.17944102784422855,-0.0015463201235740298,0.1619231403349749,-0.1584604858716634,-0.0026298299256337643,0.00892050356859464,-0.012544715401581193,True,True,True,0.16225348133350104,-0.08255002722787602,-0.08036882384606821,-0.001499430310048391,0.162806972106567,-0.1597033836739396,-0.0026298299256337643,0.00892050356859464,-0.012544715401581192,True,True,True,-0.01095159942338667,0.004052513150567885,0.006233716532375696,0.0,0.0,0.0,3,True,1789455982.3805296,-0.00022178991348102695,0.0005347193741929989,-0.002222201892385277,True,0.0,0.0
/multi_agv/cooperative_state,1789455982.4159827,1789455982.4158628,three_car_path,3,3,3,True,True,True,1789455982.401984,1789455982.4005947,1789455982.4034135,0.1800834196773481,-0.1816260850894983,-0.17944102784422855,-0.0015463201235740298,0.1619231403349749,-0.1584604858716634,-0.0026298299256337643,0.00892050356859464,-0.012544715401581193,True,True,True,0.16225348133350104,-0.08255002722787602,-0.08036882384606821,-0.001499430310048391,0.162806972106567,-0.1597033836739396,-0.0026298299256337643,0.00892050356859464,-0.012544715401581192,True,True,True,-0.010951599423386667,0.004052513150567878,0.006233716532375696,0.0,0.0,0.0,3,True,1789455982.4005947,-0.00022178991348102695,0.0005347193741929989,-0.002222201892385277,True,0.0,0.0
/multi_agv/cooperative_state,1789455982.4259546,1789455982.425833,three_car_path,3,3,3,True,True,True,1789455982.4219804,1789455982.420561,1789455982.423574,0.1800560130308051,-0.18178141611621546,-0.1794564318436339,-0.0016753786084918731,0.16204844451595735,-0.1582767068385994,-0.002600461935673426,0.012634031832363668,-0.01075033179140683,True,True,True,0.16222607331758743,-0.08270932352442102,-0.0803821571081445,-0.0016290124244366553,0.1633001910889151,-0.1593418291962486,-0.002600461935673426,0.012634031832363668,-0.01075033179140683,True,True,True,-0.010979007439300277,0.0038932168540228886,0.0062203832702994,0.0,0.0,0.0,3,True,1789455982.420561,-0.0002884691049926622,0.0007764498227432839,-0.003044418480352539,True,0.0,0.0
/multi_agv/cooperative_state,1789455982.4359303,1789455982.435832,three_car_path,3,3,3,True,True,True,1789455982.4219804,1789455982.420561,1789455982.423574,0.1800560130308051,-0.18178141611621546,-0.1794564318436339,-0.0016753786084918731,0.16204844451595735,-0.1582767068385994,-0.002600461935673426,0.012634031832363668,-0.01075033179140683,True,True,True,0.16222607331758743,-0.08270932352442102,-0.0803821571081445,-0.0016290124244366553,0.1633001910889151,-0.1593418291962486,-0.002600461935673426,0.012634031832363668,-0.01075033179140683,True,True,True,-0.010979007439300277,0.0038932168540228886,0.0062203832702994,0.0,0.0,0.0,3,True,1789455982.420561,-0.0002884691049926622,0.0007764498227432839,-0.003044418480352539,True,0.0,0.0
/multi_agv/cooperative_state,1789455982.4459882,1789455982.4457953,three_car_path,3,3,3,True,True,True,1789455982.4219804,1789455982.420561,1789455982.423574,0.1800560130308051,-0.18178141611621546,-0.1794564318436339,-0.0016753786084918731,0.16204844451595735,-0.1582767068385994,-0.002600461935673426,0.012634031832363668,-0.01075033179140683,True,True,True,0.16222607331758743,-0.08270932352442102,-0.0803821571081445,-0.0016290124244366553,0.1633001910889151,-0.1593418291962486,-0.002600461935673426,0.012634031832363668,-0.01075033179140683,True,True,True,-0.010979007439300277,0.0038932168540228886,0.0062203832702994,0.0,0.0,0.0,3,True,1789455982.420561,-0.0002884691049926622,0.0007764498227432839,-0.003044418480352539,True,0.0,0.0
/multi_agv/cooperative_state,1789455982.45602,1789455982.4558058,three_car_path,3,3,3,True,True,True,1789455982.441926,1789455982.4405823,1789455982.4434152,0.1800560130308051,-0.18178141611621546,-0.1794564318436339,-0.0016753786084918731,0.16204844451595735,-0.1582767068385994,-0.002600461935673426,0.012634031832363668,-0.01075033179140683,True,True,True,0.16222607331758743,-0.08270932352442102,-0.0803821571081445,-0.0016290124244366553,0.1633001910889151,-0.1593418291962486,-0.002600461935673426,0.012634031832363668,-0.01075033179140683,True,True,True,-0.010979007439300262,0.003893216854022878,0.0062203832702994,0.0,0.0,0.0,3,True,1789455982.4405823,-0.0002884691049926622,0.0007764498227432839,-0.003044418480352539,True,0.0,0.0
/multi_agv/cooperative_state,1789455982.4660318,1789455982.465805,three_car_path,3,3,3,True,True,True,1789455982.4539666,1789455982.460647,1789455982.4555674,0.18000969745914774,-0.18193516943386,-0.17942469834182806,-0.0018717194089872269,0.1622450224769042,-0.15791000644984388,-0.002172024046410259,0.015874189655630692,-0.007366614949937844,True,True,True,0.1621797395173238,-0.08286765275122597,-0.08034738671763426,-0.0018329922506901933,0.16381777113324678,-0.15863988405766197,-0.002172024046410259,0.01587418965563069,-0.007366614949937844,True,True,True,-0.011025341239563887,0.0037348876272179435,0.0062551536608096425,0.0,0.0,0.0,3,True,1789455982.4539666,-0.00034509998384543716,0.001114964941631537,-0.004281300689445073,True,0.0,0.0
