topic,bag_stamp,header_stamp,frame_id,robot_localization_source_1,robot_localization_source_2,robot_localization_source_3,robot_pose_valid_1,robot_pose_valid_2,robot_pose_valid_3,robot_pose_stamp_1,robot_pose_stamp_2,robot_pose_stamp_3,robot_pose_x_1,robot_pose_x_2,robot_pose_x_3,robot_pose_y_1,robot_pose_y_2,robot_pose_y_3,robot_pose_yaw_1,robot_pose_yaw_2,robot_pose_yaw_3,support_pose_valid_1,support_pose_valid_2,support_pose_valid_3,support_pose_x_1,support_pose_x_2,support_pose_x_3,support_pose_y_1,support_pose_y_2,support_pose_y_3,support_pose_yaw_1,support_pose_yaw_2,support_pose_yaw_3,path_state_valid_1,path_state_valid_2,path_state_valid_3,s_actual_1,s_actual_2,s_actual_3,s_dot_actual_1,s_dot_actual_2,s_dot_actual_3,load_localization_source,load_pose_valid,load_pose_stamp,load_pose_x,load_pose_y,load_pose_yaw,load_path_state_valid,load_s_actual,load_s_dot_actual
/multi_agv/cooperative_state,1789530280.4639866,1789530280.4630032,world,1,1,1,True,True,True,1789530280.461504,1789530280.4572332,1789530280.457359,0.19334249191284947,-0.18345502372475417,-0.18351553347470834,-4.461164628273142e-11,0.15000000000197894,-0.14999999999805913,-3.334699094637017e-08,1.4037233597719023e-09,1.413904104907715e-09,True,True,True,0.17551249191284948,-0.08437502372475417,-0.08443553347470834,5.499652022910486e-10,0.15000000014105985,-0.14999999985796952,-3.334699094637017e-08,1.4037233597719023e-09,1.413904104907715e-09,True,True,True,0.00230741115596179,0.002227516653689736,0.002167006903735565,0.02221841314409384,0.02236433614201658,0.021371689097034005,1,True,1789530280.4572332,0.0022339782377956974,2.7768518040165345e-10,-0.00010082742325376311,True,0.0022339782377956974,0.02159222090100655
/multi_agv/cooperative_state,1789530280.4740195,1789530280.472945,world,1,1,1,True,True,True,1789530280.461504,1789530280.4692345,1789530280.4653573,0.19334249191284947,-0.18303075419519402,-0.18324274057524725,-4.461164628273142e-11,0.1500000000026032,-0.14999999999766125,-3.334699094637017e-08,1.538363214592664e-09,1.5030066080612414e-09,True,True,True,0.17551249191284948,-0.08395075419519402,-0.08416274057524725,5.499652022910486e-10,0.1500000001550242,-0.14999999984874335,-3.334699094637017e-08,1.538363214592664e-09,1.5030066080612414e-09,True,True,True,0.00230741115596179,0.0026517861832498855,0.0024397998031966493,0.02221841314409384,0.024961875910105912,0.023918684627144138,1,True,1789530280.461504,0.002466332380802775,2.854153580014369e-10,-0.00035347201597973313,True,0.002466332380802775,0.023083917188991117
/multi_agv/cooperative_state,1789530280.4839962,1789530280.4829857,world,1,1,1,True,True,True,1789530280.4815328,1789530280.4772513,1789530280.477392,0.19408722149182153,-0.18272615246408005,-0.1827890420241857,-7.23750711096116e-11,0.1500000000030859,-0.14999999999694805,-4.109995632717301e-08,1.6280039538685287e-09,1.6365322430544893e-09,True,True,True,0.17625722149182155,-0.08364615246408005,-0.08370904202418569,6.604371502038829e-10,0.15000000016438853,-0.14999999983480045,-4.109995632717301e-08,1.6280039538685287e-09,1.6365322430544893e-09,True,True,True,0.003052140734933839,0.002956387914363857,0.0028934983542582187,0.027534835045888134,0.02756856249295168,0.026674815948686186,1,True,1789530280.4772513,0.002967342334518637,3.3000840948428037e-10,-0.0001047893276820067,True,0.002967342334518637,0.026793254768330423
/multi_agv/cooperative_state,1789530280.4936945,1789530280.4929066,world,1,1,1,True,True,True,1789530280.4815328,1789530280.4892204,1789530280.485358,0.19408722149182153,-0.18222744784215666,-0.1824676956416173,-7.23750711096116e-11,0.15000000000393204,-0.14999999999640765,-4.109995632717301e-08,1.7654264716782109e-09,1.7271335472912597e-09,True,True,True,0.17625722149182155,-0.08314744784215666,-0.0833876956416173,6.604371502038829e-10,0.1500000001788505,-0.14999999982528325,-4.109995632717301e-08,1.7654264716782109e-09,1.7271335472912597e-09,True,True,True,0.003052140734933839,0.0034550925362872454,0.003214844736826602,0.027534835045888134,0.030388058992217026,0.029407759006956254,1,True,1789530280.4815328,0.003240692669349232,3.3800146939097944e-10,-0.0004006301108751841,True,0.003240692669349232,0.028297493810960903
/multi_agv/cooperative_state,1789530280.504058,1789530280.5030377,world,1,1,1,True,True,True,1789530280.5015345,1789530280.497286,1789530280.4973893,0.19495627041777286,-0.18186931896198616,-0.1819357440209637,-1.1204305207422687e-10,0.15000000000458136,-0.1499999999954514,-5.009847248160781e-08,1.8576904459166599e-09,1.86355464393273e-09,True,True,True,0.17712627041777287,-0.08278931896198616,-0.08285574402096371,7.812127122728399e-10,0.15000000018864132,-0.1499999998108104,-5.009847248160781e-08,1.8576904459166599e-09,1.86355464393273e-09,True,True,True,0.003921189660885175,0.0038132214164577436,0.003746796357480194,0.033180782362448875,0.03319073921041353,0.032368990275591925,1,True,1789530280.497286,0.003827069144941038,3.863478703584175e-10,-0.00011067722002046757,True,0.003827069144941038,0.03238549796013195
/multi_agv/cooperative_state,1789530280.5138872,1789530280.5129187,world,1,1,1,True,True,True,1789530280.5015345,1789530280.509228,1789530280.5053644,0.19495627041777286,-0.18129258462756165,-0.18156065776288333,-1.1204305207422687e-10,0.15000000000569322,-0.1499999999947351,-5.009847248160781e-08,1.9986599042454145e-09,1.956627304622316e-09,True,True,True,0.17712627041777287,-0.08221258462756165,-0.08248065776288332,7.812127122728399e-10,0.15000000020372045,-0.14999999980087247,-5.009847248160781e-08,1.9986599042454145e-09,1.956627304622316e-09,True,True,True,0.003921189660885175,0.004389955750882257,0.0041218826155605785,0.033180782362448875,0.03621158803744946,0.0353016244632932,1,True,1789530280.5015345,0.004144342675776005,3.946868942618059e-10,-0.00044707541358310706,True,0.004144342675776005,0.03386500009889914
/multi_agv/cooperative_state,1789530280.5239317,1789530280.523018,world,1,1,1,True,True,True,1789530280.5215313,1789530280.5172331,1789530280.51737,0.19593598848309135,-0.18088368668118643,-0.18096232967832487,-1.6625917211265793e-10,0.15000000000653033,-0.14999999999352004,-6.046804568171638e-08,2.09259320982369e-09,2.100006391003717e-09,True,True,True,0.1781059884830914,-0.08180368668118643,-0.08188232967832487,9.118860823923442e-10,0.15000000021386445,-0.1499999997854514,-6.046804568171638e-08,2.09259320982369e-09,2.100006391003717e-09,True,True,True,0.004900907726203678,0.00479885369725748,0.004720210700119038,0.03882184277893841,0.039185152560489614,0.03820880976178096,1,True,1789530280.5172331,0.004806657374526735,4.467663831430774e-10,-0.00013103466690022987,True,0.004806657374526735,0.03812545927971103
/multi_agv/cooperative_state,1789530280.5335686,1789530280.532908,world,1,1,1,True,True,True,1789530280.5215313,1789530280.5292256,1789530280.5253627,0.19593598848309135,-0.18022329939944629,-0.18053175368029767,-1.6625917211265793e-10,0.15000000000795982,-0.1499999999925955,-6.046804568171638e-08,2.2378987551974205e-09,2.1956299001146817e-09,True,True,True,0.1781059884830914,-0.08114329939944628,-0.08145175368029767,9.118860823923442e-10,0.15000000022969084,-0.1499999997750525,-6.046804568171638e-08,2.2378987551974205e-09,2.1956299001146817e-09,True,True,True,0.004900907726203678,0.005459240978997623,0.005150786698146238,0.03882184277893841,0.04236150183905495,0.04134121933328515,1,True,1789530280.5215313,0.005170311801115851,4.5550814969876563e-10,-0.0005144892248677111,True,0.005170311801115851,0.03959998093087082
/multi_agv/cooperative_state,1789530280.5436316,1789530280.5429583,world,1,1,1,True,True,True,1789530280.541536,1789530280.5372558,1789530280.5373752,0.19707273858524063,-0.1797575348683881,-0.17983686077334116,-2.420624331826759e-10,0.15000000000902547,-0.14999999999101848,-7.28729978582976e-08,2.3345378963313124e-09,2.3383872616022927e-09,True,True,True,0.17924273858524067,-0.0806775348683881,-0.08075686077334115,1.0572631186307687e-09,0.15000000024033147,-0.14999999975933107,-7.28729978582976e-08,2.3345378963313124e-09,2.3383872616022927e-09,True,True,True,0.006037657828352964,0.005925005510055795,0.00584567960510275,0.04522007524875657,0.045489557967045235,0.04464248999195095,1,True,1789530280.5372558,0.0059361143145038415,5.12754505516793e-10,-0.00013216952598882258,True,0.0059361143145038415,0.044430098054927286
/multi_agv/cooperative_state,1789530280.5536125,1789530280.5529084,world,1,1,1,True,True,True,1789530280.541536,1789530280.5492268,1789530280.5453787,0.19707273858524063,-0.17901440158703177,-0.1793505479633541,-2.420624331826759e-10,0.15000000001081515,-0.1499999999898578,-7.28729978582976e-08,2.4839286183464537e-09,2.436680635042876e-09,True,True,True,0.17924273858524067,-0.07993440158703177,-0.08027054796335409,1.0572631186307687e-09,0.15000000025692278,-0.14999999974843148,-7.28729978582976e-08,2.4839286183464537e-09,2.436680635042876e-09,True,True,True,0.006037657828352964,0.006668138791412138,0.0063319924150898165,0.04522007524875657,0.04880720859042979,0.0478665360918657,1,True,1789530280.541536,0.006345929678284975,5.219181383164521e-10,-0.0005607413624862699,True,0.006345929678284975,0.04578501633049587
/multi_agv/cooperative_state,1789530280.563743,1789530280.5629442,world,1,1,1,True,True,True,1789530280.56153,1789530280.5572505,1789530280.5573692,0.19834605481897744,-0.17847810660600108,-0.17857119265611604,-3.441690614896976e-10,0.15000000001217242,-0.14999999998789995,-8.750596824924627e-08,2.577657642888198e-09,2.582012381679988e-09,True,True,True,0.1805160548189775,-0.07939810660600108,-0.07949119265611604,1.2160623523943615e-09,0.15000000026756674,-0.14999999973207417,-8.750596824924627e-08,2.577657642888198e-09,2.582012381679988e-09,True,True,True,0.007310974062089814,0.007204433772442824,0.007111347722327872,0.05177845359809762,0.05241347462843185,0.05129272415134909,1,True,1789530280.5572505,0.0072089185189535,5.838516429525636e-10,-0.0001550958979355257,True,0.0072089185189535,0.051022499449393736
/multi_agv/cooperative_state,1789530280.5736673,1789530280.5729113,world,1,1,1,True,True,True,1789530280.56153,1789530280.5692227,1789530280.5653605,0.19834605481897744,-0.17764925078422075,-0.17802752844540662,-3.441690614896976e-10,0.15000000001437117,-0.14999999998646957,-8.750596824924627e-08,2.7304190020061014e-09,2.682228217310012e-09,True,True,True,0.1805160548189775,-0.07856925078422075,-0.07894752844540662,1.2160623523943615e-09,0.15000000028490107,-0.1499999997207144,-8.750596824924627e-08,2.7304190020061014e-09,2.682228217310012e-09,True,True,True,0.007310974062089814,0.008033289594223156,0.007655011933037284,0.05177845359809762,0.055777133536128065,0.054640557825974156,1,True,1789530280.56153,0.007666425196450083,5.934163438181128e-10,-0.0006311084673020029,True,0.007666425196450083,0.052268098535889644
