topic,bag_stamp,header_stamp,frame_id,child_frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_x,linear_y,angular_z
/agv1/odom,1789530457.5443583,1789530457.5442183,agv1/odom,agv1/base_link,0.002074306236334568,-3.5177386770654073e-11,0.05969,0.0,0.0,-1.519484804646254e-08,0.9999999999999999,0.031094950865018928,0.0,-3.481371432596441e-07
/agv3/odom,1789530457.544652,1789530457.544585,agv3/odom,agv3/base_link,0.0019982191799523723,1.6506828050079356e-12,0.05969,0.0,0.0,6.846245792502259e-10,1.0,0.02922159625380893,0.0,1.1814033271826968e-08
/agv1/odom,1789530457.5523372,1789530457.5522172,agv1/odom,agv1/base_link,0.0023350630695866555,-4.3480554261565584e-11,0.05969,0.0,0.0,-1.6641477529333315e-08,0.9999999999999999,0.03410241219759262,0.0,-3.7526260969043326e-07
/agv2/odom,1789530457.552442,1789530457.5520873,agv2/odom,agv2/base_link,0.0022539866894387217,2.007537597415919e-12,0.05969,0.0,0.0,7.304765681226399e-10,1.0,0.033170406745124434,0.0,1.181361878659083e-08
/agv3/odom,1789530457.5566425,1789530457.5565865,agv3/odom,agv3/base_link,0.002383418045818713,2.2062472478928412e-12,0.05969,0.0,0.0,7.551410607931075e-10,1.0,0.0338422423185909,0.0,1.1625358675233086e-08
/agv2/odom,1789530457.5603976,1789530457.5601065,agv2/odom,agv2/base_link,0.0025202051096560136,2.4090908050277316e-12,0.05969,0.0,0.0,7.778833133187391e-10,1.0,0.033170406745124434,0.0,1.181361878659083e-08
/agv1/odom,1789530457.5644612,1789530457.5642161,agv1/odom,agv1/base_link,0.002756240707804563,-5.847232015825004e-11,0.05969,0.0,0.0,-1.8943463464538013e-08,0.9999999999999998,0.03709959241256925,0.0,-4.0056985810267337e-07
/agv3/odom,1789530457.5646389,1789530457.5645833,agv3/odom,agv3/base_link,0.002662738215570242,2.6414625142286647e-12,0.05969,0.0,0.0,8.029823472810449e-10,1.0,0.03492838132479791,0.0,1.1964859524890941e-08
/agv2/odom,1789530457.572409,1789530457.5720687,agv2/odom,agv2/base_link,0.002962661613843967,3.1293138648117876e-12,0.05969,0.0,0.0,8.489042802040103e-10,1.0,0.038982566775163985,0.0,1.2013315201622645e-08
/agv1/odom,1789530457.5724266,1789530457.5722163,agv1/odom,agv1/base_link,0.0030655088594611643,-7.070555133870462e-11,0.05969,0.0,0.0,-2.061092430061251e-08,0.9999999999999998,0.040218321519978076,0.0,-4.331692054905913e-07
/agv3/odom,1789530457.5767238,1789530457.5766199,agv3/odom,agv3/base_link,0.003118742522350442,3.407510472261097e-12,0.05969,0.0,0.0,8.746847690588311e-10,1.0,0.03978177599660429,0.0,1.1813780321938355e-08
/agv2/odom,1789530457.5802753,1789530457.580086,agv2/odom,agv2/base_link,0.003287287350041656,3.696384050251823e-12,0.05969,0.0,0.0,8.970300058308567e-10,1.0,0.04202341348684076,0.0,1.2007906147191796e-08
/agv1/odom,1789530457.5844195,1789530457.5842183,agv1/odom,agv1/base_link,0.0035718034608183966,-9.295393441104617e-11,0.05969,0.0,0.0,-2.3330387843856212e-08,0.9999999999999998,0.0431691957629303,0.0,-4.6318999467438295e-07
/agv3/odom,1789530457.5846655,1789530457.5845857,agv3/odom,agv3/base_link,0.003444364560717649,3.992918060072652e-12,0.05969,0.0,0.0,9.231284625599301e-10,1.0,0.04087831181578275,0.0,1.216313531205339e-08
/agv2/odom,1789530457.592268,1789530457.5920796,agv2/odom,agv2/base_link,0.0038040728202846205,4.661455268213203e-12,0.05969,0.0,0.0,9.695912961404929e-10,1.0,0.04519162106144927,0.0,1.2274494774478853e-08
/agv1/odom,1789530457.5923703,1789530457.5922194,agv1/odom,agv1/base_link,0.0039306958074276895,-1.1039278438473187e-10,0.05969,0.0,0.0,-2.5264633496391294e-08,0.9999999999999997,0.04654718772852992,0.0,-5.038672725450739e-07
/agv3/odom,1789530457.5967174,1789530457.5965867,agv3/odom,agv3/base_link,0.003971683058151831,5.0059419356773094e-12,0.05969,0.0,0.0,9.95912463608306e-10,1.0,0.04605949088701676,0.0,1.2062222052119402e-08
/agv2/odom,1789530457.6002,1789530457.600063,agv2/odom,agv2/base_link,0.004164922491465765,5.378892186487979e-12,0.05969,0.0,0.0,1.0185965404474473e-09,1.0,0.04519162106144927,0.0,1.2274494774478853e-08
/agv1/odom,1789530457.6044722,1789530457.6043234,agv1/odom,agv1/base_link,0.004520122948630743,-1.4206121170268534e-10,0.05969,0.0,0.0,-2.8466555113126898e-08,0.9999999999999996,0.04977654170124382,0.0,-5.417205018232249e-07
/agv3/odom,1789530457.6046672,1789530457.6045883,agv3/odom,agv3/base_link,0.0043489612968365485,5.776106920798668e-12,0.05969,0.0,0.0,1.0454588306174628e-09,1.0,0.047151498853603535,0.0,1.2384430908569687e-08
/agv2/odom,1789530457.612229,1789530457.612078,agv2/odom,agv2/base_link,0.0047617622040162415,6.639390804732704e-12,0.05969,0.0,0.0,1.0927048155195962e-09,1.0,0.05185292974966558,0.0,1.254885224187942e-08
/agv1/odom,1789530457.6123853,1789530457.6122897,agv1/odom,agv1/base_link,0.004930474741875039,-1.6634486602193708e-10,0.05969,0.0,0.0,-3.0722004051852985e-08,0.9999999999999996,0.05325682859786731,0.0,-5.909351444783663e-07
/agv3/odom,1789530457.6166449,1789530457.6165876,agv3/odom,agv3/base_link,0.004952342966220947,7.083607535867672e-12,0.05969,0.0,0.0,1.1196481519704093e-09,1.0,0.05254963545883881,0.0,1.2327654690579442e-08
/agv2/odom,1789530457.6202319,1789530457.6200907,agv2/odom,agv2/base_link,0.005177470408553884,7.56879471140058e-12,0.05969,0.0,0.0,1.1430074664531276e-09,1.0,0.05185292974966558,0.0,1.254885224187942e-08
/agv1/odom,1789530457.6244273,1789530457.6242523,agv1/odom,agv1/base_link,0.005580613875496193,-2.0864115607299583e-10,0.05969,0.0,0.0,-3.4347043431637296e-08,0.9999999999999994,0.05652547698876898,0.0,-6.361929046162833e-07
/agv3/odom,1789530457.6246493,1789530457.624587,agv3/odom,agv3/base_link,0.005381221881154555,8.065599233190112e-12,0.05969,0.0,0.0,1.1700229674005413e-09,1.0,0.05361712278469801,0.0,1.2595421853116745e-08
/agv2/odom,1789530457.6322458,1789530457.632077,agv2/odom,agv2/base_link,0.005850589385393004,9.158601373515448e-12,0.05969,0.0,0.0,1.2182954645112432e-09,1.0,0.058454670773130865,0.0,1.2801292218334915e-08
/agv1/odom,1789530457.632358,1789530457.632222,agv1/odom,agv1/base_link,0.006045583807047035,-2.418074723561585e-10,0.05969,0.0,0.0,-3.700137440887374e-08,0.9999999999999993,0.06015045261195315,0.0,-6.960397021576107e-07
/agv3/odom,1789530457.6366751,1789530457.6365895,agv3/odom,agv3/base_link,0.006063213783739132,9.714162317208425e-12,0.05969,0.0,0.0,1.2455634301744567e-09,1.0,0.0592197954476783,0.0,1.2570067012467087e-08
/agv2/odom,1789530457.640255,1789530457.6400921,agv2/odom,agv2/base_link,0.006319312839361015,1.0324745498986766e-11,0.05969,0.0,0.0,1.2696195206274297e-09,1.0,0.058454670773130865,0.0,1.2801292218334915e-08
/agv1/odom,1789530457.6443965,1789530457.6442223,agv1/odom,agv1/base_link,0.006779969361779718,-2.9928325036102425e-10,0.05969,0.0,0.0,-4.128523944935124e-08,0.9999999999999991,0.06328855868275056,0.0,-7.498006157615683e-07
/agv3/odom,1789530457.6447031,1789530457.6445901,agv3/odom,agv3/base_link,0.006545654804380674,1.094078236598626e-11,0.05969,0.0,0.0,1.296964979857762e-09,1.0,0.06030432100989913,0.0,1.2850214568149005e-08
/agv2/odom,1789530457.6521864,1789530457.6520514,agv2/odom,agv2/base_link,0.007071969205320543,1.2293971918681909e-11,0.05969,0.0,0.0,1.3462910786188331e-09,1.0,0.06520377675615568,0.0,1.3055233315002155e-08
/agv1/odom,1789530457.6523705,1789530457.6522205,agv1/odom,agv1/base_link,0.007300947895183365,-3.439229726328518e-10,0.05969,0.0,0.0,-4.442544065952346e-08,0.999999999999999,0.06699181186604407,0.0,-8.207508254792444e-07
/agv3/odom,1789530457.656692,1789530457.6565905,agv3/odom,agv3/base_link,0.00730805401785827,1.2978326691030622e-11,0.05969,0.0,0.0,1.3740018012242672e-09,1.0,0.06597870828030448,0.0,1.2815757893588772e-08
/agv2/odom,1789530457.6601562,1789530457.6600542,agv2/odom,agv2/base_link,0.007593749388056327,1.3726163563561682e-11,0.05969,0.0,0.0,1.3985268498828418e-09,1.0,0.06520377675615568,0.0,1.3055233315002155e-08
/agv1/odom,1789530457.6643484,1789530457.6642191,agv1/odom,agv1/base_link,0.008130609180072763,-4.2191347138232736e-10,0.05969,0.0,0.0,-4.9610643815256574e-08,0.9999999999999988,0.07021952114013302,0.0,-8.860348595660261e-07
/agv3/odom,1789530457.664695,1789530457.6645846,agv3/odom,agv3/base_link,0.007844640180511696,1.4480802311283101e-11,0.05969,0.0,0.0,1.426062157250385e-09,1.0,0.06712024611392735,0.0,1.3024204021249627e-08
/agv2/odom,1789530457.6721747,1789530457.67205,agv2/odom,agv2/base_link,0.008431135356504589,1.6133989121566262e-11,0.05969,0.0,0.0,1.476511135578562e-09,1.0,0.07211885145740281,0.0,1.3247756117064027e-08
/agv1/odom,1789530457.672326,1789530457.6722221,agv1/odom,agv1/base_link,0.008707545258722704,-4.812799733358551e-10,0.05969,0.0,0.0,-5.33255113399633e-08,0.9999999999999986,0.07398349668967753,0.0,-9.710356960843029e-07
/agv3/odom,1789530457.6766915,1789530457.6765883,agv3/odom,agv3/base_link,0.008689406724843583,1.695740309794005e-11,0.05969,0.0,0.0,1.5041790035752456e-09,1.0,0.07288722548348622,0.0,1.2998655626003027e-08
/agv2/odom,1789530457.6801538,1789530457.6800532,agv2/odom,agv2/base_link,0.009008305986423054,1.7868983417630534e-11,0.05969,0.0,0.0,1.5295225086475739e-09,1.0,0.07211885145740281,0.0,1.3247756117064027e-08
/agv1/odom,1789530457.6843493,1789530457.6842191,agv1/odom,agv1/base_link,0.009622451825087109,-5.844352291817591e-10,0.05969,0.0,0.0,-5.9469162927427955e-08,0.9999999999999982,0.07739417341783845,0.0,-1.0507143151418233e-06
/agv3/odom,1789530457.6846755,1789530457.6845844,agv3/odom,agv3/base_link,0.00928137354728727,1.8769123308798612e-11,0.05969,0.0,0.0,1.5563306199339877e-09,1.0,0.07403040649769366,0.0,1.3043992442694163e-08
/agv2/odom,1789530457.692168,1789530457.6920493,agv2/odom,agv2/base_link,0.009928983966752182,2.075757123150554e-11,0.05969,0.0,0.0,1.6076338038573112e-09,1.0,0.0790690184542061,0.0,1.3265879558059343e-08
/agv1/odom,1789530457.69233,1789530457.6922219,agv1/odom,agv1/base_link,0.010256808330715905,-6.626482403480549e-10,0.05969,0.0,0.0,-6.387427187171109e-08,0.999999999999998,0.08115501086312907,0.0,-1.1513273714894637e-06
/agv3/odom,1789530457.696717,1789530457.6965885,agv3/odom,agv3/base_link,0.01020927084269589,2.1731189462404445e-11,0.05969,0.0,0.0,1.6345538256246073e-09,1.0,0.07983326815602466,0.0,1.301037622926373e-08
/agv2/odom,1789530457.7001545,1789530457.700054,agv2/odom,agv2/base_link,0.010561870101919783,2.2826070368817052e-11,0.05969,0.0,0.0,1.660725335028701e-09,1.0,0.0790690184542061,0.0,1.3265879558059343e-08
