stamp,load_s_reference,load_velocity_reference,evaluation_active,agv1_position_error,agv1_velocity_error,agv1_psi,agv1_gamma,agv1_gamma_inverse_upsilon,agv1_composite_error,agv1_channel_input_raw,agv1_channel_input_limited,agv1_theta_hat_1,agv1_theta_hat_2,agv1_disturbance_estimate,agv2_position_error,agv2_velocity_error,agv2_psi,agv2_gamma,agv2_gamma_inverse_upsilon,agv2_composite_error,agv2_channel_input_raw,agv2_channel_input_limited,agv2_theta_hat_1,agv2_theta_hat_2,agv2_disturbance_estimate,agv3_position_error,agv3_velocity_error,agv3_psi,agv3_gamma,agv3_gamma_inverse_upsilon,agv3_composite_error,agv3_channel_input_raw,agv3_channel_input_limited,agv3_theta_hat_1,agv3_theta_hat_2,agv3_disturbance_estimate
1789284507.559198,0.0053465969430841675,0.0165187764646355,True,-0.0034557873288620566,-0.006744992892429958,-0.006946586634171752,1.0611833882685369,5.588180236594883e-05,-0.01109353142880622,0.08359882062346308,0.08359882062346308,-2.3124922830415996e-07,-1.509981528791446e-08,0.07916135926642179,0.00037733124568586733,-0.0027884871651258827,-0.002822012600441387,1.0242750304150343,9.511615699584899e-06,-0.0023692151056183466,0.042845957660138316,0.042845957660138316,1.3041788121070947e-07,6.165232823827929e-09,0.07488675834887565,0.000857074211770152,-0.0004165328422039982,-0.00041726892645313474,1.00353931806113,2.1167443065953725e-07,0.0006112201276710477,0.028440787114390124,0.028440787114390124,2.9565540467991795e-07,1.874181569003684e-08,0.07530679781252497
1789284507.5692077,0.0055157498234643595,0.016831718555391714,True,-0.003461297294064747,-0.007281540846222866,-0.007516667831966181,1.0662257134672581,6.519067279364353e-05,-0.011670224584843878,0.08637046478056476,0.08637046478056476,-2.620199100468115e-07,-1.64646433952183e-08,0.0792227644850266,0.00041026848089421777,-0.002023922258311944,-0.002041440478915138,1.0174304350840777,5.0089116112485494e-06,-0.0015491183018420764,0.03899894246325289,0.03899894246325289,1.1912139244000457e-07,5.74690819581648e-09,0.07484239094743414,0.000791111760302392,-0.0018238873531969766,-0.0018380945094973824,1.0156756205088726,4.0668271381317455e-06,-0.0008887603971345121,0.035930929217240185,0.035930929217240185,2.8871546332018847e-07,1.8491914136129583e-08,0.07525532499702357
1789284507.579255,0.005686524779275427,0.017143081582625567,True,-0.0035856737159883478,-0.008343937426242834,-0.008654070824056372,1.0765150107329187,8.571529025105453e-05,-0.012956879283242389,0.09231533971480202,0.09231533971480202,-2.9698399800952674e-07,-1.7751518195111102e-08,0.07929857786310061,0.0005661186922693885,-0.0004203828727698325,-0.0004211283174254719,1.0035515330131526,2.1577272004868684e-07,0.00025821411329779426,0.03030011529049477,0.03030011529049477,1.2102858065644283e-07,5.832103096998078e-09,0.0747853274981438,0.000546968943863667,-0.0026219013491445148,-0.002651334977863932,1.0226528707341338,8.414025758239465e-06,-0.0019949722452275317,0.04134227619828748,0.04134227619828748,2.734412238075716e-07,1.7973045621302458e-08,0.07521567465482212
1789284507.5891936,0.005861891356602141,0.01745880542750901,True,-0.0037630762407326115,-0.008064139210252836,-0.008352389229784287,1.0735075858475227,8.004809307658983e-05,-0.012868080718663421,0.09203548630708343,0.09203548630708343,-3.3185613170050064e-07,-1.92166470149341e-08,0.07937361193000048,0.0004042474480380901,-0.001106494698407609,-0.0011116679594345884,1.0093856975546982,1.4961681869345198e-06,-0.0006265710217888804,0.0347047330457803,0.0347047330457803,1.162213763825149e-07,5.6267939461186016e-09,0.07473158517053025,0.0005863294470443573,-0.0021816160817127034,-0.0022018736644038666,1.0187088593755689,5.8231311711525336e-06,-0.001498278327950638,0.039050070591195384,0.039050070591195384,2.615095999688325e-07,1.753915109891009e-08,0.07517056494896313
1789284507.5992372,0.006038629148514164,0.0177718317183419,True,-0.0037168416748913765,-0.007004023045740122,-0.007219226509660905,1.062947976960723,6.032201809448494e-05,-0.011679436519530557,0.08677273290102655,0.08677273290102655,-3.6617172522283066e-07,-2.0929647370659116e-08,0.07943392476451482,0.00034170159802856225,-0.002076897648547283,-0.002095190718782767,1.0177398824145845,5.27688504416773e-06,-0.0016851488011484924,0.03995891735755391,0.03995891735755391,1.0313396689829484e-07,5.121230210280111e-09,0.07468918556300572,0.0006945467046409245,-0.001512700966304105,-0.0015223682034030122,1.0128468365197325,2.7975815068317454e-06,-0.0006889121578339028,0.03523880205839703,0.03523880205839703,2.5583794187618416e-07,1.731465973424693e-08,0.07511769941519697
1789284507.6092482,0.006220438182887689,0.018089227233731978,True,-0.0037877346671722385,-0.007839329955711072,-0.008109685479283223,1.070859805728606,7.561800607142741e-05,-0.012654967079889909,0.09132255041482798,0.09132255041482798,-4.058408818100446e-07,-2.2641542874462162e-08,0.0795062593236178,0.0006577941462796617,-0.0016650429335828068,-0.0016767329157322051,1.0141207165704555,3.389492721889229e-06,-0.0008873799401966111,0.036291442223199855,0.036291442223199855,9.564271654763243e-08,4.827161953569758e-09,0.07463817610598769,0.0004467458891232413,-0.0017117959310325795,-0.001724155527392788,1.0145241076588565,3.5826987074616386e-06,-0.0011880604604448987,0.037687124084764365,0.037687124084764365,2.460815817328414e-07,1.692039481772226e-08,0.07506941494366287
1789284507.6192086,0.006404329252763594,0.018405729201632443,True,-0.004059546103929774,-0.008853159211512128,-0.009199376075812135,1.0806373277926828,9.650623957810235e-05,-0.014070831400527863,0.09778094489112538,0.09778094489112538,-4.484850591528309e-07,-2.429941147667905e-08,0.07959462909372578,0.0007862872988845379,-0.0003878976057734365,-0.00038852477592200114,1.0032378994748803,1.836407315597898e-07,0.0005550199827394443,0.029341899914716203,0.029341899914716203,1.0041907678299741e-07,5.042679976711266e-09,0.07458408263189381,0.00037918869420185564,-0.0026165828747412093,-0.0026455531665886245,1.0223401958587581,8.37680248142077e-06,-0.002190526733546398,0.04263735113732297,0.04263735113732297,2.278069905933757e-07,1.6246823342878348e-08,0.07503178805856178
1789284507.6291924,0.006592292435855589,0.018725218653970352,True,-0.004171789857075066,-0.009109064306552762,-0.00947513130256538,1.0829372443379648,0.00010213609528240967,-0.014481279131055458,0.09972255361882522,0.09972255361882522,-4.940963293859746e-07,-2.6040101580443643e-08,0.07968813023653035,0.0008293377280084707,-0.0012114989437973997,-0.0012176325590554542,1.0101669515279734,1.7920689257049394e-06,-0.00022242728544528945,0.03328844573863207,0.03328844573863207,9.838522942017666e-08,4.958397880854642e-09,0.0745264442275373,0.00040729630770556125,-0.002286337772432638,-0.002308341770943427,1.0193971378378321,6.3900545168757e-06,-0.0018195862016967535,0.040937459454634346,0.040937459454634346,2.121107080066249e-07,1.5638953760570653e-08,0.0749901539510464
1789284507.6392539,0.006781274970678722,0.019041479684201924,True,-0.004175408256259668,-0.008479956473622933,-0.008794868879145256,1.0764669719418085,8.841266401885521e-05,-0.013805358786656858,0.09682994377691351,0.09682994377691351,-5.400951190175137e-07,-2.8007897788735728e-08,0.07977235156292145,0.0007576676709506736,-0.0022679071216900153,-0.0022894915380287178,1.0191805140978458,6.283792282454766e-06,-0.0013802903328879097,0.03900718299670167,0.03900718299670167,8.573004002101494e-08,4.485783511536144e-09,0.07448123336662199,0.0006638317466806992,-0.0008022510878465013,-0.0008049254744510748,1.0066851514580264,7.850313921702106e-07,-8.327378434235802e-06,0.032253027100136236,0.032253027100136236,2.1198374800047316e-07,1.563175206146539e-08,0.07493069627656364
1789284507.6491916,0.006975568414596291,0.019362117184680023,True,-0.004240502941577854,-0.008191901775423062,-0.0084843062345962,1.0734208617252,8.242760407995904e-05,-0.013572909764489625,0.09589677208461177,0.09589677208461177,-5.879436572091887e-07,-3.018990616226206e-08,0.07985451241024312,0.0007685344276645795,-0.002926134462527763,-0.0029621190717263697,1.0248389614527085,1.046085274263297e-05,-0.002039877758528874,0.04229098480105929,0.04229098480105929,6.621398871325476e-08,3.804613142397941e-09,0.07444241954278653,0.0007149898981462033,-0.0011792896002298763,-0.0011850659596119911,1.0098351200307694,1.6958555775887574e-06,-0.00032707808183654716,0.0339316883499199,0.0339316883499199,2.0887183167115316e-07,1.5496334930172612e-08,0.07487385800355667
