stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper
1789284551.4192464,0.09985220889226891,0.09985220889226891,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.484595664649409,0.09987073471816794,0.0,0.000357161652570781,-7.637158735620818e-05,0.0,-0.14195255090016792,0.14195255090016792,-0.015,0.115,1.0,0.0,0.0,4.484790036132458,0.09982857192670068,0.0,0.0003279521956338627,-7.125074607425286e-05,0.0,-0.12046878292056228,0.12046878292056228,-0.015,0.115,1.0,0.0,0.0,4.484657525306766,0.09985732003193808,0.0,0.0003482811965991764,-7.489517079874722e-05,0.0,-0.17670400402758352,0.17670400402758352
1789284551.4292543,0.0998527371724746,0.0998527371724746,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.488647051842856,0.09987131235168221,0.0,0.00035108674048007756,-7.637074138090169e-05,0.0,-0.14195253769596541,0.14195253769596541,-0.015,0.115,1.0,0.0,0.0,4.488840594009217,0.09982904050774628,0.0,0.00032688230874100555,-7.091089670466233e-05,0.0,-0.12046879059943608,0.12046879059943608,-0.015,0.115,1.0,0.0,0.0,4.488708629714978,0.09985785865799526,0.0,0.0003439025145965059,-7.472562298675093e-05,0.0,-0.17670402992181258,0.17670402992181258
1789284551.4393578,0.0998527371724746,0.0998527371724746,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.488647051842856,0.09987131235168221,0.0,0.00035108674048007756,-7.637074138090169e-05,0.0,-0.14195256681618354,0.14195256681618354,-0.015,0.115,1.0,0.0,0.0,4.488840594009217,0.09982904050774628,0.0,0.00032688230874100555,-7.091089670466233e-05,0.0,-0.12046877364055103,0.12046877364055103,-0.015,0.115,1.0,0.0,0.0,4.488708629714978,0.09985785865799526,0.0,0.0003439025145965059,-7.472562298675093e-05,0.0,-0.17670397275012614,0.17670397275012614
1789284551.4491966,0.0998527371724746,0.0998527371724746,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.488647051842856,0.09987131235168221,0.0,0.00035108674048007756,-7.637074138090169e-05,0.0,-0.14195253229182483,0.14195253229182483,-0.015,0.115,1.0,0.0,0.0,4.488840594009217,0.09982904050774628,0.0,0.00032688230874100555,-7.091089670466233e-05,0.0,-0.12046879374125441,0.12046879374125441,-0.015,0.115,1.0,0.0,0.0,4.488708629714978,0.09985785865799526,0.0,0.0003439025145965059,-7.472562298675093e-05,0.0,-0.17670404050344288,0.17670404050344288
1789284551.4592228,0.0998527371724746,0.0998527371724746,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.488647051842856,0.09987131235168221,0.0,0.00035108674048007756,-7.637074138090169e-05,0.0,-0.14195256114265967,0.14195256114265967,-0.015,0.115,1.0,0.0,0.0,4.488840594009217,0.09982904050774628,0.0,0.00032688230874100555,-7.091089670466233e-05,0.0,-0.120468776950068,0.120468776950068,-0.015,0.115,1.0,0.0,0.0,4.488708629714978,0.09985785865799526,0.0,0.0003439025145965059,-7.472562298675093e-05,0.0,-0.17670398389860323,0.17670398389860323
1789284551.469191,0.09985192967675878,0.09985192967675878,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.492662870395884,0.09986937196987353,0.0,0.0003995797788027386,-7.565284943229776e-05,0.0,-0.1419525367478157,0.1419525367478157,-0.015,0.115,1.0,0.0,0.0,4.4928573969938155,0.09982961322221946,0.0,0.0003255064605998115,-7.108999418491135e-05,0.0,-0.12046879115214942,0.12046879115214942,-0.015,0.115,1.0,0.0,0.0,4.492724802670457,0.09985680383818332,0.0,0.0003748733781984816,-7.433667700366411e-05,0.0,-0.17670403178213046,0.17670403178213046
1789284551.479356,0.09985192967675878,0.09985192967675878,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.492662870395884,0.09986937196987353,0.0,0.0003995797788027386,-7.565284943229776e-05,0.0,-0.14195255064930237,0.14195255064930237,-0.015,0.115,1.0,0.0,0.0,4.4928573969938155,0.09982961322221946,0.0,0.0003255064605998115,-7.108999418491135e-05,0.0,-0.1204687830657209,0.1204687830657209,-0.015,0.115,1.0,0.0,0.0,4.492724802670457,0.09985680383818332,0.0,0.0003748733781984816,-7.433667700366411e-05,0.0,-0.17670400450750276,0.17670400450750276
1789284551.4891942,0.09985192967675878,0.09985192967675878,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.492662870395884,0.09986937196987353,0.0,0.0003995797788027386,-7.565284943229776e-05,0.0,-0.14195253254236928,0.14195253254236928,-0.015,0.115,1.0,0.0,0.0,4.4928573969938155,0.09982961322221946,0.0,0.0003255064605998115,-7.108999418491135e-05,0.0,-0.12046879359622918,0.12046879359622918,-0.015,0.115,1.0,0.0,0.0,4.492724802670457,0.09985680383818332,0.0,0.0003748733781984816,-7.433667700366411e-05,0.0,-0.17670404001782944,0.17670404001782944
1789284551.499252,0.09985192967675878,0.09985192967675878,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.492662870395884,0.09986937196987353,0.0,0.0003995797788027386,-7.565284943229776e-05,0.0,-0.1419525537528336,0.1419525537528336,-0.015,0.115,1.0,0.0,0.0,4.4928573969938155,0.09982961322221946,0.0,0.0003255064605998115,-7.108999418491135e-05,0.0,-0.12046878126001374,0.12046878126001374,-0.015,0.115,1.0,0.0,0.0,4.492724802670457,0.09985680383818332,0.0,0.0003748733781984816,-7.433667700366411e-05,0.0,-0.17670399842288073,0.17670399842288073
1789284551.5091965,0.09985077857510145,0.09985077857510145,-0.009999999999999998,0.11,True,True,-0.015,0.115,1.0,0.0,0.0,4.496664993130552,0.09986769428747704,0.0,0.00041877107830181595,-8.081477712024995e-05,0.0,-0.1419525203199364,0.1419525203199364,-0.015,0.115,1.0,0.0,0.0,4.496861238413904,0.0998291580522833,0.0,0.0003271209212893922,-6.694936361792414e-05,0.0,-0.1204688006828549,0.1204688006828549,-0.015,0.115,1.0,0.0,0.0,4.496727531829534,0.09985548338554406,0.0,0.00038805574710134585,-7.594139456914846e-05,0.0,-0.17670406394309732,0.17670406394309732
