stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv2_boundary_lower,agv2_boundary_upper,agv3_boundary_lower,agv3_boundary_upper
1788955637.637585,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.6476114,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.6575797,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.6676123,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.6777015,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.6875403,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.697568,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.7075639,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.7175536,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.7275624,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.737627,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.74757,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.7575316,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.7675629,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.7776732,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.7875042,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.7975905,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.8076339,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.8175092,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.8275528,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.8375335,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955637.8476255,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
