stamp,load_s_reference,load_velocity_reference,evaluation_active
1788955637.637585,nan,nan,False
1788955637.6476114,nan,nan,False
1788955637.6575797,nan,nan,False
1788955637.6676123,nan,nan,False
1788955637.6777015,nan,nan,False
1788955637.6875403,nan,nan,False
1788955637.697568,nan,nan,False
1788955637.7075639,nan,nan,False
1788955637.7175536,nan,nan,False
1788955637.7275624,nan,nan,False
1788955637.737627,nan,nan,False
1788955637.74757,nan,nan,False
1788955637.7575316,nan,nan,False
1788955637.7675629,nan,nan,False
1788955637.7776732,nan,nan,False
1788955637.7875042,nan,nan,False
1788955637.7975905,nan,nan,False
1788955637.8076339,nan,nan,False
1788955637.8175092,nan,nan,False
1788955637.8275528,nan,nan,False
1788955637.8375335,nan,nan,False
1788955637.8476255,nan,nan,False
1788955637.8576417,nan,nan,False
1788955637.8675404,nan,nan,False
1788955637.8775556,nan,nan,False
1788955637.8875399,nan,nan,False
1788955637.897544,nan,nan,False
1788955637.9076133,nan,nan,False
1788955637.9175587,nan,nan,False
1788955637.927567,nan,nan,False
1788955637.9375396,nan,nan,False
1788955637.9475393,nan,nan,False
1788955637.9575598,nan,nan,False
1788955637.9675593,nan,nan,False
1788955637.9775712,nan,nan,False
1788955637.9875572,nan,nan,False
1788955637.9975517,nan,nan,False
1788955638.0075707,nan,nan,False
1788955638.0175076,nan,nan,False
1788955638.0275085,nan,nan,False
1788955638.0375087,nan,nan,False
1788955638.0475104,nan,nan,False
1788955638.0575085,nan,nan,False
1788955638.06751,nan,nan,False
1788955638.0775096,nan,nan,False
1788955638.087663,nan,nan,False
1788955638.0975413,nan,nan,False
1788955638.107543,nan,nan,False
1788955638.1175585,nan,nan,False
1788955638.1275425,nan,nan,False
1788955638.1375515,nan,nan,False
1788955638.1475408,nan,nan,False
1788955638.1575422,nan,nan,False
1788955638.167554,nan,nan,False
1788955638.1775267,nan,nan,False
1788955638.1876607,nan,nan,False
1788955638.1975625,nan,nan,False
1788955638.2075708,nan,nan,False
1788955638.217591,nan,nan,False
1788955638.22753,nan,nan,False
1788955638.2375603,nan,nan,False
1788955638.2475202,nan,nan,False
1788955638.257527,nan,nan,False
1788955638.2676356,nan,nan,False
1788955638.2775452,nan,nan,False
1788955638.2875586,nan,nan,False
1788955638.297577,nan,nan,False
1788955638.3076413,nan,nan,False
1788955638.317564,nan,nan,False
1788955638.3275592,nan,nan,False
1788955638.3375306,nan,nan,False
1788955638.3475835,nan,nan,False
1788955638.357543,nan,nan,False
1788955638.3675296,nan,nan,False
1788955638.377643,nan,nan,False
1788955638.3875675,nan,nan,False
1788955638.3975582,nan,nan,False
1788955638.407534,nan,nan,False
1788955638.4176574,nan,nan,False
1788955638.4275405,nan,nan,False
1788955638.43759,nan,nan,False
1788955638.447526,nan,nan,False
1788955638.457518,nan,nan,False
1788955638.4675725,nan,nan,False
1788955638.4775362,nan,nan,False
1788955638.4875405,nan,nan,False
1788955638.4975102,nan,nan,False
1788955638.5075262,nan,nan,False
1788955638.5176544,nan,nan,False
1788955638.5275571,nan,nan,False
1788955638.537571,nan,nan,False
1788955638.5475209,nan,nan,False
1788955638.5575392,nan,nan,False
1788955638.567528,nan,nan,False
1788955638.5775373,nan,nan,False
1788955638.5875137,nan,nan,False
1788955638.5976648,nan,nan,False
1788955638.607511,nan,nan,False
1788955638.6177104,nan,nan,False
1788955638.627539,nan,nan,False
1788955638.6375382,nan,nan,False
1788955638.647627,nan,nan,False
1788955638.657545,nan,nan,False
1788955638.6675446,nan,nan,False
1788955638.677533,nan,nan,False
1788955638.6875124,nan,nan,False
1788955638.6975048,nan,nan,False
1788955638.7075508,nan,nan,False
1788955638.7175593,nan,nan,False
1788955638.7275908,nan,nan,False
1788955638.7375696,nan,nan,False
1788955638.7475345,nan,nan,False
1788955638.7575636,nan,nan,False
1788955638.7675738,nan,nan,False
1788955638.777558,nan,nan,False
1788955638.787561,nan,nan,False
1788955638.7975307,nan,nan,False
1788955638.8075228,nan,nan,False
1788955638.8175433,nan,nan,False
1788955638.8275373,nan,nan,False
1788955638.837641,nan,nan,False
1788955638.8475187,nan,nan,False
1788955638.8575585,nan,nan,False
1788955638.8675966,nan,nan,False
1788955638.8776302,nan,nan,False
1788955638.8875196,nan,nan,False
1788955638.8975718,nan,nan,False
1788955638.9076467,nan,nan,False
1788955638.917675,nan,nan,False
1788955638.927562,nan,nan,False
1788955638.9375157,nan,nan,False
1788955638.9475532,nan,nan,False
1788955638.957577,nan,nan,False
1788955638.9675171,nan,nan,False
1788955638.9775307,nan,nan,False
1788955638.9875085,nan,nan,False
1788955638.9975388,nan,nan,False
1788955639.0075266,nan,nan,False
1788955639.0175335,nan,nan,False
1788955639.0275733,nan,nan,False
1788955639.0375652,nan,nan,False
1788955639.0476327,nan,nan,False
1788955639.0575686,nan,nan,False
1788955639.067632,nan,nan,False
1788955639.0775232,nan,nan,False
1788955639.087532,nan,nan,False
1788955639.097527,nan,nan,False
1788955639.107577,nan,nan,False
1788955639.1176598,nan,nan,False
1788955639.127633,nan,nan,False
1788955639.137575,nan,nan,False
1788955639.147573,nan,nan,False
1788955639.1575594,nan,nan,False
1788955639.167512,nan,nan,False
1788955639.177543,nan,nan,False
1788955639.187664,nan,nan,False
1788955639.1975815,nan,nan,False
1788955639.2075124,nan,nan,False
