topic,bag_stamp,header_stamp,path_id,path_version,load_s_reference,load_velocity_reference,load_acceleration_reference,load_x_reference,load_y_reference,load_yaw_reference,support_x_reference_1,support_x_reference_2,support_x_reference_3,support_y_reference_1,support_y_reference_2,support_y_reference_3,support_yaw_reference_1,support_yaw_reference_2,support_yaw_reference_3
/multi_agv/path_reference,1789184940.174934,1789184940.1742394,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.1849434,1789184940.1842225,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.195149,1789184940.1942298,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.2050073,1789184940.2042663,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.2148342,1789184940.2142205,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.224659,1789184940.2241883,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.2348182,1789184940.2341998,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.2449586,1789184940.2442605,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.2546926,1789184940.2541897,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.264835,1789184940.264194,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.2747948,1789184940.2742124,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.2851617,1789184940.284342,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.2949674,1789184940.2941937,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.3049052,1789184940.3041928,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.314877,1789184940.314193,s_curve,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.3250408,1789184940.324198,s_curve,1,3.0430325019871523e-10,3.041639431127696e-08,9.106452043379924e-06,3.0430325019871523e-10,0.0,0.0,0.17320508106119095,-0.08660254007414066,-0.08660254007414066,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.3347843,1789184940.3341913,s_curve,1,2.7207935616298504e-09,2.4179894648993725e-07,3.6158938976816055e-05,2.7207935616298504e-09,0.0,0.0,0.17320508347768127,-0.08660253765765034,-0.08660253765765034,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.3449113,1789184940.344191,s_curve,1,1.0843778298614388e-08,8.122992047677379e-07,8.085105247420502e-05,1.0843778298614388e-08,0.0,0.0,0.173205091600666,-0.08660252953466561,-0.08660252953466561,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789184940.354968,1789184940.3541906,s_curve,1,3.0006405055043984e-08,1.91637248378628e-06,0.0001428296260473355,3.0006405055043984e-08,0.0,0.0,0.17320511076329276,-0.08660251037203885,-0.08660251037203885,0.0,0.15,-0.15,0.0,0.0,0.0
