stamp,load_s_reference,load_velocity_reference,evaluation_active
1788955054.3375409,nan,nan,False
1788955054.347597,nan,nan,False
1788955054.3575401,nan,nan,False
1788955054.367511,nan,nan,False
1788955054.377518,nan,nan,False
1788955054.3875122,nan,nan,False
1788955054.3975544,nan,nan,False
1788955054.4075613,nan,nan,False
1788955054.4176006,nan,nan,False
1788955054.4274871,nan,nan,False
1788955054.43763,nan,nan,False
1788955054.4475522,nan,nan,False
1788955054.4576054,nan,nan,False
1788955054.4675348,nan,nan,False
1788955054.4775262,nan,nan,False
1788955054.487508,nan,nan,False
1788955054.497516,nan,nan,False
1788955054.5075674,nan,nan,False
1788955054.5176055,nan,nan,False
1788955054.5274932,nan,nan,False
1788955054.5375352,nan,nan,False
1788955054.5475404,nan,nan,False
1788955054.557533,nan,nan,False
1788955054.5676177,nan,nan,False
1788955054.577549,nan,nan,False
1788955054.5875351,nan,nan,False
1788955054.5975463,nan,nan,False
1788955054.6075354,nan,nan,False
1788955054.6175983,nan,nan,False
1788955054.6276057,nan,nan,False
1788955054.6375144,nan,nan,False
1788955054.6475496,nan,nan,False
1788955054.6575232,nan,nan,False
1788955054.6675212,nan,nan,False
1788955054.6774912,nan,nan,False
1788955054.687676,nan,nan,False
1788955054.6976328,nan,nan,False
1788955054.7076201,nan,nan,False
1788955054.717618,nan,nan,False
1788955054.7275133,nan,nan,False
1788955054.73754,nan,nan,False
1788955054.7475202,nan,nan,False
1788955054.757551,nan,nan,False
1788955054.767499,nan,nan,False
1788955054.7775614,nan,nan,False
1788955054.7874916,nan,nan,False
1788955054.7974925,nan,nan,False
1788955054.8074934,nan,nan,False
1788955054.8174899,nan,nan,False
1788955054.827489,nan,nan,False
1788955054.837489,nan,nan,False
1788955054.847671,nan,nan,False
1788955054.8576016,nan,nan,False
1788955054.867531,nan,nan,False
1788955054.8775108,nan,nan,False
1788955054.8874965,nan,nan,False
1788955054.89756,nan,nan,False
1788955054.9075253,nan,nan,False
1788955054.9175282,nan,nan,False
1788955054.9275227,nan,nan,False
1788955054.9374895,nan,nan,False
1788955054.9475465,nan,nan,False
1788955054.9575865,nan,nan,False
1788955054.9675024,nan,nan,False
1788955054.9775555,nan,nan,False
1788955054.9875188,nan,nan,False
1788955054.997522,nan,nan,False
1788955055.007505,nan,nan,False
1788955055.0175529,nan,nan,False
1788955055.0275345,nan,nan,False
1788955055.0375335,nan,nan,False
1788955055.04754,nan,nan,False
1788955055.057489,nan,nan,False
1788955055.0674999,nan,nan,False
1788955055.0776217,nan,nan,False
1788955055.0876303,nan,nan,False
