stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper,agv1_boundary_lower,agv1_boundary_upper,agv2_boundary_lower,agv2_boundary_upper,agv3_boundary_lower,agv3_boundary_upper
1788955054.9475465,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.9575865,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.9675024,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.9775555,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.9875188,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955054.997522,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.007505,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.0175529,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.0275345,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.0375335,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.04754,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.057489,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.0674999,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.0776217,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.0876303,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.0975564,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.1076303,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.1176734,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.1276386,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.1375237,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.1475415,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.157517,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.1674984,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.1775255,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.1875515,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.1975327,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.2075307,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.2176278,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.2275996,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.2375216,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.2475128,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.257522,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.2676098,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.277535,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.2876318,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.2976282,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.3075469,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.3175206,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.3275125,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.3375058,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.3475223,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.3575325,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.367542,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.3775225,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.3875117,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.3975034,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.407516,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.4174953,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.4275913,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.4376144,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.447543,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.457579,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.4676044,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.4776254,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.487623,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.4975426,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.5075336,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.5175183,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.5275178,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.537521,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.5475314,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.5575264,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.5675354,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.5775316,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.5875294,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.5975444,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.6075404,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.6175675,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.6275084,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.6375427,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.6475773,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.657569,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.667498,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.677517,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.6875296,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.6975164,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
1788955055.7075186,nan,nan,nan,nan,False,False,nan,nan,nan,nan,nan,nan,,,,,,
