stamp,evaluation_active,agv1_wheel_left_raw,agv1_wheel_left_applied,agv1_wheel_left_actual,agv1_wheel_left_firmware_target_nominal,agv1_wheel_left_firmware_feedback_nominal,agv1_wheel_left_reported_limit,agv1_wheel_left_speed_limit_active,agv1_wheel_left_accel_limit_active,agv1_wheel_left_decel_limit_active,agv1_wheel_right_raw,agv1_wheel_right_applied,agv1_wheel_right_actual,agv1_wheel_right_firmware_target_nominal,agv1_wheel_right_firmware_feedback_nominal,agv1_wheel_right_reported_limit,agv1_wheel_right_speed_limit_active,agv1_wheel_right_accel_limit_active,agv1_wheel_right_decel_limit_active,agv1_wheel_left_pre_limit,agv1_wheel_right_pre_limit,agv1_wheel_left_fleet_scaled,agv1_wheel_right_fleet_scaled,agv2_wheel_left_raw,agv2_wheel_left_applied,agv2_wheel_left_actual,agv2_wheel_left_firmware_target_nominal,agv2_wheel_left_firmware_feedback_nominal,agv2_wheel_left_reported_limit,agv2_wheel_left_speed_limit_active,agv2_wheel_left_accel_limit_active,agv2_wheel_left_decel_limit_active,agv2_wheel_right_raw,agv2_wheel_right_applied,agv2_wheel_right_actual,agv2_wheel_right_firmware_target_nominal,agv2_wheel_right_firmware_feedback_nominal,agv2_wheel_right_reported_limit,agv2_wheel_right_speed_limit_active,agv2_wheel_right_accel_limit_active,agv2_wheel_right_decel_limit_active,agv2_wheel_left_pre_limit,agv2_wheel_right_pre_limit,agv2_wheel_left_fleet_scaled,agv2_wheel_right_fleet_scaled,agv3_wheel_left_raw,agv3_wheel_left_applied,agv3_wheel_left_actual,agv3_wheel_left_firmware_target_nominal,agv3_wheel_left_firmware_feedback_nominal,agv3_wheel_left_reported_limit,agv3_wheel_left_speed_limit_active,agv3_wheel_left_accel_limit_active,agv3_wheel_left_decel_limit_active,agv3_wheel_right_raw,agv3_wheel_right_applied,agv3_wheel_right_actual,agv3_wheel_right_firmware_target_nominal,agv3_wheel_right_firmware_feedback_nominal,agv3_wheel_right_reported_limit,agv3_wheel_right_speed_limit_active,agv3_wheel_right_accel_limit_active,agv3_wheel_right_decel_limit_active,agv3_wheel_left_pre_limit,agv3_wheel_right_pre_limit,agv3_wheel_left_fleet_scaled,agv3_wheel_right_fleet_scaled
1789391588.399065,True,0.009744157568808904,0.009744157568808904,0.008672188591960861,0.009037842046835871,0.008062439596374808,0.16,False,False,False,0.009744127527660807,0.009744127527660807,0.00867216024594957,0.008977028639744545,0.008012569232511101,0.16,False,False,False,nan,nan,nan,nan,0.009795297268216452,0.009795297268216452,0.007939827466026471,0.008893091657211296,0.007221641035170001,0.16,False,False,False,0.009795298913952458,0.009795298913952458,0.007939829053514716,0.008836145957596032,0.00720550967557542,0.16,False,False,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False,nan,nan,nan,nan,nan,nan,False,False,False,nan,nan,nan,nan
1789391588.409116,True,0.01274318629562685,0.01274318629562685,0.009744157568808904,0.011819483018413167,0.009059037517808025,0.16,False,False,False,0.012743155799408112,0.012743155799408112,0.009744127527660807,0.011739960735045452,0.009003004350878491,0.16,False,False,False,nan,nan,nan,nan,0.009795297268216452,0.009795297268216452,0.007939827466026471,0.008893091657211296,0.007221641035170001,0.16,False,False,False,0.009795298913952458,0.009795298913952458,0.007939829053514716,0.008836145957596032,0.00720550967557542,0.16,False,False,False,nan,nan,nan,nan,0.01031025837161793,0.01031025837161793,0.01031025837161793,0.009412340939388135,0.00944552339663057,0.16,False,False,False,0.010310259963754703,0.010310259963754703,0.010310259963754703,0.00936447834100798,0.009375908022092176,0.16,False,False,False,nan,nan,nan,nan
1789391588.4190614,True,0.01381145218455567,0.01381145218455567,0.01274318629562685,0.012810314529499002,0.011847201970340454,0.16,False,False,False,0.013811419741500524,0.013811419741500524,0.012743155799408112,0.012724126426201195,0.011773931199106052,0.16,False,False,False,nan,nan,nan,nan,0.013791454140302365,0.013791454140302365,0.011761087203530007,0.012521178520421491,0.01069725385477815,0.16,False,False,False,0.013791455758408969,0.013791455758408969,0.011761088754876884,0.012441000230778808,0.010673358109776033,0.16,False,False,False,nan,nan,nan,nan,0.012340986902905603,0.012340986902905603,0.012340986902905603,0.011266213907735781,0.011305932046261038,0.16,False,False,False,0.012340988425272339,0.012340988425272339,0.012340988425272339,0.011208923850743216,0.011222604743607267,0.16,False,False,False,nan,nan,nan,nan
1789391588.4290738,True,0.017354846096629073,0.017354846096629073,0.01381145218455567,0.016096861802661976,0.0128403571711326,0.16,False,False,False,0.01735481273521542,0.01735481273521542,0.013811419741500524,0.015988568552615455,0.012760944648103206,0.16,False,False,False,nan,nan,nan,nan,0.013791454140302365,0.013791454140302365,0.011761087203530007,0.012521178520421491,0.01069725385477815,0.16,False,False,False,0.013791455758408969,0.013791455758408969,0.011761088754876884,0.012441000230778808,0.010673358109776033,0.16,False,False,False,nan,nan,nan,nan,0.014522171522894513,0.014522171522894513,0.014522171522894513,0.013257439787351027,0.013304177833892351,0.16,False,False,False,0.014522173086575742,0.014522173086575742,0.014522173086575742,0.01319002389965761,0.013206122796059115,0.16,False,False,False,nan,nan,nan,nan
1789391588.4391303,True,0.018459786381566434,0.018459786381566434,0.017354846096629073,0.01712170932754353,0.01613461202725243,0.16,False,False,False,0.0184597507343123,0.0184597507343123,0.017354812735215424,0.017006521164060383,0.016034832684638976,0.16,False,False,False,0.018459786381566434,0.0184597507343123,0.018459786381566434,0.0184597507343123,0.01835982187432279,0.01835982187432279,0.01604813798870802,0.016668772194205702,0.014596525218365243,0.16,False,False,False,0.018359823476915667,0.018359823476915667,0.0160481395097908,0.016562034647727188,0.01456391866038901,0.16,False,False,False,0.01835982187432279,0.018359823476915667,0.01835982187432279,0.018359823476915667,0.016831215019707538,0.016831215019707538,0.016831215019707538,0.015365389351031133,0.015419558805626676,0.16,False,False,False,0.016831216512755397,0.016831216512755397,0.016831216512755397,0.015287253962616348,0.01530591260339516,0.16,False,False,False,0.019286821651728764,0.019286823200798935,0.019286821651728764,0.019286823200798935
1789391588.44921,True,0.02245859606465788,0.02245859606465788,0.018459786381566434,0.0208306610800095,0.01716186301590907,0.16,False,False,False,0.022458558911130154,0.022458558911130154,0.0184597507343123,0.02069052626623459,0.01705573081893384,0.16,False,False,False,0.02245859606465788,0.022458558911130154,0.02245859606465788,0.022458558911130154,0.01835982187432279,0.01835982187432279,0.01604813798870802,0.016668772194205702,0.014596525218365243,0.16,False,False,False,0.018359823476915667,0.018359823476915667,0.0160481395097908,0.016562034647727188,0.01456391866038901,0.16,False,False,False,0.02082349351395488,0.02082349502261344,0.02082349351395488,0.02082349502261344,0.019286821651728764,0.019286821651728764,0.019286821651728764,0.01760713790868434,0.01766921046901539,0.16,False,False,False,0.019286823200798935,0.019286823200798935,0.019286823200798935,0.01751760273413692,0.017538983595442783,0.16,False,False,False,0.021819544447040914,0.021819545927297325,0.021819544447040914,0.021819545927297325
1789391588.4590673,True,0.02350183364739686,0.02350183364739686,0.02245859606465788,0.021798278488034468,0.02087951297075555,0.16,False,False,False,0.02350179390078928,0.02350179390078928,0.022458558911130154,0.021651633389839917,0.02075039586842362,0.16,False,False,False,0.02350183364739686,0.02350179390078928,0.02350183364739686,0.02350179390078928,0.02329249332656469,0.02329249332656469,0.02082349351395488,0.021147115029398096,0.018939932372514297,0.16,False,False,False,0.0232924949290877,0.0232924949290877,0.02082349502261344,0.021011700277652527,0.018897622839665288,0.16,False,False,False,0.02329249332656469,0.0232924949290877,0.02329249332656469,0.0232924949290877,0.021819544447040914,0.021819544447040914,0.021819544447040914,0.01991928660517692,0.019989510461317757,0.16,False,False,False,0.021819545927297325,0.021819545927297325,0.021819545927297325,0.019817993529272174,0.01984218209990257,0.16,False,False,False,0.0244350159534479,0.024435017502491232,0.0244350159534479,0.024435017502491232
1789391588.4690661,True,0.02795425843011128,0.027574938647396862,0.02350183364739686,0.025576140183129904,0.021849399626968052,0.16,False,True,False,0.027954216510756896,0.02757489890078928,0.02350179390078928,0.025404086355371294,0.021714284028161664,0.16,False,True,False,0.02795425843011128,0.027954216510756896,0.02795425843011128,0.027954216510756896,0.02329249332656469,0.02329249332656469,0.02082349351395488,0.021147115029398096,0.018939932372514297,0.16,False,False,False,0.0232924949290877,0.0232924949290877,0.02082349502261344,0.021011700277652527,0.018897622839665288,0.16,False,False,False,0.025986912668365406,0.025986914173926186,0.025986912668365406,0.025986914173926186,0.0244350159534479,0.0244350159534479,0.024435015953447905,0.022306977451346716,0.022385618921120697,0.16,False,False,False,0.024435017502491232,0.024435017502491232,0.024435017502491232,0.022193542448846252,0.02222063046198288,0.16,False,False,False,0.02720623779958874,0.027206239276082515,0.02720623779958874,0.027206239276082515
1789391588.479068,True,0.029113986391122643,0.029113986391122643,0.02795425843011128,0.027003628430534447,0.025988770615891676,0.16,False,False,False,0.029113941325233962,0.029113941325233962,0.027954216510756896,0.026821968857709447,0.025828062302891523,0.16,False,False,False,0.029113986391122643,0.029113941325233962,0.029113986391122643,0.029113941325233962,0.02878122685452782,0.02878122685452782,0.025986912668365406,0.026130303288989586,0.023636301381390883,0.16,False,False,False,0.02878122847329832,0.02878122847329832,0.025986914173926186,0.025962978553593235,0.023583500382251158,0.16,False,False,False,0.02878122685452782,0.02878122847329832,0.02878122685452782,0.02878122847329832,0.02720623779958874,0.02720623779958874,0.02720623779958874,0.024836854385019043,0.024924414734136723,0.16,False,False,False,0.027206239276082515,0.027206239276082515,0.027206239276082515,0.024710554276691055,0.024740714392878147,0.16,False,False,False,0.030123148302679408,0.03012314986615575,0.030123148302679408,0.03012314986615575
1789391588.4891243,True,0.033832272459826854,0.033135739391122646,0.02911398639112264,0.030733860429423544,0.027066957112268003,0.16,False,True,False,0.03383222448117493,0.033135694325233965,0.029113941325233962,0.030527112469643024,0.02689958025264328,0.16,False,True,False,0.033832272459826854,0.03383222448117493,0.033832272459826854,0.03383222448117493,0.02878122685452782,0.02878122685452782,0.025986912668365406,0.026130303288989586,0.023636301381390883,0.16,False,False,False,0.02878122847329832,0.02878122847329832,0.025986914173926186,0.025962978553593235,0.023583500382251158,0.16,False,False,False,0.031580894628952645,0.031580896147003025,0.031580894628952645,0.031580896147003025,0.030123148302679408,0.030123148302679408,0.030123148302679408,0.02749973199246577,0.027596680104194256,0.16,False,False,False,0.03012314986615575,0.03012314986615575,0.03012314986615575,0.02735989058241211,0.027393284308412424,0.16,False,False,False,0.03303200680037987,0.0330320082887414,0.03303200680037987,0.0330320082887414
