topic,bag_stamp,header_stamp,frame_id,child_frame_id,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_x,linear_y,angular_z
/pose_provider/agv2/base_motion_fused,1789453989.8911476,1789453989.8898597,world@09a92303,agv2/base_link,0.49580102327177966,0.521786446074455,0.0,0.0,0.0,0.7355393181285799,0.6774820377596322,0.0,0.0,0.0
/pose_provider/agv1/base_motion_fused,1789453989.8951192,1789453989.8949876,world@09a92303,agv1/base_link,0.6428856526857438,0.8933701449069571,0.0,0.0,0.0,0.7243719942439889,0.6894093225036826,0.0,0.0,0.0
/pose_provider/agv2/base_motion_fused,1789453989.8991432,1789453989.8979607,world@09a92303,agv2/base_link,0.49580102327177966,0.521786446074455,0.0,0.0,0.0,0.7355393181285799,0.6774820377596322,0.0,0.0,0.0
/pose_provider/agv3/base_motion_fused,1789453989.900749,1789453989.900728,world@09a92303,agv3/base_link,0.7940110855502264,0.5353139445389129,0.0,0.0,0.0,0.7254647767596435,0.6882592953829832,0.0,0.0,0.0
/pose_provider/agv1/base_motion_fused,1789453989.9031587,1789453989.9030197,world@09a92303,agv1/base_link,0.6428856526857438,0.8933701449069571,0.0,0.0,0.0,0.7243719942439889,0.6894093225036826,0.0,0.0,0.0
/pose_provider/agv3/base_motion_fused,1789453989.9087355,1789453989.90878,world@09a92303,agv3/base_link,0.7940110855502264,0.5353139445389129,0.0,0.0,0.0,0.7254647767596435,0.6882592953829832,0.0,0.0,0.0
/pose_provider/agv2/base_motion_fused,1789453989.9110868,1789453989.9100034,world@09a92303,agv2/base_link,0.49580102327177966,0.521786446074455,0.0,0.0,0.0,0.7355393181285799,0.6774820377596322,0.0,0.0,0.0
/pose_provider/agv1/base_motion_fused,1789453989.9151132,1789453989.9149797,world@09a92303,agv1/base_link,0.642851005284111,0.8934793408016914,0.0,0.0,0.0,0.7242461476156558,0.6895415271496574,0.0,0.0,0.0
/pose_provider/agv2/base_motion_fused,1789453989.9218025,1789453989.9178524,world@09a92303,agv2/base_link,0.4958054288944585,0.5217618067270714,0.0,0.0,0.0,0.7356640716710732,0.6773465683476503,0.0,0.0,0.0
/pose_provider/agv3/base_motion_fused,1789453989.9218175,1789453989.9207263,world@09a92303,agv3/base_link,0.7940034509650347,0.5353272985154989,0.0,0.0,0.0,0.7255045372726745,0.6882173830969125,0.0,0.0,0.0
/pose_provider/agv1/base_motion_fused,1789453989.9231334,1789453989.9230125,world@09a92303,agv1/base_link,0.642851005284111,0.8934793408016914,0.0,0.0,0.0,0.7242461476156558,0.6895415271496574,0.0,0.0,0.0
/pose_provider/agv2/base_motion_fused,1789453989.9317496,1789453989.9298577,world@09a92303,agv2/base_link,0.4958054288944585,0.5217618067270714,0.0,0.0,0.0,0.7356640716710732,0.6773465683476503,0.0,0.0,0.0
/pose_provider/agv1/base_motion_fused,1789453989.935335,1789453989.9350297,world@09a92303,agv1/base_link,0.642851005284111,0.8934793408016914,0.0,0.0,0.0,0.7242461476156558,0.6895415271496574,0.0,0.0,0.0
/pose_provider/agv3/base_motion_fused,1789453989.9365337,1789453989.928723,world@09a92303,agv3/base_link,0.7940034509650347,0.5353272985154989,0.0,0.0,0.0,0.7255045372726745,0.6882173830969125,0.0,0.0,0.0
