topic,bag_stamp,header_stamp,frame_id,path_id,path_version,load_s_reference,load_velocity_reference,load_acceleration_reference,load_x_reference,load_y_reference,load_yaw_reference,support_x_reference_1,support_x_reference_2,support_x_reference_3,support_y_reference_1,support_y_reference_2,support_y_reference_3,support_yaw_reference_1,support_yaw_reference_2,support_yaw_reference_3
/multi_agv/path_reference,1789378816.346444,1789378816.345766,world,s_curve,1,0.012011772580152172,0.09999916989869935,-1.6489203551938618e-05,0.012011772580152172,0.0,0.0,0.18521685333703988,-0.07459076779829174,-0.07459076779829174,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789378816.3564546,1789378816.3556514,world,s_curve,1,0.013000302307171916,0.09999895067683595,-5.544081200905724e-06,0.013000302307171916,0.0,0.0,0.18620538306405962,-0.07360223807127199,-0.07360223807127199,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789378816.3664348,1789378816.3658214,world,s_curve,1,0.014017265735827112,0.09999895067683595,-5.544081200905724e-06,0.014017265735827112,0.0,0.0,0.18722234649271483,-0.0725852746426168,-0.0725852746426168,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789378816.3770473,1789378816.375622,world,s_curve,1,0.014997350551462198,0.09999895067683595,-5.544081200905724e-06,0.014997350551462198,0.0,0.0,0.1882024313083499,-0.0716051898269817,-0.0716051898269817,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789378816.3867338,1789378816.3858595,world,s_curve,1,0.016021041809519982,0.09999895067683595,-5.544081200905724e-06,0.016021041809519982,0.0,0.0,0.1892261225664077,-0.07058149856892393,-0.07058149856892393,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789378816.3963113,1789378816.395652,world,s_curve,1,0.017000344970859574,0.10000016964536367,3.1118315649298836e-05,0.017000344970859574,0.0,0.0,0.1902054257277473,-0.06960219540758433,-0.06960219540758433,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789378816.4065685,1789378816.4057493,world,s_curve,1,0.018010050383775088,0.10000016964536367,3.1118315649298836e-05,0.018010050383775088,0.0,0.0,0.1912151311406628,-0.06859248999466883,-0.06859248999466883,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789378816.416425,1789378816.4156914,world,s_curve,1,0.01900426117040473,0.10000016964536367,3.1118315649298836e-05,0.01900426117040473,0.0,0.0,0.19220934192729244,-0.06759827920803918,-0.06759827920803918,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789378816.4267757,1789378816.425788,world,s_curve,1,0.020013836783100043,0.10000016964536367,3.1118315649298836e-05,0.020013836783100043,0.0,0.0,0.19321891753998774,-0.06658870359534386,-0.06658870359534386,0.0,0.15,-0.15,0.0,0.0,0.0
/multi_agv/path_reference,1789378816.4366128,1789378816.4356601,world,s_curve,1,0.02100117484916881,0.10000303512842319,7.255797505174745e-05,0.02100117484916881,0.0,0.0,0.1942062556060565,-0.06560136552927509,-0.06560136552927509,0.0,0.15,-0.15,0.0,0.0,0.0
