evidence_scope,phase,metric,M1b_R1,M1_R1
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,controller_raw_wheel_peak_mps,0.13148389570509886,0.1314230897440254
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,controller_raw_wheel_rms_mps,0.1217244596083292,0.12169381945858358
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,controller_raw_above_0p150_duration_seconds,0,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,wheel_demand_capability_ratio_peak,0.8217743481568679,0.8213943109001587
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,disturbed_wheel_peak_mps,0.13148389570509886,0.1314230897440254
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,physical_speed_limiter_duration_seconds,0,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,heading_error_peak,0.0007515911897710837,0.0007574761701885091
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,heading_error_IAE,0.0016039524453508377,0.0016047594448843235
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,heading_error_rms,0.0005540036894547263,0.0005561121161587697
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,support_error_peak,0.0019248348194856812,0.0019011967551112155
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,support_error_IAE,0.005489103162555554,0.005444297329915586
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,support_error_rms,0.001830771596678044,0.0018155739424731887
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,rigid_fit_error_peak,0.0004654113670035681,0.0005335404725926974
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,rigid_fit_error_IAE,0.0007979340397572953,0.0009448264328016812
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,rigid_fit_error_rms,0.00032409680151233394,0.0003786307917346679
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,pairwise_side_error_peak,0.0008981246609405802,0.0010426912613557549
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,pairwise_side_error_IAE,0.0015685185524504913,0.0018736863005144962
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,pairwise_side_error_rms,0.00063086670869962,0.0007396081212000509
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,progress_error_peak,0.0004441067350064998,0.00044657491556532314
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,progress_error_IAE,0.0009571889107502592,0.0009651157037179399
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,progress_error_rms,0.0003337079890501022,0.0003376980345545138
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,J_risk_0p5,0.0,0.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,J_risk_0p7,0.0,0.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,native_aligned_maximum_spacing_seconds,0.010748863220214844,0.010690927505493164
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,native_aligned_sample_count,300,300
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,controller_raw_above_0p155_duration_seconds,0,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,controller_raw_above_0p160_duration_seconds,0,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,raw_first_above_0p160_relative_seconds,,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,applied_wheel_peak_mps,0.13148389570509886,0.1314230897440254
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,physical_speed_limiter_max_continuous_seconds,0.0,0.0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,physical_speed_limiter_samples,0,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,physical_speed_limiter_first_relative_seconds,,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,physical_speed_limiter_first_input_output,,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,baseline,lateral_error_peak,0.0016575082426222687,0.001642717378606383
