evidence_scope,method,phase,metric,statistic,value
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,peak,0.0004654113670035681
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,signed_minimum,7.119497896933479e-05
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,signed_maximum,0.0004654113670035681
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,signed_mean,0.0002659926627163446
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,RMS,0.00032409680151233394
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,IAE,0.0007979340397572953
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,existing_quality_threshold,0.01
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,quality_exceeded,False
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,duration_above_threshold_seconds,0
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,first_exceedance_relative_wall_seconds,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,rigid_fit,first_exceedance_value,
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,support,peak,0.0019248348194856812
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,support,signed_minimum,0.0017337453860777207
EFFECT_EXPLORATION_ONLY / NOT_FORMAL_PAPER_EVIDENCE,M1b,baseline,support,signed_maximum,0.0019248348194856812
