stamp,common_velocity_reference,public_reference_velocity,common_boundary_lower,common_boundary_upper,evaluation_active,mapped_path_capability_available,agv1_boundary_lower,agv1_boundary_upper,agv1_robust_margin,agv1_risk_factor,agv1_risk_signal,agv1_z,agv1_upsilon,agv1_phi,agv1_zeta_z,agv1_zeta_v,agv1_zeta_phi,agv1_mapped_path_velocity_lower,agv1_mapped_path_velocity_upper,agv2_boundary_lower,agv2_boundary_upper,agv2_robust_margin,agv2_risk_factor,agv2_risk_signal,agv2_z,agv2_upsilon,agv2_phi,agv2_zeta_z,agv2_zeta_v,agv2_zeta_phi,agv2_mapped_path_velocity_lower,agv2_mapped_path_velocity_upper,agv3_boundary_lower,agv3_boundary_upper,agv3_robust_margin,agv3_risk_factor,agv3_risk_signal,agv3_z,agv3_upsilon,agv3_phi,agv3_zeta_z,agv3_zeta_v,agv3_zeta_phi,agv3_mapped_path_velocity_lower,agv3_mapped_path_velocity_upper
1788759159.7941813,0.08000625815026761,0.08000625815026761,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.30395371586963693,0.08000615379748313,0.0,-4.1941059199546155e-05,3.6251618163479755e-06,0.0,-0.12852429099490995,0.12852429099490995,-0.015,0.095,1.0,0.0,0.0,0.30394430943319406,0.08000641431696708,0.0,-1.4194782828602648e-05,2.020456861109854e-06,0.0,-0.10439468973666197,0.10439468973666197,-0.015,0.095,1.0,0.0,0.0,0.3039506727837466,0.08000620633635266,0.0,-3.2354361944883525e-05,2.94883887106065e-06,0.0,-0.19853381660710304,0.19853381660710304
1788759159.8042805,0.08000625815026761,0.08000625815026761,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.30395371586963693,0.08000615379748313,0.0,-4.1941059199546155e-05,3.6251618163479755e-06,0.0,-0.12863304046816879,0.12863304046816879,-0.015,0.095,1.0,0.0,0.0,0.30394430943319406,0.08000641431696708,0.0,-1.4194782828602648e-05,2.020456861109854e-06,0.0,-0.10435396878761348,0.10435396878761348,-0.015,0.095,1.0,0.0,0.0,0.3039506727837466,0.08000620633635266,0.0,-3.2354361944883525e-05,2.94883887106065e-06,0.0,-0.19786900145813535,0.19786900145813535
1788759159.8142157,0.08000625815026761,0.08000625815026761,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.30395371586963693,0.08000615379748313,0.0,-4.1941059199546155e-05,3.6251618163479755e-06,0.0,-0.12874252132073688,0.12874252132073688,-0.015,0.095,1.0,0.0,0.0,0.30394430943319406,0.08000641431696708,0.0,-1.4194782828602648e-05,2.020456861109854e-06,0.0,-0.10431444128105265,0.10431444128105265,-0.015,0.095,1.0,0.0,0.0,0.3039506727837466,0.08000620633635266,0.0,-3.2354361944883525e-05,2.94883887106065e-06,0.0,-0.1972026756591987,0.1972026756591987
1788759159.8241673,0.08000625815026761,0.08000625815026761,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.30395371586963693,0.08000615379748313,0.0,-4.1941059199546155e-05,3.6251618163479755e-06,0.0,-0.12885217774279215,0.12885217774279215,-0.015,0.095,1.0,0.0,0.0,0.30394430943319406,0.08000641431696708,0.0,-1.4194782828602648e-05,2.020456861109854e-06,0.0,-0.10427628921496379,0.10427628921496379,-0.015,0.095,1.0,0.0,0.0,0.3039506727837466,0.08000620633635266,0.0,-3.2354361944883525e-05,2.94883887106065e-06,0.0,-0.1965384102710999,0.1965384102710999
1788759159.834247,0.08000651500028864,0.08000651500028864,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.30715409362017104,0.0800060786071004,0.0,-2.9941945208022952e-05,5.851246903559867e-06,0.0,-0.12896329774706475,0.12896329774706475,-0.015,0.095,1.0,0.0,0.0,0.3071441875545459,0.08000704998007024,0.0,-1.5769786995412094e-05,4.6850009835508466e-07,0.0,-0.10423905909768066,0.10423905909768066,-0.015,0.095,1.0,0.0,0.0,0.30715088226272586,0.0800064164136953,0.0,-2.5207976724492265e-05,3.8681691104457134e-06,0.0,-0.19586861076921708,0.19586861076921708
1788759159.8441577,0.08000651500028864,0.08000651500028864,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.30715409362017104,0.0800060786071004,0.0,-2.9941945208022952e-05,5.851246903559867e-06,0.0,-0.1290752744176,0.1290752744176,-0.015,0.095,1.0,0.0,0.0,0.3071441875545459,0.08000704998007024,0.0,-1.5769786995412094e-05,4.6850009835508466e-07,0.0,-0.10420296374874363,0.10420296374874363,-0.015,0.095,1.0,0.0,0.0,0.30715088226272586,0.0800064164136953,0.0,-2.5207976724492265e-05,3.8681691104457134e-06,0.0,-0.1951971793543661,0.1951971793543661
1788759159.8541608,0.08000651500028864,0.08000651500028864,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.30715409362017104,0.0800060786071004,0.0,-2.9941945208022952e-05,5.851246903559867e-06,0.0,-0.12918808711819724,0.12918808711819724,-0.015,0.095,1.0,0.0,0.0,0.3071441875545459,0.08000704998007024,0.0,-1.5769786995412094e-05,4.6850009835508466e-07,0.0,-0.10416800662950461,0.10416800662950461,-0.015,0.095,1.0,0.0,0.0,0.30715088226272586,0.0800064164136953,0.0,-2.5207976724492265e-05,3.8681691104457134e-06,0.0,-0.1945244505041384,0.1945244505041384
1788759159.864157,0.08000651500028864,0.08000651500028864,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.30715409362017104,0.0800060786071004,0.0,-2.9941945208022952e-05,5.851246903559867e-06,0.0,-0.12930181129569002,0.12930181129569002,-0.015,0.095,1.0,0.0,0.0,0.3071441875545459,0.08000704998007024,0.0,-1.5769786995412094e-05,4.6850009835508466e-07,0.0,-0.1041341624855291,0.1041341624855291,-0.015,0.095,1.0,0.0,0.0,0.30715088226272586,0.0800064164136953,0.0,-2.5207976724492265e-05,3.8681691104457134e-06,0.0,-0.19385018396107995,0.19385018396107995
1788759159.8741615,0.08000673676842623,0.08000673676842623,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.31035237568458535,0.08000617791841902,0.0,-2.8117948247796665e-05,4.836988854653444e-06,0.0,-0.12941635861983522,0.12941635861983522,-0.015,0.095,1.0,0.0,0.0,0.3103420942046081,0.08000743160527939,0.0,-1.6600773805053315e-05,1.6049393447847837e-06,0.0,-0.10410145577410265,0.10410145577410265,-0.015,0.095,1.0,0.0,0.0,0.31034904220869625,0.08000660078158028,0.0,-2.434727500448265e-05,3.8073478029081162e-06,0.0,-0.19317511043497057,0.19317511043497057
1788759159.8842216,0.08000673676842623,0.08000673676842623,-0.009999999999999998,0.09,True,True,-0.015,0.095,1.0,0.0,0.0,0.31035237568458535,0.08000617791841902,0.0,-2.8117948247796665e-05,4.836988854653444e-06,0.0,-0.129531669143787,0.129531669143787,-0.015,0.095,1.0,0.0,0.0,0.3103420942046081,0.08000743160527939,0.0,-1.6600773805053315e-05,1.6049393447847837e-06,0.0,-0.10406989917451386,0.10406989917451386,-0.015,0.095,1.0,0.0,0.0,0.31034904220869625,0.08000660078158028,0.0,-2.434727500448265e-05,3.8073478029081162e-06,0.0,-0.1924997774781164,0.1924997774781164
